layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6435388980843961,0.7899649801332314,0.6670525406265535,0.47359917349340347,4732,0.797438490057297,520,0.08763060330299967,682,0.1149309066397034,564,0.1181151832460733,3137,0.6569633507853403,1074,0.2249214659685864,748,0.22756312747185883,973,0.29601460298144205,1566,0.47642226954669914
1,0.6524671535022989,0.8045718566041054,0.6851328294801966,0.4676967744225945,4789,0.8070441523424334,452,0.07617121671722278,693,0.11678463094034378,478,0.10010471204188481,3274,0.6856544502617801,1023,0.2142408376963351,701,0.21326437480985702,1057,0.32156982050501975,1529,0.4651658046851232
2,0.6736732812511336,0.828901802020968,0.6980858955244768,0.49403214620795605,4950,0.8341759352881699,377,0.06353218739467476,607,0.10229187731715537,424,0.08879581151832461,3318,0.694869109947644,1033,0.21633507853403142,635,0.19318527532704594,1036,0.31518101612412536,1616,0.4916337085488287
3,0.6931827774414087,0.849101183867629,0.7122016122043452,0.518245536252252,5101,0.8596225143242332,289,0.048702392989551736,544,0.09167509268621503,379,0.0793717277486911,3341,0.6996858638743455,1055,0.22094240837696336,601,0.1828414968055978,976,0.2969272893215698,1710,0.5202312138728323
4,0.7104376404544618,0.8595045413087835,0.7381168880622655,0.5336914919923362,5133,0.8650151668351871,265,0.04465790360633637,536,0.09032692955847657,309,0.06471204188481676,3524,0.7380104712041885,942,0.19727748691099475,568,0.17280194706419227,984,0.2993611195619106,1735,0.5278369333738971
5,0.7522742504973148,0.9309534185223847,0.7441839601586562,0.5816853728109035,5543,0.9341085271317829,102,0.017189079878665317,289,0.048702392989551736,117,0.024502617801047122,3501,0.733193717277487,1157,0.24230366492146596,314,0.0955278369333739,1031,0.3136598722239124,1942,0.5908122908427137
6,0.7525488878802076,0.9266105116145316,0.7484776060403174,0.5825585459857734,5525,0.9310751600943714,130,0.021907650825749917,279,0.04701718907987867,149,0.03120418848167539,3576,0.7489005235602094,1050,0.2198952879581152,317,0.09644052327350168,1073,0.32643748098570124,1897,0.577121995740797
7,0.7539864319547326,0.9308539561955467,0.7428174210063577,0.588287918662293,5521,0.9304010785305022,118,0.01988540613414223,295,0.049713515335355576,130,0.027225130890052355,3508,0.7346596858638743,1137,0.2381151832460733,277,0.084271372071798,1043,0.31731061758442347,1967,0.5984180103437785
8,0.7419737453191174,0.9095455317871396,0.7447184604953434,0.5716572436748694,5427,0.9145601617795753,168,0.028311425682507583,339,0.05712841253791709,192,0.04020942408376963,3550,0.743455497382199,1033,0.21633507853403142,380,0.11560693641618497,1041,0.3167021600243383,1866,0.5676909035594767
9,0.7338956146437535,0.8970233430020891,0.7352474459577875,0.569416054971384,5345,0.9007414897202561,190,0.032018874283788336,399,0.0672396359959555,256,0.05361256544502618,3482,0.7292146596858639,1037,0.21717277486910994,382,0.11621539397627015,1025,0.31183449954365683,1880,0.571950106480073
10,0.7323598318439485,0.8902600555902342,0.7347746187393291,0.572044821202282,5311,0.8950117964273677,209,0.035220761712167176,414,0.06976744186046512,285,0.05968586387434555,3473,0.7273298429319371,1017,0.21298429319371728,401,0.12199574079707941,996,0.30301186492242166,1890,0.574992394280499
11,0.750811281990262,0.9155171433583309,0.7467393348514122,0.590177367761043,5422,0.9137175598247388,164,0.027637344118638354,348,0.05864509605662285,162,0.03392670157068063,3530,0.7392670157068063,1083,0.2268062827225131,326,0.099178582293885,985,0.29966534834195313,1976,0.6011560693641619
12,0.7499469155561765,0.9139586640844785,0.7505227537224698,0.5853593288615813,5434,0.9157398045163465,166,0.02797438490057297,334,0.056285810583080555,168,0.03518324607329843,3572,0.7480628272251308,1035,0.21675392670157068,355,0.10800121691512017,1005,0.305749923942805,1927,0.5862488591420748
