layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.7820712168095789,0.8585452031237282,0.7055972304954297,5347,0.9010785305021908,587,0.09892146949780924,1175,0.35746881655004564,2112,0.6425311834499544,0.8720618092397918,9221
1,0.8032197028280674,0.8664752464586538,0.739964159197481,5279,0.8896191439164138,655,0.11038085608358611,972,0.29571037420139945,2315,0.7042896257986005,0.8863627535738494,9221
2,0.8051221496031242,0.8666133490976708,0.7436309501085776,5257,0.8859116953151331,677,0.11408830468486687,941,0.2862792820200791,2346,0.7137207179799209,0.8975742166911612,9221
3,0.825211949158688,0.8782992392580056,0.7721246590593706,5279,0.8896191439164138,655,0.11038085608358611,808,0.24581685427441435,2479,0.7541831457255856,0.9183631934223682,9221
4,0.8408711882964479,0.8886404622702262,0.7931019143226697,5326,0.8975396022918773,608,0.10246039770812268,727,0.2211743230909644,2560,0.7788256769090356,0.9246756282215994,9221
5,0.9065339910486736,0.9337023951175244,0.8793655869798229,5555,0.9361307718233907,379,0.06386922817660937,410,0.12473379981746273,2877,0.8752662001825373,0.9706329413307202,9221
6,0.9038629802991035,0.9315370208634175,0.8761889397347895,5531,0.9320862824401752,403,0.06791371755982474,410,0.12473379981746273,2877,0.8752662001825373,0.9686462990590483,9221
7,0.913931602994263,0.9386792441440814,0.8891839618444447,5573,0.9391641388608022,361,0.060835861139197846,367,0.11165196227563128,2920,0.8883480377243688,0.9714917205302296,9221
8,0.8679323240139989,0.9073864034439841,0.8284782445840136,5434,0.9157398045163465,500,0.08426019548365352,609,0.18527532704593855,2678,0.8147246729540615,0.9438555364881474,9221
9,0.8642743631515035,0.9051434186549165,0.8234053076480905,5430,0.9150657229524772,504,0.08493427704752275,634,0.19288104654700336,2653,0.8071189534529967,0.9398387768815677,9221
10,0.8554600577516036,0.8980579182888256,0.8128621972143817,5360,0.9032692955847658,574,0.09673070441523424,643,0.19561910556738668,2644,0.8043808944326133,0.9396114448366217,9221
11,0.8922840627380779,0.9236473341746659,0.86092079130149,5497,0.9263565891472868,437,0.07364341085271318,472,0.14359598418010344,2815,0.8564040158198966,0.9630771078294347,9221
12,0.902760586278133,0.9308097878878936,0.8747113846683725,5529,0.9317492416582407,405,0.06825075834175935,417,0.12686340127776088,2870,0.8731365987222391,0.9654891065670723,9221
13,0.8827847915163817,0.9163710805553726,0.8491985024773907,5434,0.9157398045163465,500,0.08426019548365352,492,0.1496805597809553,2795,0.8503194402190447,0.9554331461150657,9221
14,0.9426383619481922,0.9587865095766179,0.9264902143197664,5664,0.9544994944388271,270,0.0455005055611729,217,0.06601764526924248,3070,0.9339823547307575,0.9873556523204747,9221
15,0.9427562196964797,0.95886750255379,0.9266449368391694,5667,0.955005055611729,267,0.04499494438827098,219,0.06662610282932765,3068,0.9333738971706723,0.9884308654565039,9221
16,0.9502657651274811,0.9643084323872146,0.9362230978677475,5699,0.9603977081226829,235,0.039602291877317154,187,0.05689078186796471,3100,0.9431092181320353,0.9918704220953751,9221
17,0.9542287206446196,0.9670333834528642,0.941424057836375,5706,0.961577350859454,228,0.03842264914054601,161,0.048980833586857314,3126,0.9510191664131427,0.9931678557467766,9221
18,0.9667736802729491,0.9761453620568432,0.9574019984890549,5769,0.9721941354903944,165,0.027805864509605663,117,0.03559476726498327,3170,0.9644052327350168,0.9978261892813087,9221
19,0.9683084320377064,0.9772413502009956,0.9593755138744173,5776,0.9733737782271655,158,0.026626221772834514,111,0.03376939458472771,3176,0.9662306054152723,0.9976978453441315,9221
20,0.9671208407724996,0.9764041259687175,0.9578375555762817,5773,0.9728682170542635,161,0.027131782945736434,118,0.03589899604502586,3169,0.9641010039549741,0.9976730614679082,9221
21,0.9686029220708179,0.9775489745234424,0.9596568696181933,5790,0.9757330637007078,144,0.024266936299292215,122,0.037115911165196226,3165,0.9628840888348038,0.9977488902652002,9221
22,0.964940270736651,0.9749356177409387,0.9549449237323634,5776,0.9733737782271655,158,0.026626221772834514,139,0.04228780042592029,3148,0.9577121995740797,0.9974357121997051,9221
23,0.9711617175495906,0.9794397812801161,0.962883653819065,5811,0.9792719919110212,123,0.020728008088978768,121,0.036811682385153636,3166,0.9631883176148464,0.9985142426874113,9221
24,0.9702401784893753,0.9787442864213152,0.9617360705574353,5801,0.9775867880013481,133,0.022413211998651837,119,0.03620322482506845,3168,0.9637967751749316,0.9984308048237921,9221
25,0.9696666638737341,0.9783069971660423,0.961026330581426,5795,0.9765756656555443,139,0.02342433434445568,118,0.03589899604502586,3169,0.9641010039549741,0.9982935550843545,9221
26,0.9693122700619468,0.9780539238863872,0.9605706162375064,5794,0.9764071452645771,140,0.023592854735422986,120,0.03650745360511105,3167,0.9634925463948889,0.9981990990745375,9221
27,0.9700195959990059,0.9785618918523802,0.9614773001456317,5797,0.976912706437479,137,0.023087293562521066,117,0.03559476726498327,3170,0.9644052327350168,0.9980816591117799,9221
28,0.9697740450536407,0.9784008169896581,0.9611472731176234,5798,0.9770812268284462,136,0.022918773171553757,120,0.03650745360511105,3167,0.9634925463948889,0.9980107753024388,9221
29,0.9712021525211285,0.9794028040224566,0.9630015010198004,5802,0.9777553083923155,132,0.022244691607684528,112,0.03407362336477031,3175,0.9659263766352297,0.9981495846880037,9221
30,0.9702254354669525,0.9787572953454579,0.9616935755884471,5806,0.9784293899561847,128,0.021570610043815303,124,0.03772436872528141,3163,0.9622756312747186,0.9981414197445642,9221
31,0.9696400251154673,0.9783313972031081,0.9609486530278264,5803,0.9779238287832828,131,0.022076171216717223,126,0.0383328262853666,3161,0.9616671737146334,0.9981088528682538,9221
32,0.9692058049357426,0.9779592584765429,0.9604523513949422,5792,0.9760701044826424,142,0.0239298955173576,119,0.03620322482506845,3168,0.9637967751749316,0.9979368975518564,9221
33,0.969050890893894,0.9779084386601472,0.9601933431276407,5799,0.9772497472194136,135,0.02275025278058645,127,0.03863705506540919,3160,0.9613629449345908,0.998002220311539,9221
34,0.9697511538700914,0.9784217809683403,0.9610805267718423,5805,0.9782608695652174,129,0.021739130434782608,127,0.03863705506540919,3160,0.9613629449345908,0.9980195789572208,9221
35,0.9701171089559362,0.978664205221782,0.9615700126900902,5803,0.9779238287832828,131,0.022076171216717223,122,0.037115911165196226,3165,0.9628840888348038,0.9981597854683715,9221
36,0.9705962610905827,0.9789958069412119,0.9621967152399534,5804,0.97809234917425,130,0.021907650825749917,119,0.03620322482506845,3168,0.9637967751749316,0.998178085695655,9221
37,0.9691590070265153,0.9780005992203978,0.9603174148326327,5802,0.9777553083923155,132,0.022244691607684528,129,0.039245512625494375,3158,0.9607544873745056,0.997963872998415,9221
38,0.9685798003973949,0.9775694612021709,0.959590139592619,5797,0.976912706437479,137,0.023087293562521066,129,0.039245512625494375,3158,0.9607544873745056,0.9977388104130188,9221
39,0.9678591583487902,0.977074111290543,0.9586442054070374,5797,0.976912706437479,137,0.023087293562521066,135,0.04107088530574993,3152,0.9589291146942501,0.9976195906486491,9221
