layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6393951060970817,0.8110569439921873,0.6791770903789438,0.42795128392011395,5175,0.8829551271114144,422,0.07200136495478587,264,0.045043507933799694,774,0.15489293576145688,3500,0.7004202521512908,723,0.14468681208725234,951,0.26549413735343386,1387,0.387213847012842,1244,0.3472920156337242
1,0.6739798638052751,0.8340321157560501,0.703134160410638,0.48477331524913714,5118,0.8732298242620713,386,0.06585906841835865,357,0.060911107319570036,554,0.11086651991194717,3635,0.7274364618771263,808,0.16169701821092655,740,0.20658849804578447,1321,0.36878838637632605,1521,0.42462311557788945
2,0.7010234258820076,0.8653350618682479,0.71909065071702,0.5186445650607547,5258,0.8971165330148438,263,0.0448728885855656,340,0.058010578399590514,437,0.08745247148288973,3686,0.7376425855513308,874,0.17490494296577946,597,0.16666666666666666,1305,0.36432160804020103,1680,0.46901172529313234
3,0.6942234845761664,0.8638679859504845,0.7119066458789652,0.5068958218990498,5206,0.8882443269066712,315,0.05374509469373827,340,0.058010578399590514,409,0.0818491094656794,3693,0.7390434260556333,895,0.17910746447868722,577,0.16108319374651034,1369,0.3821887213847013,1636,0.4567280848687884
4,0.7131842635724551,0.8719839652398722,0.7261989355731358,0.5413698899043577,5234,0.8930216686572258,288,0.04913837229141785,339,0.05783995905135642,362,0.07244346607964779,3720,0.7444466680008005,915,0.18310986591955172,548,0.15298715801228363,1239,0.3458961474036851,1795,0.5011166945840313
5,0.7818828394155751,0.9808323352368651,0.7587658023876236,0.6060503806222366,5758,0.9824262071318888,3,0.0005118580447022692,100,0.017061934823408974,2,0.00040024014408645187,3905,0.7814688813287973,1090,0.21813087852711627,120,0.03350083752093802,1387,0.387213847012842,2075,0.57928531546622
6,0.7843578828948917,0.9803974236452857,0.7602323926744339,0.6124438323649553,5753,0.9815731103907183,4,0.000682477392936359,104,0.017744412216345335,4,0.0008004802881729037,3897,0.7798679207524515,1096,0.21933159895937562,118,0.03294249022892239,1353,0.3777219430485762,2111,0.5893355667225014
7,0.7816752578297378,0.9798418215382091,0.7584700993654426,0.6067138525855617,5736,0.9786725814707388,2,0.0003412386964681795,123,0.02098617983279304,2,0.00040024014408645187,3899,0.7802681608965379,1096,0.21933159895937562,109,0.030429927414852037,1382,0.3858179787828029,2091,0.583752093802345
8,0.7842619777942906,0.9801131138944431,0.7633338776748164,0.6093389418136121,5741,0.9795256782119093,13,0.002218051527043167,107,0.0182562702610476,5,0.0010006003602161296,3961,0.7926756053632179,1031,0.20632379427656594,108,0.03015075376884422,1406,0.3925181462869905,2068,0.5773310999441653
9,0.7868324785127209,0.9780160409005145,0.7630701435955298,0.6194112510421179,5739,0.9791844395154411,11,0.001876812830574987,111,0.018938747653983963,19,0.0038022813688212928,3909,0.7822693616169701,1069,0.21392835701420854,117,0.032663316582914576,1328,0.3707426018983808,2137,0.5965940815187046
10,0.78118039287786,0.9639845405305468,0.7618659399922368,0.6176906981107961,5676,0.9684354205766934,47,0.008019109367002219,138,0.023545470056304384,72,0.014408645187112268,3901,0.7806684010406244,1024,0.20492295377226336,167,0.04662199888330541,1295,0.36152987158012284,2120,0.5918481295365717
11,0.7975547969637709,0.979046570465982,0.7750276020726221,0.6385902183527087,5746,0.9803787749530797,0,0.0,115,0.01962122504692032,0,0.0,3932,0.7868721232739644,1065,0.21312787672603561,131,0.03657174762702401,1217,0.3397543271915131,2234,0.6236739251814629
12,0.8033512432659489,0.980220306190623,0.7803802219706438,0.6494532016365796,5749,0.9808906329977819,0,0.0,112,0.01910936700221805,0,0.0,3955,0.7914748849309585,1042,0.20852511506904142,120,0.03350083752093802,1184,0.3305415968732552,2278,0.6359575656058069
13,0.8075570049974581,0.9808017174227945,0.7848177360440232,0.6570515615255564,5747,0.9805493943013137,0,0.0,114,0.01945060569868623,0,0.0,3979,0.796277766659996,1018,0.203722233340004,111,0.03098827470686767,1164,0.3249581239530988,2307,0.6440536013400335
14,0.8122698221005749,0.9792093448320198,0.791539411573815,0.6660607098958896,5746,0.9803787749530797,1,0.00017061934823408976,114,0.01945060569868623,0,0.0,4001,0.800680408244947,996,0.19931959175505304,129,0.036013400335008376,1110,0.3098827470686767,2343,0.6541038525963149
15,0.8097911270359628,0.9782223566337358,0.7879397347820906,0.6632112896920621,5727,0.977137007336632,2,0.0003412386964681795,132,0.022521753966899847,0,0.0,3971,0.7946768060836502,1026,0.20532319391634982,121,0.03378001116694584,1109,0.3096035734226689,2352,0.6566164154103853
16,0.8174217451926665,0.9784217931937764,0.7983549516018171,0.6754884907824059,5736,0.9786725814707388,2,0.0003412386964681795,123,0.02098617983279304,0,0.0,4034,0.8072843706223735,963,0.19271562937762657,128,0.03573422668900056,1073,0.29955332216638747,2381,0.664712451144612
17,0.8209754632412339,0.9769628649740817,0.8050681159757509,0.6808954087738689,5725,0.9767957686401638,0,0.0,136,0.023204231359836205,0,0.0,4076,0.8156894136481889,921,0.18431058635181108,134,0.03740926856504746,1053,0.29396984924623115,2395,0.6686208821887214
18,0.8219979315515533,0.9771532657467121,0.805895006762681,0.6829455221452667,5731,0.9778194847295684,0,0.0,130,0.022180515270431668,0,0.0,4074,0.8152891735041025,923,0.18471082649589754,138,0.038525963149078725,1040,0.29034059184812955,2404,0.6711334450027917
19,0.825212421504102,0.9774921257073327,0.81144626740663,0.6866988713983435,5731,0.9778194847295684,0,0.0,130,0.022180515270431668,0,0.0,4131,0.8266960176105663,866,0.17330398238943365,134,0.03740926856504746,1054,0.294249022892239,2394,0.6683417085427136
20,0.8408842024619746,0.9774909190061536,0.8275292680631899,0.7176324203165801,5732,0.9779901040778024,1,0.00017061934823408976,128,0.02183927657396349,0,0.0,4168,0.8341004602761657,829,0.1658995397238343,135,0.03768844221105527,907,0.25321049692908987,2540,0.7091010608598548
21,0.8451443515957985,0.9781555611093087,0.8317904805868379,0.725487013091249,5732,0.9779901040778024,2,0.0003412386964681795,127,0.021668657225729398,0,0.0,4188,0.8381028617170302,809,0.16189713828296978,127,0.03545505304299274,883,0.24651032942490228,2572,0.718034617532105
22,0.8449638941246828,0.9781947987257308,0.8311313451626466,0.7255655384856711,5742,0.9796962975601433,1,0.00017061934823408976,118,0.02013308309162259,0,0.0,4172,0.8349009405643386,825,0.1650990594356614,137,0.03824678950307091,869,0.24260189838079285,2576,0.7191513121161363
23,0.8457605640099152,0.9781020603717783,0.8329655453106181,0.7262140863473496,5740,0.9793550588636751,0,0.0,121,0.020644941136324858,0,0.0,4192,0.8389033420052031,805,0.1610966579947969,136,0.03796761585706309,876,0.24455611390284757,2570,0.7174762702400893
24,0.8482565371801645,0.9783478182979876,0.836424403149195,0.7299973900933111,5738,0.979013820167207,0,0.0,123,0.02098617983279304,0,0.0,4221,0.8447068240944566,776,0.1552931759055433,131,0.03657174762702401,875,0.24427694025683974,2576,0.7191513121161363
25,0.8435139664404051,0.9776503097273604,0.8313753356274978,0.7215162539663573,5730,0.9776488653813342,0,0.0,131,0.022351134618665756,0,0.0,4198,0.8401040624374625,799,0.15989593756253753,131,0.03657174762702401,904,0.25237297599106645,2547,0.7110552763819096
26,0.8417523658305557,0.9775637742813827,0.8290765093022341,0.7186168139080504,5729,0.9774782460331002,0,0.0,132,0.022521753966899847,0,0.0,4184,0.8373023814288573,813,0.16269761857114268,131,0.03657174762702401,912,0.254606365159129,2539,0.708821887213847
27,0.8385362981942116,0.9780958315309247,0.8256032251158862,0.711909837935824,5737,0.9788432008189729,0,0.0,124,0.021156799181027128,0,0.0,4180,0.8365019011406845,817,0.1634980988593156,133,0.037130094919039645,949,0.2649357900614182,2500,0.6979341150195422
28,0.835195352264921,0.9785217030815051,0.8222033631087641,0.7048609906044939,5739,0.9791844395154411,0,0.0,122,0.02081556048455895,0,0.0,4180,0.8365019011406845,817,0.1634980988593156,130,0.036292573981016193,991,0.2766610831937465,2461,0.6870463428252372
29,0.8363030446411447,0.9769772768224702,0.8245314143503396,0.7074004427506246,5728,0.977307626684866,1,0.00017061934823408976,132,0.022521753966899847,0,0.0,4185,0.8375025015009006,812,0.16249749849909945,137,0.03824678950307091,968,0.2702400893355667,2477,0.6915131211613623
30,0.835722623358271,0.9773934965879292,0.8242961082105775,0.7054782652763064,5727,0.977137007336632,1,0.00017061934823408976,133,0.022692373315133935,0,0.0,4200,0.840504302581549,797,0.15949569741845107,131,0.03657174762702401,992,0.2769402568397543,2459,0.6864879955332217
31,0.8370441496664394,0.9768102449145145,0.8266753001141959,0.7076469039706076,5728,0.977307626684866,0,0.0,133,0.022692373315133935,0,0.0,4210,0.8425055033019812,787,0.15749449669801882,139,0.03880513679508654,978,0.2730318257956449,2465,0.6881630374092685
32,0.8362832488786518,0.9766322515335839,0.825451145355623,0.7067663497467482,5724,0.9766251492919297,0,0.0,137,0.023374850708070296,0,0.0,4198,0.8401040624374625,799,0.15989593756253753,137,0.03824678950307091,976,0.27247347850362924,2469,0.6892797319932998
33,0.8384123956015421,0.9770485115335956,0.8277660294203072,0.7104226458507235,5725,0.9767957686401638,0,0.0,136,0.023204231359836205,0,0.0,4213,0.8431058635181109,784,0.15689413648188913,133,0.037130094919039645,969,0.2705192629815745,2480,0.6923506420993858
34,0.8392903365593337,0.9775427088377174,0.8285055071911153,0.7118227936491683,5723,0.9764545299436956,0,0.0,138,0.023545470056304384,0,0.0,4222,0.8449069441664999,775,0.1550930558335001,125,0.03489670575097711,973,0.2716359575656058,2484,0.6934673366834171
