layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6530755798653747,0.8172802633256715,0.6635299743456293,0.4784165019248231,4840,0.8257976454529944,425,0.07251322299948815,596,0.10168913154751749,484,0.09685811486892135,3301,0.6605963578146888,1212,0.24254552731638984,659,0.18397543271915132,1227,0.3425460636515913,1696,0.4734785036292574
1,0.6863188908708896,0.8644922092083736,0.6861495910670717,0.5083148723372235,5082,0.8670875277256441,311,0.05306261730080191,468,0.079849854973554,306,0.06123674204522714,3433,0.6870122073243946,1258,0.2517510506303782,508,0.14182021217197097,1265,0.35315466219988834,1809,0.5050251256281407
2,0.7040007311179038,0.884469940971964,0.7070000875827567,0.5205321647989912,5213,0.8894386623443098,217,0.03702439856679748,431,0.07353693908889268,239,0.047828697218330996,3546,0.7096257754652792,1212,0.24254552731638984,475,0.13260748185371302,1269,0.3542713567839196,1838,0.5131211613623674
3,0.7119631352516612,0.8889433502482053,0.7140625249288253,0.5328835305779531,5223,0.8911448558266507,205,0.0349769663879884,433,0.07387817778536086,235,0.047028216930158094,3593,0.7190314188513108,1169,0.23394036421853112,432,0.12060301507537688,1267,0.353713009491904,1883,0.5256839754327192
4,0.7204460243153546,0.8875452123907831,0.7250063245836069,0.5487865359716741,5224,0.8913154751748849,215,0.036683159870329295,422,0.07200136495478587,244,0.04882929757854713,3650,0.7304382629577747,1103,0.2207324394636782,443,0.12367392518146288,1207,0.336962590731435,1932,0.5393634840871022
5,0.7737218161634006,0.9680328402004355,0.7494739870882506,0.6036586212015159,5663,0.9662173690496503,6,0.0010237160894045385,192,0.03275891486094523,3,0.0006003602161296778,3739,0.7482489493696217,1255,0.25115069041424853,173,0.04829704075935232,1235,0.34477945281965383,2174,0.6069235064209939
6,0.7751974680553914,0.9677328293629861,0.7534212724122039,0.6044383023909842,5668,0.9670704657908207,7,0.0011943354376386282,186,0.03173519877154069,4,0.0008004802881729037,3776,0.7556533920352211,1217,0.24354612767660597,181,0.050530429927414855,1242,0.34673366834170855,2159,0.6027359017308767
7,0.7744509637354916,0.96795008221196,0.7500573365339377,0.6053454724605773,5663,0.9662173690496503,11,0.001876812830574987,187,0.03190581811977478,2,0.00040024014408645187,3743,0.7490494296577946,1252,0.2505503301981189,175,0.04885538805136795,1228,0.3428252372975991,2179,0.6083193746510329
8,0.773173706817111,0.9668532624667424,0.7511792217446177,0.6014886362399727,5658,0.9653642723084798,13,0.002218051527043167,190,0.03241767616447705,7,0.0014008405043025814,3769,0.7542525515309185,1221,0.24434660796477886,178,0.0496929089893914,1256,0.350642099385818,2148,0.5996649916247906
9,0.7726246916742587,0.9653359930194508,0.7523347547215644,0.6002033272817606,5653,0.9645111755673094,16,0.002729909571745436,192,0.03275891486094523,9,0.0018010806483890335,3779,0.7562537522513508,1209,0.24194516710026015,189,0.052763819095477386,1255,0.35036292573981015,2138,0.5968732551647125
10,0.7786487403721578,0.9591908402669974,0.7600784214010187,0.6166769594484571,5617,0.9583688790308821,36,0.006142296536427231,208,0.03548882443269067,36,0.007204322593556134,3811,0.762657594556734,1150,0.23013808284970982,198,0.05527638190954774,1181,0.3297040759352317,2203,0.6150195421552206
11,0.7856721359763706,0.9684615135755068,0.762154424100542,0.6264004702530633,5665,0.9665586077461185,6,0.0010237160894045385,190,0.03241767616447705,1,0.00020012007204322593,3779,0.7562537522513508,1217,0.24354612767660597,172,0.0480178671133445,1134,0.3165829145728643,2276,0.6353992183137912
12,0.7837514366327646,0.9686778255898398,0.764128627549318,0.618447856759136,5675,0.9682648012284593,3,0.0005118580447022692,183,0.031223340726838425,3,0.0006003602161296778,3832,0.7668601160696418,1162,0.23253952371422854,178,0.0496929089893914,1198,0.3344500279173646,2206,0.615857063093244
13,0.7932068410034727,0.9686334309301318,0.7721455426055133,0.6388415494747728,5667,0.9668998464425866,6,0.0010237160894045385,188,0.032076437468008874,0,0.0,3833,0.7670602361416851,1164,0.232939763858315,173,0.04829704075935232,1092,0.304857621440536,2317,0.6468453378001117
14,0.7953091784386986,0.9689646529646806,0.7744059400556245,0.6425569422957912,5682,0.969459136666098,0,0.0,179,0.030540863333902064,1,0.00020012007204322593,3832,0.7668601160696418,1164,0.232939763858315,184,0.0513679508654383,1067,0.2978782802903406,2331,0.6507537688442211
