layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.8286058148324422,0.881013636848893,0.7761979928159913,5431,0.9266336802593415,430,0.07336631974065859,1037,0.2895030709101061,2545,0.7104969290898939,0.8937613977781375,9443
1,0.8537201394506868,0.8936996004536816,0.8137406784476919,5372,0.9165671387135301,489,0.08343286128646989,789,0.2202680067001675,2793,0.7797319932998324,0.9243971962573794,9443
2,0.8733965525387166,0.9070430130336777,0.8397500920437556,5420,0.9247568674287664,441,0.07524313257123358,670,0.1870463428252373,2912,0.8129536571747628,0.9514394487612898,9443
3,0.8742404031873366,0.9067713872005321,0.8417094191741412,5388,0.9192970482852756,473,0.08070295171472446,635,0.1772752652149637,2947,0.8227247347850363,0.9502685463659685,9443
4,0.8839419727059172,0.9134481432284582,0.8544358021833762,5408,0.9227094352499573,453,0.07729056475004266,572,0.15968732551647125,3010,0.8403126744835288,0.9556861275601353,9443
5,0.9752636534480095,0.9812283177470589,0.96929898914896,5751,0.9812318716942501,110,0.018768128305749872,110,0.030709101060859854,3472,0.9692908989391401,0.9987283806769838,9443
6,0.9736979602080831,0.9800225988653185,0.9673733215508478,5740,0.9793550588636751,121,0.020644941136324858,113,0.031546621998883306,3469,0.9684533780011167,0.9986945422436155,9443
7,0.9734919457563442,0.9798300520314562,0.9671538394812323,5733,0.9781607234260365,128,0.02183927657396349,108,0.03015075376884422,3474,0.9698492462311558,0.9987810028924595,9443
8,0.9742733316185039,0.980433024594625,0.968113638642383,5738,0.979013820167207,123,0.02098617983279304,106,0.02959240647682859,3476,0.9704075935231714,0.9985575319269546,9443
9,0.9726687237968247,0.9792755522546892,0.9660618953389601,5744,0.9800375362566115,117,0.0199624637433885,126,0.035175879396984924,3456,0.964824120603015,0.9976129736683934,9443
10,0.9613026124692163,0.9706697415043333,0.9519354834340993,5693,0.9713359494966729,168,0.028664050503327078,176,0.04913456169737577,3406,0.9508654383026243,0.9939919285963758,9443
11,0.9727996663970894,0.9793384643001775,0.9662608684940013,5736,0.9786725814707388,125,0.02132741852926122,117,0.032663316582914576,3465,0.9673366834170855,0.9987909865294577,9443
12,0.9741373306230574,0.9803765116955662,0.9678981495505485,5746,0.9803787749530797,115,0.01962122504692032,115,0.03210496929089894,3467,0.9678950307091011,0.9988443314131292,9443
13,0.9735676334658994,0.9799580278027994,0.9671772391289994,5745,0.9802081556048456,116,0.019791844395154412,119,0.0332216638749302,3463,0.9667783361250698,0.9988201581070593,9443
14,0.9723308444374728,0.9790199108638464,0.9656417780110991,5741,0.9795256782119093,120,0.02047432178809077,126,0.035175879396984924,3456,0.964824120603015,0.9987757400402313,9443
15,0.9720155739044896,0.9787370796305671,0.965294068178412,5731,0.9778194847295684,130,0.022180515270431668,119,0.0332216638749302,3463,0.9667783361250698,0.99872262362136,9443
16,0.972112114171847,0.9788421224881383,0.9653821058555557,5738,0.979013820167207,123,0.02098617983279304,125,0.03489670575097711,3457,0.9651032942490229,0.9987034350265696,9443
17,0.9697638007252272,0.9770347192313311,0.9624928822191233,5724,0.9766251492919297,137,0.023374850708070296,132,0.03685092127303183,3450,0.9631490787269682,0.9985790995172346,9443
