layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5922772552784017,0.7756596004270245,0.6558454491137223,0.3453267162944582,5086,0.8570947084597236,644,0.10852713178294573,204,0.034378159757330634,972,0.20356020942408376,3293,0.6896335078534032,510,0.1068062827225131,1122,0.34134469120778826,1330,0.4046242774566474,835,0.2540310313355643,0.9013387163161515,0.3452193585548658,0.8632727522040113,0.8103430869088477,0.854261731854371
1,0.5933252516241554,0.7921775570386466,0.6587645755035174,0.32903362233030237,5104,0.8601280754971351,689,0.11611054937647455,141,0.023761375126390292,834,0.17465968586387434,3418,0.7158115183246073,523,0.10952879581151832,1014,0.3084879829631883,1495,0.45482202616367506,778,0.2366899908731366,0.9209764978708739,0.3288782374035978,0.8635979031168197,0.8237082589002362,0.8604733045799235
2,0.6264334708428977,0.7963673373522273,0.6783499064684454,0.4045831687080205,5086,0.8570947084597236,629,0.10599932591843612,219,0.036905965621840245,798,0.16712041884816753,3445,0.7214659685863875,532,0.11141361256544502,955,0.2905384849406754,1308,0.39793124429571036,1024,0.3115302707636142,0.9282554238284499,0.4045651636773565,0.8685509911393948,0.832402757620765,0.8673301007565687
3,0.6464593695711546,0.8288531891204072,0.7007341576506955,0.40979076194236086,5211,0.878159757330637,552,0.09302325581395349,171,0.028816986855409503,578,0.12104712041884817,3627,0.7595811518324608,570,0.1193717277486911,851,0.2588986918162458,1398,0.4253118344995437,1038,0.3157894736842105,0.951154646214448,0.4096215437552367,0.869573586463703,0.8663074694519519,0.8916128833974357
4,0.6553370884847515,0.837747287811104,0.7057451151939341,0.4225188624492165,5251,0.8849005729693293,506,0.08527131782945736,177,0.029828109201213347,532,0.11141361256544502,3630,0.7602094240837697,613,0.12837696335078533,819,0.24916337085488288,1376,0.4186188013386066,1092,0.3322178278065105,0.9592637243535617,0.42245878806051496,0.8691930281924872,0.8770507026968769,0.9001668094971826
5,0.7026541449120067,0.91066047723756,0.7124318969787024,0.4848700605197579,5591,0.9421975058982137,233,0.03926525109538254,110,0.018537243006403775,320,0.06701570680628273,3596,0.7530890052356021,859,0.17989528795811519,434,0.13203529053848495,1491,0.4536051110435047,1362,0.41435959841801034,0.9833190636868375,0.48433515738373345,0.8706579716716292,0.9330234583120864,0.9463460070992461
6,0.7005482640657691,0.9065063764113395,0.7154795065658576,0.4796589092201101,5580,0.9403437815975733,221,0.037243006403774856,133,0.022413211998651837,320,0.06701570680628273,3596,0.7530890052356021,859,0.17989528795811519,477,0.1451171280803164,1460,0.4441740188621844,1350,0.4107088530574992,0.9830075627264427,0.47909922970306,0.8690257768780812,0.9318477529904223,0.9455873005647526
7,0.7134140100560614,0.9105557382439987,0.7166699781442479,0.5130163137799375,5538,0.9332659251769464,262,0.044152342433434445,134,0.022581732389619143,305,0.06387434554973823,3607,0.755392670157068,863,0.1807329842931937,387,0.11773653787648311,1422,0.4326133252205659,1478,0.449650136902951,0.9818446283266684,0.5127292578096644,0.8737678690567673,0.9299735944298426,0.9434527687638777
8,0.6641901048933229,0.854598445595855,0.6919422088626006,0.446029660221513,5278,0.8894506235254466,517,0.08712504213009774,139,0.02342433434445568,494,0.10345549738219895,3568,0.7472251308900524,713,0.1493193717277487,646,0.19653179190751446,1453,0.4420444174018862,1188,0.3614237906905993,0.9623502401360172,0.4456991307551655,0.869802803413867,0.8841956052316562,0.9054096681082404
9,0.6642450073459649,0.8566365979381443,0.6986341179889567,0.43746430611079384,5318,0.8961914391641389,463,0.07802494101786316,153,0.02578361981799798,505,0.10575916230366492,3606,0.7551832460732985,664,0.13905759162303666,659,0.20048676604806814,1479,0.44995436568299363,1149,0.3495588682689382,0.962347439027049,0.43758910430859743,0.8700301791519814,0.8853042192398599,0.9072894537548537
10,0.6685913665271249,0.8533096257981088,0.7010209042294604,0.45144356955380577,5279,0.8896191439164138,484,0.08156386922817661,171,0.028816986855409503,498,0.1042931937172775,3605,0.7549738219895288,672,0.14073298429319372,662,0.20139945238819593,1421,0.4323090964405233,1204,0.3662914511712808,0.961673290369409,0.45141182563070253,0.8708516978617089,0.8838494383914879,0.9059538968044064
11,0.7008433077043348,0.8955126638977116,0.7209847596717468,0.4860324995435457,5498,0.9265251095382542,310,0.05224132119986518,126,0.021233569261880688,352,0.073717277486911,3690,0.7727748691099476,733,0.15350785340314135,495,0.15059324612108305,1461,0.44447824764222693,1331,0.40492850623668997,0.9806964600160718,0.48596435682916106,0.874966094043438,0.9227747484894625,0.9377751899833695
12,0.7113641405734484,0.8945436750672865,0.7313667649950836,0.5081819816579752,5484,0.9241658240647118,311,0.05240984159083249,139,0.02342433434445568,334,0.06994764397905759,3719,0.778848167539267,722,0.15120418848167538,509,0.15485244904167933,1365,0.4152722847581381,1413,0.4298752662001825,0.9809415006328956,0.5080750802925842,0.87806888433396,0.9240875529840771,0.9387505866025082
13,0.7048427409412018,0.8808374907990513,0.720448069175592,0.513242662848962,5385,0.9074823053589485,392,0.06605999325918437,157,0.026457701381867205,399,0.08356020942408376,3666,0.7677486910994764,710,0.1486910994764398,509,0.15485244904167933,1344,0.4088834803772437,1434,0.43626407058107697,0.9746628431828016,0.5132144979074527,0.8785920336973753,0.9087106593812522,0.9260484273962242
14,0.7662161778130615,0.9466822664215276,0.7536955653216141,0.5982707016960426,5664,0.9544994944388271,193,0.03252443545669026,77,0.012976070104482642,151,0.03162303664921466,3773,0.7901570680628273,851,0.17821989528795812,217,0.06601764526924248,1271,0.3866747794341345,1799,0.5473075752966231,0.9940288177204021,0.598158575159555,0.8900673295594528,0.9610715007011248,0.9683323824611547
15,0.7757572812647329,0.9490163248221013,0.7611295347201287,0.6171259842519685,5668,0.9551735760026964,178,0.029996629592180656,88,0.01482979440512302,148,0.030994764397905758,3787,0.7930890052356021,840,0.17591623036649215,195,0.05932461210830545,1211,0.3684210526315789,1881,0.5722543352601156,0.9941215847905296,0.61689700814436,0.8934142056787552,0.9619883323566057,0.9691059671267432
16,0.7897640499060303,0.9514612025529056,0.7728882144663631,0.6449427326988224,5665,0.9546680148297944,182,0.03067071115604988,87,0.014661274014155713,129,0.02701570680628272,3820,0.8,826,0.17298429319371728,180,0.05476118040766657,1108,0.337085488287192,1999,0.6081533313051415,0.9949574461496861,0.6449115560002527,0.899003639717245,0.9644860652577283,0.970985513401
17,0.8020450855598703,0.9552540658970253,0.7821862348178138,0.6686949559647718,5668,0.9551735760026964,197,0.03319851702055949,69,0.011627906976744186,110,0.023036649214659685,3864,0.8092146596858639,801,0.16774869109947643,155,0.04715546090660176,1044,0.3176148463644661,2088,0.6352296927289321,0.9951629366758287,0.6686374398578636,0.9048619762339373,0.9649897721096062,0.9712656957895582
18,0.8314350418993346,0.9779269827947965,0.8188278916469255,0.6975502512562815,5826,0.9817997977755308,36,0.006066734074823054,72,0.012133468149646108,12,0.002513089005235602,3975,0.8324607329842932,788,0.1650261780104712,143,0.04350471554609066,923,0.28080316397931243,2221,0.6756921204745969,0.9997195889020212,0.6973917866549103,0.9109384160579918,0.9940518820771654,0.9951838344527115
19,0.8391674541392313,0.9765329295987888,0.8246406570841889,0.7163287757347163,5805,0.9782608695652174,65,0.010953825412874959,64,0.010785305021907651,26,0.005445026178010471,4016,0.8410471204188482,733,0.15350785340314135,124,0.03772436872528141,884,0.26893824155765134,2279,0.6933373897170673,0.9994510202789684,0.716301114619795,0.9165487508180933,0.9895807571883799,0.9915398606607138
20,0.8440057154653849,0.9763739946380697,0.831374974232117,0.724268177525968,5827,0.9819683181664981,58,0.00977418267610381,49,0.008257499157398046,25,0.005235602094240838,4033,0.844607329842932,717,0.15015706806282722,150,0.04563431700638881,836,0.2543352601156069,2301,0.7000304228780042,0.999520936208732,0.7241121419629482,0.9190395500827027,0.9908202671369961,0.9925622648190838
21,0.8416763635333222,0.9780090649655867,0.8293785310734463,0.7176414945609333,5826,0.9817997977755308,49,0.008257499157398046,59,0.009942703067071115,17,0.0035602094240837698,4037,0.8454450261780104,721,0.15099476439790577,137,0.041679342865835106,874,0.2658959537572254,2276,0.6924247033769395,0.99962521565151,0.7175529659911039,0.9172740248285773,0.9924873787271832,0.9939155562110814
22,0.8379375492161859,0.9760388739946381,0.8257599175682638,0.7120138560856558,5825,0.9816312773845636,51,0.008594539939332659,58,0.00977418267610381,23,0.0048167539267015705,4007,0.8391623036649215,745,0.15602094240837697,154,0.04685123212655917,872,0.26528749619714026,2261,0.6878612716763006,0.999529869648056,0.7118801194146916,0.9154875397492823,0.9912378024233066,0.9928998853880762
23,0.8566559454083258,0.9813319878910192,0.8467850836189883,0.7418507647149699,5835,0.9833164812942367,10,0.0016852039096730705,89,0.014998314796090328,3,0.0006282722513089005,4076,0.8536125654450262,696,0.14575916230366492,120,0.03650745360511105,766,0.2330392455126255,2401,0.7304533008822635,0.999968593572626,0.7417931857062168,0.9223500645657733,0.9983275608461962,0.998650002039923
24,0.8574836343229563,0.9819251786464901,0.8478193307779964,0.7427063935443824,5840,0.9841590832490731,12,0.0020222446916076846,82,0.013818672059319177,1,0.0002094240837696335,4092,0.8569633507853404,682,0.14282722513089005,120,0.03650745360511105,774,0.23547307575296622,2393,0.7280194706419227,0.9999744159579205,0.7426628098251224,0.923055329744711,0.9986412038252048,0.9989030593110133
25,0.8525897700553449,0.9802471211229722,0.8422143893842007,0.7353077996588618,5831,0.9826423997303674,19,0.0032018874283788338,84,0.014155712841253791,6,0.001256544502617801,4062,0.8506806282722513,707,0.1480628272251309,126,0.0383328262853666,790,0.2403407362336477,2371,0.7213264374809857,0.9999622353475853,0.7353250231791474,0.920760048581829,0.9970748361831049,0.997636270344868
26,0.8452719313567542,0.9799831791421363,0.834058421379739,0.7217741935483871,5826,0.9817997977755308,18,0.003033367037411527,90,0.015166835187057633,5,0.0010471204188481676,4026,0.8431413612565445,744,0.15581151832460732,125,0.038028597505324,835,0.2540310313355643,2327,0.7079403711591117,0.9999359478112912,0.7217621590930371,0.9167255416814696,0.9972841440773761,0.9978049731231342
