layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
9,25%,16,0.5252809524536133,0.6247786803299094,0.6278044576926866,0.0030257773627772044,0.42
9,25%,32,0.6202954053878784,0.6653582610896677,0.6691522486802525,0.003793987590584802,1.05
9,25%,64,0.7225051522254944,0.7041709175921179,0.7126851123333222,0.008514194741204295,2.67
9,25%,128,0.8256168961524963,0.7279953259744989,0.7428291639421184,0.014833837967619501,13.29
9,25%,256,0.9137800335884094,0.7469384137108309,0.7749122329756473,0.027973819264816346,32.76
9,25%,512,0.971837043762207,0.7626872762865545,0.8162800916167813,0.05359281533022675,64.46
20,50%,16,0.5014742016792297,0.8044979599761258,0.8068305688770868,0.0023326089009609863,0.4
20,50%,32,0.5812960863113403,0.82618855196315,0.8269211034226137,0.000732551459463715,1.11
20,50%,64,0.6620350480079651,0.8409283144506854,0.8469261333825973,0.005997818931911869,3.58
20,50%,128,0.7456961870193481,0.8479776552238389,0.8612072543511179,0.013229599127278946,16.86
20,50%,256,0.8315216302871704,0.8431204582029642,0.8701539447455827,0.0270334865426185,32.71
20,50%,512,0.910460352897644,0.8397008309568607,0.8876611029375323,0.047960271980671654,64.36
31,75%,16,0.6082168817520142,0.7979951105005659,0.799682241462255,0.0016871309616890429,1.23
31,75%,32,0.6695801019668579,0.8189566140392084,0.8224173936695666,0.0034607796303581795,2.9
31,75%,64,0.7333109974861145,0.834695110513478,0.8426280214211843,0.007932910907706314,8.8
31,75%,128,0.8000408411026001,0.8409381973671962,0.8539105044047742,0.012972307037578013,16.71
31,75%,256,0.8664030432701111,0.8331932391827314,0.8660173136668625,0.03282407448413116,32.54
31,75%,512,0.926500141620636,0.83106910526093,0.8872889317240152,0.05621982646308521,64.15
