layer,Binary C=1.0,Binary C=0.1
0,0.8937613977781375,0.8937146698020738
1,0.9243971962573794,0.9243424047722992
2,0.9514394487612898,0.9513314694051284
3,0.9502685463659684,0.9502944471922474
4,0.9556861275601352,0.9557415290950132
5,0.9987283806769838,0.9987577914427004
6,0.9986945422436156,0.9987487282968904
7,0.9987810028924596,0.9988104192508604
8,0.9985575319269546,0.9985903194805626
9,0.9976129736683934,0.9976192916336836
10,0.9939919285963758,0.993946740857637
11,0.9987909865294576,0.9988649426250132
12,0.9988443314131292,0.9989085295335556
13,0.9988201581070592,0.9988868504245414
14,0.9987757400402312,0.9988613804262588
15,0.99872262362136,0.998823401811416
16,0.9987034350265696,0.998806348517802
17,0.9985790995172346,0.9987320242062177
18,0.9986260173925064,0.9987681985118512
19,0.9986185016086686,0.9987724551127264
20,0.9986114655366404,0.9987312804016952
21,0.9986000528873262,0.9987222416355184
22,0.9986429136684294,0.998766746316908
23,0.9986807997861268,0.9987915366035898
24,0.9986290048539715,0.998790480546441
25,0.998694977773344,0.9988138189365808
26,0.9987141210596104,0.9988245268383488
27,0.9987212886670576,0.9988674221540772
28,0.9987110286051302,0.9988591946795524
29,0.9986691263915488,0.9987858363797922
30,0.99865958598405,0.998780805359792
31,0.9986388842618112,0.9987842720926908
32,0.9986560337847116,0.9987753439708732
33,0.9986485056508048,0.998766389692193
34,0.9986246959627496,0.9987522261986872
35,0.9986564962908436,0.99875210766795
36,0.9986315018314296,0.998759389046168
37,0.9986641332974058,0.9987672689015732
38,0.9986653250607892,0.9987741803277648
39,0.9986725839458478,0.99876343712624
40,0.998674730184576,0.9988020192137274
41,0.9986659148809408,0.9987866554566548
