layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.4121870929967033,0.4735991734934034,0.3453267162944582,0.4575225439012814
1,0.4188608499168581,0.4676967744225945,0.3290336223303023,0.4656548271006102
2,0.4703151853039949,0.494032146207956,0.4045831687080205,0.4919227114349065
3,0.4785500928143801,0.518245536252252,0.4097907619423608,0.516389622494951
4,0.507180232480745,0.5336914919923362,0.4225188624492165,0.5212271459559963
5,0.5658464746686219,0.5816853728109035,0.4848700605197579,0.5676978081765894
6,0.5582537741775383,0.5825585459857734,0.4796589092201101,0.5761087930768042
7,0.5833208853095166,0.588287918662293,0.5130163137799375,0.5868928296067849
8,0.5379763459884831,0.5716572436748694,0.446029660221513,0.5732798518975625
9,0.5338680618767255,0.569416054971384,0.4374643061107938,0.5774669774669775
10,0.5264988865443936,0.572044821202282,0.4514435695538057,0.5629927345803061
11,0.5574108751489197,0.590177367761043,0.4860324995435457,0.5798279906176701
12,0.5842011136227588,0.5853593288615813,0.5081819816579752,0.5842454139047325
13,0.5683289284967203,0.5822286802682491,0.513242662848962,0.581207218419415
14,0.6184787392220621,0.6229846041301317,0.5982707016960426,0.6214931779855895
15,0.6389943754670032,0.6328659276758448,0.6171259842519685,0.6240322081139672
16,0.6532680784677084,0.635100414960589,0.6449427326988224,0.6353667953667954
17,0.6739003301715261,0.6603288537634007,0.6686949559647718,0.6624048706240487
18,0.6864965173751036,0.6739929915151155,0.6975502512562815,0.6715506715506715
19,0.7047598793735907,0.6825342250732586,0.7163287757347163,0.6896761441386651
20,0.7217515791908637,0.6913795981102978,0.724268177525968,0.6907642824322254
21,0.7208917869426231,0.6950555755740677,0.7176414945609333,0.6846485819975339
22,0.7070053269679151,0.6837093068945951,0.7120138560856558,0.6967503465270292
23,0.7361038027734936,0.7033605116248622,0.7418507647149699,0.7090027280994241
24,0.7366027577080956,0.7035542552484546,0.7427063935443824,0.7116229731777542
25,0.7295455013061124,0.7000870811168476,0.7353077996588618,0.6988653787181847
26,0.7191468770122306,0.6937702078483282,0.7217741935483871,0.6923543689320388
27,0.7092795821940682,0.6904441546485834,0.7162645914396887,0.6904184354154033
28,0.7083616956267057,0.6814625197423472,0.7144622991347342,0.6905654717264137
29,0.7033516162957115,0.6804833958175461,0.6985420912368709,0.6874714568427462
30,0.7013154674670914,0.6813701091097356,0.7013270882123341,0.6826952526799387
31,0.7078563256982034,0.6860761869906977,0.7026352721035397,0.6851338873499538
32,0.7122129731972028,0.6900178246947434,0.7053710027941633,0.6878533231474407
33,0.7031740227444752,0.6865929650093271,0.6993006993006993,0.689759491756164
34,0.7069220207910127,0.6844083182002505,0.70138349137261,0.6926328502415459
35,0.707641916010505,0.6835135333968732,0.7004206262657735,0.6959818043972706
36,0.7088302358498961,0.6955635258830664,0.6986516149263092,0.693871359223301
37,0.7078579286659673,0.6768527526665766,0.702583490863264,0.6915070146326746
38,0.7061454796816177,0.6814816843836314,0.7039442420402344,0.6906980296318924
39,0.702966778300827,0.6815051435174251,0.70368,0.6850199938480468
40,0.6992367899966219,0.6818121993543486,0.6970182750881693,0.6785276073619632
41,0.7003029844104554,0.684561758339987,0.6983529411764706,0.6924471299093655
