layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.613257415355906,0.853337328904107,0.5610104993592772,0.425424417804334,5511,0.8747619047619047,278,0.044126984126984126,511,0.0811111111111111,422,0.1482782853127196,1565,0.5498945888966971,859,0.3018271257905833,683,0.25609298837645295,892,0.33445819272590926,1092,0.4094488188976378
1,0.6296075932537774,0.8702989583649439,0.5695698758147866,0.44895394558160195,5545,0.8801587301587301,253,0.04015873015873016,502,0.07968253968253969,329,0.11560084328882643,1598,0.5614898102600141,919,0.32290934645115954,569,0.21334833145856769,915,0.34308211473565803,1183,0.4435695538057743
2,0.655233895850354,0.889899195790192,0.6050404735113082,0.4707620182495619,5671,0.9001587301587302,187,0.029682539682539682,442,0.07015873015873016,249,0.08749121574139143,1711,0.601194659170766,886,0.31131412508784256,526,0.19722534683164605,909,0.3408323959505062,1232,0.46194225721784776
3,0.6692333085805108,0.8893490100402872,0.6191972992311185,0.4991536164701268,5658,0.8980952380952381,183,0.029047619047619048,459,0.07285714285714286,240,0.084328882642305,1719,0.6040056219255094,887,0.3116654954321855,526,0.19722534683164605,805,0.30183727034120733,1336,0.5009373828271466
4,0.6782047513680257,0.8947662177558613,0.6334586332617058,0.5063894030865103,5705,0.9055555555555556,162,0.025714285714285714,433,0.06873015873015872,232,0.08151791988756149,1773,0.6229796205200281,841,0.2955024595924104,515,0.19310086239220098,816,0.3059617547806524,1336,0.5009373828271466
5,0.745472124101625,0.9694979654001328,0.6781449432566236,0.5887734636481186,6105,0.969047619047619,7,0.0011111111111111111,188,0.029841269841269842,2,0.0007027406886858749,1929,0.6777933942375264,915,0.32150386507378775,187,0.07011623547056618,906,0.33970753655793023,1574,0.5901762279715036
6,0.7422061632806786,0.9699123503106508,0.6695730777763764,0.5871330617550082,6111,0.97,4,0.0006349206349206349,185,0.029365079365079365,5,0.0017568517217146872,1888,0.6633872101194659,953,0.3348559381588194,185,0.06936632920884889,901,0.33783277090363706,1581,0.592800899887514
7,0.748605486592045,0.9700166741454372,0.6820542079759164,0.5937455776547813,6116,0.9707936507936508,3,0.0004761904761904762,181,0.02873015873015873,5,0.0017568517217146872,1938,0.6809557273366128,903,0.3172874209416725,189,0.07086614173228346,894,0.33520809898762655,1584,0.59392575928009
8,0.7487994996882623,0.9694669137106408,0.6779819207282871,0.5989496646258587,6099,0.9680952380952381,8,0.0012698412698412698,193,0.030634920634920636,4,0.0014054813773717498,1908,0.6704146170063247,934,0.32817990161630356,179,0.06711661042369704,866,0.32470941132358455,1622,0.6081739782527185
9,0.7399008256441851,0.9665663923500987,0.6732500372415291,0.5798860473409277,6088,0.9663492063492064,14,0.0022222222222222222,198,0.03142857142857143,13,0.004567814476458187,1924,0.6760365425158117,909,0.31939564300773016,196,0.07349081364829396,930,0.34870641169853767,1541,0.5778027746531683
10,0.7415990265572422,0.9548686347678554,0.6785658540967487,0.5913625908071227,6031,0.9573015873015873,45,0.007142857142857143,224,0.035555555555555556,54,0.018973998594518624,1914,0.6725228390723823,878,0.3085031623330991,247,0.09261342332208473,837,0.3138357705286839,1583,0.5935508061492314
11,0.7591955542036528,0.9706917714950762,0.6940202152829148,0.6128746758329674,6113,0.9703174603174604,2,0.00031746031746031746,185,0.029365079365079365,1,0.00035137034434293746,1956,0.6872803935347856,889,0.3123682361208714,181,0.06786651668541432,831,0.31158605174353204,1655,0.6205474315710536
12,0.7680040629977918,0.9707866807988461,0.7071039995854904,0.6261215086090388,6116,0.9707936507936508,1,0.00015873015873015873,183,0.029047619047619048,1,0.00035137034434293746,1993,0.7002810962754743,852,0.29936753338018274,183,0.0686164229471316,797,0.2988376452943382,1687,0.6325459317585301
13,0.7696244654896877,0.9705437077833674,0.7137449423119724,0.6245847463737233,6114,0.9704761904761905,2,0.00031746031746031746,184,0.029206349206349208,1,0.00035137034434293746,2036,0.7153900210822206,809,0.2842586085734364,184,0.06899137607799025,821,0.30783652043494564,1662,0.6231721034870641
14,0.7765205692249856,0.970600848595746,0.7246296935110903,0.6343311655681203,6110,0.9698412698412698,3,0.0004761904761904762,187,0.029682539682539682,0,0.0,2075,0.7290934645115952,771,0.27090653548840476,180,0.06749156355455568,803,0.30108736407949005,1684,0.6314210723659542
15,0.7746952866275025,0.9704002376093509,0.7182983796527804,0.6353872426203763,6116,0.9707936507936508,5,0.0007936507936507937,179,0.028412698412698414,2,0.0007027406886858749,2034,0.7146872803935348,810,0.28460997891777934,187,0.07011623547056618,778,0.291713535808024,1702,0.6381702287214098
16,0.784295454419035,0.9701485659369655,0.7335452585502132,0.6491925387699264,6112,0.9701587301587301,7,0.0011111111111111111,181,0.02873015873015873,2,0.0007027406886858749,2087,0.7333099086437105,757,0.26598735066760365,186,0.06974128233970754,748,0.28046494188226473,1733,0.6497937757780278
17,0.778608269136072,0.9710888098045871,0.7221065278467085,0.6426294697569203,6115,0.9706349206349206,0,0.0,185,0.029365079365079365,0,0.0,2033,0.7143359100491918,813,0.28566408995080816,179,0.06711661042369704,752,0.2819647544056993,1736,0.6509186351706037
