layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.8239619160806952,0.9077318686984652,0.7401919634629253,6007,0.9534920634920635,293,0.046507936507936505,928,0.3479565054368204,1739,0.6520434945631796,0.890326842295875,8967
1,0.8432027151769147,0.9146517693913262,0.7717536609625032,5970,0.9476190476190476,330,0.05238095238095238,784,0.29396325459317585,1883,0.7060367454068242,0.9188834745788708,8967
2,0.8544639864324666,0.9204120015633828,0.7885159713015503,5995,0.9515873015873015,305,0.048412698412698414,732,0.2744656917885264,1935,0.7255343082114736,0.9330953487962257,8967
3,0.8678689580694304,0.9266850582548329,0.8090528578840279,6004,0.953015873015873,296,0.04698412698412698,654,0.2452193475815523,2013,0.7547806524184477,0.9444535213677444,8967
4,0.8738994064039782,0.9302342703143559,0.8175645424936006,6033,0.9576190476190476,267,0.04238095238095238,638,0.23922009748781403,2029,0.760779902512186,0.9473084513205094,8967
5,0.9700998567758908,0.9822270575541564,0.9579726559976253,6191,0.9826984126984127,109,0.0173015873015873,115,0.04311961004874391,2552,0.9568803899512561,0.998210661860292,8967
6,0.969575600905449,0.9819068943660809,0.9572443074448171,6187,0.9820634920634921,113,0.017936507936507938,115,0.04311961004874391,2552,0.9568803899512561,0.9978126142911016,8967
7,0.9701717070744953,0.9821960895391406,0.9581473246098501,6178,0.9806349206349206,122,0.019365079365079366,102,0.03824521934758155,2565,0.9617547806524185,0.9984477660875305,8967
8,0.9680100092207977,0.9809383144244148,0.9550817040171807,6175,0.9801587301587301,125,0.01984126984126984,115,0.04311961004874391,2552,0.9568803899512561,0.9982026506779864,8967
9,0.9633964559409809,0.9782736454363073,0.9485192664456543,6169,0.9792063492063492,131,0.020793650793650795,143,0.0536182977127859,2524,0.9463817022872141,0.9963531979981692,8967
10,0.9415712282940859,0.9656412275158999,0.9175012290722719,6112,0.9701587301587301,188,0.029841269841269842,247,0.09261342332208473,2420,0.9073865766779152,0.9895334332597967,8967
11,0.9697317088310412,0.9819754201021202,0.9574879975599622,6183,0.9814285714285714,117,0.018571428571428572,110,0.0412448443944507,2557,0.9587551556055494,0.9985366007022625,8967
12,0.9702712350136273,0.9822908514941406,0.958251618533114,6185,0.9817460317460317,115,0.018253968253968255,108,0.04049493813273341,2559,0.9595050618672666,0.998579198553849,8967
13,0.9679873556162131,0.980948624425124,0.9550260868073023,6179,0.9807936507936508,121,0.019206349206349206,119,0.04461942257217848,2548,0.9553805774278216,0.9985174591909314,8967
14,0.9682168567000953,0.9811235560898224,0.9553101573103682,6185,0.9817460317460317,115,0.018253968253968255,123,0.04611923509561305,2544,0.953880764904387,0.9984961608228258,8967
15,0.965997954771654,0.9797521603629292,0.9522437491803786,6170,0.9793650793650793,130,0.020634920634920634,125,0.046869141357330335,2542,0.9531308586426697,0.9983957017678584,8967
16,0.9665283744823474,0.9800711614660091,0.9529855874986858,6172,0.9796825396825397,128,0.020317460317460317,123,0.04611923509561305,2544,0.953880764904387,0.9983797650082933,8967
17,0.9642740445750538,0.9787145297740588,0.9498335593760489,6161,0.9779365079365079,139,0.022063492063492063,129,0.048368953880764905,2538,0.9516310461192351,0.9982754088324107,8967
18,0.9635686975358013,0.9783347303314363,0.9488026647401664,6163,0.9782539682539683,137,0.021746031746031746,136,0.0509936257967754,2531,0.9490063742032246,0.9982261792387854,8967
19,0.9623256566605312,0.9776398170436135,0.947011496277449,6165,0.9785714285714285,135,0.02142857142857143,147,0.05511811023622047,2520,0.9448818897637795,0.9982008457220845,8967
20,0.9641942023250465,0.9787504019754202,0.9496380026746728,6171,0.9795238095238096,129,0.020476190476190478,139,0.05211848518935133,2528,0.9478815148106486,0.998239724912786,8967
21,0.9642518017297337,0.9787253107244129,0.9497782927350545,6164,0.9784126984126984,136,0.02158730158730159,132,0.049493813273340834,2535,0.9505061867266592,0.9982602765372018,8967
22,0.9661481832050032,0.9798245821966753,0.9524717842133311,6167,0.9788888888888889,133,0.021111111111111112,121,0.045369328833895765,2546,0.9546306711661042,0.9983342560274597,8967
23,0.9669652809450655,0.9802932950773389,0.9536372668127922,6169,0.9792063492063492,131,0.020793650793650795,117,0.043869516310461196,2550,0.9561304836895388,0.9983379869574718,8967
24,0.9642432516001529,0.9787296598907516,0.9497568433095542,6165,0.9785714285714285,135,0.02142857142857143,133,0.049868766404199474,2534,0.9501312335958005,0.9982832225933075,8967
25,0.9635279391621638,0.9783541637390728,0.948701714585255,6169,0.9792063492063492,131,0.020793650793650795,142,0.05324334458192726,2525,0.9467566554180727,0.9982390241783226,8967
26,0.9654517554435997,0.9794405270515438,0.9514629838356555,6169,0.9792063492063492,131,0.020793650793650795,128,0.047994000749906264,2539,0.9520059992500938,0.9982972010328821,8967
27,0.9637233273674319,0.9784064707760217,0.9490401839588423,6162,0.9780952380952381,138,0.021904761904761906,134,0.050243719535058115,2533,0.9497562804649419,0.9982951375887797,8967
28,0.9659547623097597,0.9797713640186811,0.9521381606008383,6175,0.9801587301587301,125,0.01984126984126984,130,0.048743907011623545,2537,0.9512560929883764,0.9983668400405863,8967
29,0.9646641169764841,0.9789585535323158,0.9503696804206525,6164,0.9784126984126984,136,0.02158730158730159,129,0.048368953880764905,2538,0.9516310461192351,0.9983116049880916,8967
30,0.9651511986241841,0.9792962635781247,0.9510061336702436,6172,0.9796825396825397,128,0.020317460317460317,133,0.049868766404199474,2534,0.9501312335958005,0.9982836377917221,8967
31,0.9655619655590331,0.9795294366426281,0.9515944944754381,6172,0.9796825396825397,128,0.020317460317460317,130,0.048743907011623545,2537,0.9512560929883764,0.9982950896276466,8967
32,0.965293965365702,0.9793710544575008,0.9512168762739031,6171,0.9795238095238096,129,0.020476190476190478,131,0.04911886014248219,2536,0.9508811398575178,0.9983166264071992,8967
33,0.965437181954319,0.9794466485541491,0.9514277153544889,6171,0.9795238095238096,129,0.020476190476190478,130,0.048743907011623545,2537,0.9512560929883764,0.998328069320122,8967
34,0.9638738095488422,0.9784776751464879,0.9492699439511965,6160,0.9777777777777777,140,0.022222222222222223,131,0.04911886014248219,2536,0.9508811398575178,0.998299929240598,8967
35,0.9650645846993517,0.979196505312254,0.9509326640864494,6166,0.9787301587301588,134,0.02126984126984127,128,0.047994000749906264,2539,0.9520059992500938,0.9982896672311581,8967
36,0.9646645004497063,0.9789580728684569,0.9503709280309556,6164,0.9784126984126984,136,0.02158730158730159,129,0.048368953880764905,2538,0.9516310461192351,0.9983214794046529,8967
37,0.9655848467042258,0.9795195194458529,0.9516501739625987,6170,0.9793650793650793,130,0.020634920634920634,128,0.047994000749906264,2539,0.9520059992500938,0.9982736013669147,8967
38,0.9657697445395388,0.9795762711313808,0.9519632179476967,6163,0.9782539682539683,137,0.021746031746031746,120,0.04499437570303712,2547,0.9550056242969629,0.9982644243386913,8967
39,0.9648412482617588,0.97901882430332,0.9506636722201977,6159,0.9776190476190476,141,0.02238095238095238,123,0.04611923509561305,2544,0.953880764904387,0.998316771405974,8967
40,0.9659638294390163,0.9797664640456007,0.9521611948324317,6172,0.9796825396825397,128,0.020317460317460317,127,0.047619047619047616,2540,0.9523809523809523,0.9983033802114372,8967
41,0.9658472499516029,0.9796803924360802,0.9520141074671257,6170,0.9793650793650793,130,0.020634920634920634,126,0.047244094488188976,2541,0.952755905511811,0.9982920981913856,8967
