layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5836302592295607,0.8533199771036062,0.5512305812532728,0.3463402193318031,5963,0.9465079365079365,212,0.03365079365079365,125,0.01984126984126984,817,0.2870695713281799,1579,0.5548137737174983,450,0.15811665495432187,896,0.3359580052493438,1092,0.4094488188976378,679,0.2545931758530184,0.9153387432651146,0.34633973344869845,0.8699055917418631,0.7918945967580916,0.9192648896355369
1,0.5993501036472011,0.8659611992945326,0.5769489247311828,0.35514018691588783,5892,0.9352380952380952,270,0.04285714285714286,138,0.021904761904761906,590,0.2073085031623331,1717,0.6033028812368236,539,0.1893886156008433,826,0.30971128608923887,1119,0.41957255343082117,722,0.27071616047994,0.9378242109863606,0.35467778199394473,0.8659477591426846,0.8308009337441306,0.9294191646647612
2,0.6267807374849451,0.8824791065749574,0.6033633429590624,0.39449976292081557,5966,0.946984126984127,207,0.032857142857142856,127,0.020158730158730157,478,0.1679550245959241,1776,0.624033731553057,592,0.20801124385101896,777,0.29133858267716534,1058,0.39670041244844395,832,0.3119610048743907,0.9563255326365123,0.3945528203165747,0.8683911013145804,0.8688542017492388,0.9445344854795404
3,0.6409762513517395,0.8971517810664089,0.6059155411181398,0.41986143187066977,6032,0.9574603174603175,181,0.02873015873015873,87,0.01380952380952381,407,0.14300773014757553,1772,0.6226282501756851,667,0.23436401967673928,708,0.265466816647919,1050,0.3937007874015748,909,0.3408323959505062,0.9624656299996233,0.4196944597476186,0.8698038996173436,0.885986175048247,0.9513212764599774
4,0.6654381778056547,0.8990470518165575,0.6356589147286822,0.46160856687172475,6038,0.9584126984126984,160,0.025396825396825397,102,0.01619047619047619,394,0.13843991567111735,1845,0.6482782853127196,607,0.21328179901616304,700,0.26246719160104987,954,0.3577052868391451,1013,0.37982752155980504,0.9677079341587713,0.461579084069328,0.8771537966393048,0.8934522893037803,0.9546350109446553
5,0.7518827229763915,0.9821174236429815,0.6833474218089602,0.5901833234772325,6206,0.9850793650793651,7,0.0011111111111111111,87,0.01380952380952381,3,0.0010541110330288123,2021,0.7101194659170766,822,0.2888264230498946,129,0.048368953880764905,1041,0.39032620922384703,1497,0.5613048368953881,0.9999751761751575,0.5900625076362307,0.8879415311212483,0.9982446877034612,0.9992060340904818
6,0.7541412697110399,0.9825811559778306,0.6835572181601769,0.5962854349951124,6205,0.984920634920635,5,0.0007936507936507937,90,0.014285714285714285,3,0.0010541110330288123,2010,0.7062543921293043,833,0.2926914968376669,122,0.045744281964754406,1020,0.38245219347581555,1525,0.5718035245594301,0.9999927469523252,0.5962227769117937,0.8884461413613783,0.9985946396305222,0.9993649531387898
7,0.7647189509275409,0.9822945613338626,0.6936177533115431,0.6182445381372174,6186,0.981904761904762,5,0.0007936507936507937,109,0.0173015873015873,1,0.00035137034434293746,2016,0.708362614195362,829,0.29128601546029514,108,0.04049493813273341,946,0.354705661792276,1613,0.6047994000749907,0.9999955380542745,0.6182124506624861,0.8917847505565033,0.9989473676110862,0.9995236204843192
8,0.7624430577277534,0.9821810406272273,0.6934656175162505,0.6116825150397827,6201,0.9842857142857143,5,0.0007936507936507937,94,0.014920634920634921,3,0.0010541110330288123,2027,0.7122276879831342,816,0.286718200983837,123,0.04611923509561305,968,0.3629546306711661,1576,0.5909261342332208,0.9999735014161061,0.6116540846970902,0.8916762163473317,0.9982434511318884,0.9992063483315125
9,0.7429569349460651,0.9761641673243883,0.6784214945424013,0.5742851429714058,6184,0.9815873015873016,20,0.0031746031746031746,96,0.015238095238095238,24,0.008432888264230498,2020,0.7097680955727337,802,0.2817990161630358,162,0.06074240719910011,1069,0.400824896887889,1436,0.5384326959130109,0.9997033811828928,0.5739375280620004,0.8857024339847925,0.9919050657226549,0.9963520307084931
10,0.7274710754811835,0.9543368339167639,0.6782111634162744,0.5498652291105122,6134,0.9736507936507937,62,0.009841269841269842,104,0.01650793650793651,103,0.03619114546732256,2017,0.7087139845397048,726,0.2550948699929726,318,0.11923509561304838,1023,0.38357705286839144,1326,0.49718785151856015,0.9967695649982211,0.5498544128528697,0.8845321693911263,0.9681386026429182,0.9857623501840702
11,0.7849504470821107,0.9836792901283473,0.7155641340586067,0.6556079170593779,6208,0.9853968253968254,0,0.0,92,0.014603174603174604,0,0.0,2039,0.7164441321152495,807,0.2835558678847505,114,0.04274465691788527,814,0.3052118485189351,1739,0.6520434945631796,1.0,0.6554842798008875,0.9002851122287595,1.0,1.0
12,0.789990675630358,0.9834192780642602,0.7215078386471728,0.6650449101796407,6198,0.9838095238095238,0,0.0,102,0.01619047619047619,0,0.0,2048,0.7196064652143359,798,0.2803935347856641,107,0.04011998500187477,783,0.29358830146231724,1777,0.6662917135358081,1.0,0.6649856648144692,0.9020926007534467,1.0,1.0
13,0.8019034118985927,0.9839580686149937,0.7373060648801129,0.6844461022006714,6195,0.9833333333333333,0,0.0,105,0.016666666666666666,0,0.0,2091,0.7347153900210822,755,0.2652846099789178,97,0.03637045369328834,735,0.2755905511811024,1835,0.6880389951256093,1.0,0.6843543517843897,0.9073641655838983,1.0,1.0
14,0.8045712763906016,0.9830858413404272,0.742231638418079,0.6883963494132985,6190,0.9825396825396825,0,0.0,110,0.01746031746031746,0,0.0,2102,0.7385804638088546,744,0.26141953619114544,103,0.0386201724784402,716,0.26846644169478817,1848,0.6929133858267716,1.0,0.6883324874521313,0.9083670807504415,1.0,1.0
15,0.8049367249645335,0.9837262840358816,0.7420208076177041,0.689063083240015,6196,0.9834920634920635,1,0.00015873015873015873,103,0.01634920634920635,0,0.0,2104,0.7392832044975404,742,0.2607167955024596,101,0.03787026621672291,720,0.26996625421822273,1846,0.6921634795650544,1.0,0.6890783843992938,0.9087996814015943,0.9998244073748903,0.9999206034140531
16,0.8113814724497087,0.9829351535836177,0.7539891285288445,0.6972201352366642,6192,0.9828571428571429,3,0.0004761904761904762,105,0.016666666666666666,0,0.0,2150,0.7554462403373156,696,0.24455375966268447,107,0.04011998500187477,704,0.26396700412448443,1856,0.6959130108736408,0.9999997215260373,0.6971597368087904,0.9119178945570814,0.9994735299119191,0.9997618102421596
17,0.8118494049666456,0.9827039035226912,0.7544910179640718,0.6983532934131736,6193,0.983015873015873,0,0.0,107,0.016984126984126983,0,0.0,2142,0.752635277582572,704,0.24736472241742796,111,0.04161979752530934,690,0.25871766029246346,1866,0.6996625421822272,1.0,0.6983648521573698,0.9118236959081084,1.0,1.0
18,0.8137187717625586,0.9834140147607333,0.7568042142230026,0.70093808630394,6196,0.9834920634920635,0,0.0,104,0.01650793650793651,0,0.0,2155,0.7572030920590302,691,0.24279690794096978,105,0.03937007874015748,694,0.260217472815898,1868,0.7004124484439445,1.0,0.700886209767106,0.9128785636390647,1.0,1.0
19,0.8147514873543263,0.983255297198635,0.7585601404741001,0.7024390243902439,6195,0.9833333333333333,0,0.0,105,0.016666666666666666,0,0.0,2160,0.7589599437807449,686,0.2410400562192551,106,0.03974503187101612,689,0.2583427071616048,1872,0.7019122609673791,1.0,0.7023271911822999,0.913320179343858,1.0,1.0
20,0.824724599662234,0.983255297198635,0.7738095238095238,0.7171089779785432,6195,0.9833333333333333,0,0.0,105,0.016666666666666666,0,0.0,2210,0.7765284609978917,636,0.22347153900210823,106,0.03974503187101612,656,0.2459692538432696,1905,0.7142857142857143,1.0,0.7171175239601635,0.9179240326576542,1.0,1.0
21,0.8260012957878188,0.9833253930443068,0.7755815987405982,0.7190968955785513,6192,0.9828571428571429,0,0.0,108,0.017142857142857144,0,0.0,2217,0.7789880534082924,629,0.22101194659170767,102,0.03824521934758155,654,0.2452193475815523,1911,0.7165354330708661,1.0,0.7190632164326651,0.9184652853952923,1.0,1.0
22,0.8231048543774137,0.9836481981266868,0.771353711790393,0.7143126532151612,6196,0.9834920634920635,0,0.0,104,0.01650793650793651,0,0.0,2208,0.7758257203092059,638,0.2241742796907941,102,0.03824521934758155,671,0.25159355080614926,1894,0.7101612298462692,1.0,0.7142308394369388,0.917318759186706,1.0,1.0
23,0.8272395183572218,0.9831932773109243,0.7774855339295108,0.72103974383123,6201,0.9842857142857143,0,0.0,99,0.015714285714285715,0,0.0,2217,0.7789880534082924,629,0.22101194659170767,113,0.04236970378702662,640,0.2399700037495313,1914,0.7176602924634421,1.0,0.7207304428435315,0.919162056541221,1.0,1.0
24,0.8250086873126122,0.9822833081751013,0.7751883651655861,0.7175543885971493,6182,0.9812698412698413,0,0.0,118,0.01873015873015873,0,0.0,2212,0.7772312016865777,634,0.22276879831342233,105,0.03937007874015748,649,0.24334458192725908,1913,0.7172853393325834,1.0,0.71744353237567,0.9176764706480153,1.0,1.0
25,0.8225672104158454,0.9831665872637764,0.7694742394935818,0.7150608044901777,6191,0.9826984126984127,0,0.0,109,0.0173015873015873,0,0.0,2188,0.7687983134223472,658,0.23120168657765286,103,0.0386201724784402,653,0.24484439445069367,1911,0.7165354330708661,1.0,0.715040392375233,0.9166850259826242,1.0,1.0
26,0.8220813521547675,0.9838978345363687,0.7676056338028169,0.7147405881251171,6202,0.9844444444444445,0,0.0,98,0.015555555555555555,0,0.0,2180,0.7659873506676037,666,0.23401264933239635,105,0.03937007874015748,654,0.2452193475815523,1908,0.7154105736782902,1.0,0.7146830620961268,0.9167116738347056,1.0,1.0
27,0.8167356125626754,0.9829969807722867,0.7622549019607843,0.704954954954955,6186,0.981904761904762,0,0.0,114,0.018095238095238095,0,0.0,2177,0.7649332396345748,669,0.23506676036542515,100,0.03749531308586427,689,0.2583427071616048,1878,0.7041619797525309,1.0,0.7049028343497269,0.9140810801754172,1.0,1.0
28,0.8157701818562243,0.9831852791878173,0.761371588523443,0.7027536778574123,6198,0.9838095238095238,0,0.0,102,0.01619047619047619,0,0.0,2176,0.7645818692902319,670,0.2354181307097681,110,0.0412448443944507,694,0.260217472815898,1863,0.6985376827896513,1.0,0.7027759704853505,0.9139861074203962,1.0,1.0
29,0.8118459661641791,0.982776410826256,0.7562084644980762,0.6965530231682049,6191,0.9826984126984127,0,0.0,109,0.0173015873015873,0,0.0,2162,0.7596626844694307,684,0.24033731553056922,108,0.04049493813273341,710,0.26621672290963627,1849,0.6932883389576303,1.0,0.6966320574666931,0.912033401899763,1.0,1.0
30,0.8109603938988595,0.9831719320527068,0.7531601123595506,0.6965491372843211,6193,0.983015873015873,0,0.0,107,0.016984126984126983,0,0.0,2145,0.7536893886156009,701,0.24631061138439916,105,0.03937007874015748,705,0.2643419572553431,1857,0.6962879640044994,1.0,0.6965923038536651,0.9115416127757914,1.0,1.0
31,0.8170532230824952,0.9832659211674201,0.7631210636808957,0.70477268439917,6199,0.9839682539682539,0,0.0,101,0.016031746031746032,0,0.0,2181,0.7663387210119466,665,0.23366127898805342,110,0.0412448443944507,689,0.2583427071616048,1868,0.7004124484439445,1.0,0.7046712602177462,0.914595168668658,1.0,1.0
32,0.8158254728980139,0.9833359784161244,0.7621536853110298,0.7019867549668874,6196,0.9834920634920635,0,0.0,104,0.01650793650793651,0,0.0,2187,0.7684469430780042,659,0.2315530569219958,106,0.03974503187101612,706,0.2647169103862017,1855,0.6955380577427821,1.0,0.7019548308743253,0.9141245422064644,1.0,1.0
33,0.8164345331389032,0.9833386226594731,0.7638575152041703,0.7021074615530662,6197,0.9836507936507937,0,0.0,103,0.01634920634920635,0,0.0,2198,0.7723120168657766,648,0.22768798313422348,107,0.04011998500187477,711,0.26659167604049494,1849,0.6932883389576303,1.0,0.702111660760447,0.9145344131417085,1.0,1.0
34,0.8127817854458638,0.9838748113432362,0.7580589254766031,0.696411619517752,6193,0.983015873015873,0,0.0,107,0.016984126984126983,0,0.0,2187,0.7684469430780042,659,0.2315530569219958,96,0.0359955005624297,737,0.27634045744281965,1834,0.6876640419947506,1.0,0.6964304793919467,0.9128977715877997,1.0,1.0
35,0.8134815305769934,0.9827627293669077,0.7594011142061281,0.6982807481579445,6186,0.981904761904762,1,0.00015873015873015873,113,0.017936507936507938,0,0.0,2181,0.7663387210119466,665,0.23366127898805342,103,0.0386201724784402,716,0.26846644169478817,1848,0.6929133858267716,1.0,0.698236201098109,0.9128827251666463,0.9998247151621384,0.9999206034140531
36,0.8121514169892158,0.9827654673973473,0.7583333333333333,0.6953554502369669,6187,0.9820634920634921,1,0.00015873015873015873,112,0.017777777777777778,0,0.0,2184,0.7673928320449754,662,0.2326071679550246,104,0.03899512560929884,729,0.27334083239595053,1834,0.6876640419947506,1.0,0.6953785098597521,0.9124222555505215,0.9998247151621384,0.9999206034140531
37,0.8152153145154354,0.9830347233232916,0.7622694048033415,0.7003418154196733,6200,0.9841269841269841,1,0.00015873015873015873,99,0.015714285714285715,0,0.0,2190,0.769501054111033,656,0.23049894588896697,114,0.04274465691788527,709,0.26584176977877766,1844,0.6914135733033371,1.0,0.7003279002915516,0.9140475884158574,0.9998247151621384,0.9999206034140531
38,0.8118258753846432,0.9833306874107001,0.7569070373588184,0.6952399013844112,6194,0.9831746031746031,1,0.00015873015873015873,105,0.016666666666666666,0,0.0,2178,0.7652846099789178,668,0.23471539002108222,104,0.03899512560929884,730,0.27371578552680914,1833,0.6872890888638921,1.0,0.6951821790857211,0.9124277973875372,0.9998247151621384,0.9999206034140531
39,0.8131034759664736,0.9830885271933307,0.7609183497324357,0.695303550973654,6191,0.9826984126984127,1,0.00015873015873015873,108,0.017142857142857144,0,0.0,2204,0.7744202389318342,642,0.22557976106816585,104,0.03899512560929884,742,0.2782152230971129,1821,0.6827896512935883,1.0,0.6951551614841363,0.9132054485798496,0.9998247151621384,0.9999206034140531
40,0.8173940129706591,0.9832579544552884,0.7667069590744259,0.702217125382263,6196,0.9834920634920635,1,0.00015873015873015873,103,0.01634920634920635,1,0.00035137034434293746,2220,0.7800421644413211,625,0.2196064652143359,106,0.03974503187101612,724,0.2714660667416573,1837,0.6887889013873266,1.0,0.7020966879377738,0.9152995611038799,0.9996488136669758,0.9998412698162745
41,0.8123364639685023,0.983721114905106,0.758298755186722,0.6949895218136788,6194,0.9831746031746031,1,0.00015873015873015873,105,0.016666666666666666,0,0.0,2193,0.7705551651440619,653,0.22944483485593817,99,0.03712035995500562,744,0.27896512935883017,1824,0.6839145106861643,1.0,0.6949850846240186,0.9128753564908182,0.9998247151621384,0.9999206034140531
