layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
9,25%,16,0.8670012950897217,0.6124165593353723,0.6144955198713707,0.002078960535998431,0.4
9,25%,32,0.9158488512039185,0.7051934374772543,0.7107948629936538,0.0056014255163995275,0.54
9,25%,64,0.949984610080719,0.7627581955045084,0.7723181219497253,0.00955992644521686,2.67
9,25%,128,0.972736120223999,0.7731252250990508,0.7961283211197299,0.02300309602067907,16.59
9,25%,256,0.9875141978263855,0.7759211071241113,0.8183751759675663,0.04245406884345493,30.64
9,25%,512,0.9960376620292664,0.7694193154635371,0.8434406858148459,0.07402137035130874,60.76
20,50%,16,0.7141085863113403,0.7684324243761145,0.7732984161833506,0.004865991807236125,0.59
20,50%,32,0.796453595161438,0.8136943618220713,0.8220407575864828,0.00834639576441143,1.19
20,50%,64,0.8610551357269287,0.8206350014826455,0.8353736362706243,0.014738634787978877,5.84
20,50%,128,0.9125467538833618,0.8172505279337959,0.8444509876675402,0.027200459733744298,15.62
20,50%,256,0.952114462852478,0.8147803318180612,0.85809040176514,0.043310069947078755,30.79
20,50%,512,0.9793950915336609,0.8059958006453787,0.8748563602435114,0.06886055959813275,61.74
31,75%,16,0.7797085046768188,0.7989850876526847,0.8032956689261345,0.004310581273449743,0.51
31,75%,32,0.8443344235420227,0.8006265050456266,0.8087030454742673,0.0080765404286407,2.92
31,75%,64,0.8923949003219604,0.811537308740049,0.8259529134829351,0.014415604742886057,5.68
31,75%,128,0.9303732514381409,0.8127267482509751,0.8348149016205846,0.022088153369609453,16.49
31,75%,256,0.9598491787910461,0.8099007971050941,0.8533062040569194,0.043405406951825265,30.95
31,75%,512,0.9809505939483643,0.8052247339013018,0.8745609627748577,0.06933622887355595,60.74
