layer,Binary C=1.0,Binary C=0.1
0,0.890326842295875,0.8904165566627885
1,0.9188834745788708,0.9189860464332922
2,0.9330953487962256,0.933153218643764
3,0.9444535213677444,0.9445209859515148
4,0.9473084513205094,0.9473698803302804
5,0.998210661860292,0.9982967515366802
6,0.9978126142911016,0.9979312871440852
7,0.9984477660875304,0.9984989888566213
8,0.9982026506779864,0.9982654278975188
9,0.9963531979981692,0.9963534757265916
10,0.9895334332597968,0.9895044485624096
11,0.9985366007022624,0.99864034119104
12,0.998579198553849,0.998660933805494
13,0.9985174591909314,0.998609453663578
14,0.9984961608228258,0.9986150578662226
15,0.9983957017678584,0.9985152136618292
16,0.9983797650082932,0.9984920880303176
17,0.9982754088324108,0.9984731447769268
18,0.9982261792387854,0.9984383863398664
19,0.9982008457220845,0.9984485228695972
20,0.998239724912786,0.9984034483274
21,0.9982602765372018,0.998455988075747
22,0.9983342560274596,0.9984965952614624
23,0.9983379869574718,0.9984927469382114
24,0.9982832225933076,0.9984616502779012
25,0.9982390241783226,0.998459112799343
26,0.998297201032882,0.9984690552537908
27,0.9982951375887796,0.9985177305059464
28,0.9983668400405864,0.9985279518041918
29,0.9983116049880916,0.9984577353109828
30,0.998283637791722,0.9984860136970304
31,0.9982950896276466,0.9984791549761404
32,0.9983166264071992,0.9984621750619282
33,0.998328069320122,0.9984978985773724
34,0.998299929240598,0.9984544165121034
35,0.998289667231158,0.9984496399178504
36,0.9983214794046528,0.9984582617680726
37,0.9982736013669148,0.998430558079092
38,0.9982644243386912,0.9984018817829452
39,0.998316771405974,0.9984320629990676
40,0.9983033802114372,0.9984403993132412
41,0.9982920981913856,0.9984394057927902
