layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_deception_honest_mistake,cm_deception_truth,cm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_truth_deception,cm_truth_honest_mistake,cm_truth_truth,cm_norm_deception_deception,cm_norm_deception_honest_mistake,cm_norm_deception_truth,cm_norm_honest_mistake_deception,cm_norm_honest_mistake_honest_mistake,cm_norm_honest_mistake_truth,cm_norm_truth_deception,cm_norm_truth_honest_mistake,cm_norm_truth_truth
0,0.6962549476882728,0.8982853090408766,0.6684323533301667,0.5220471806937749,3563,159,115,238,3050,1017,295,1611,1660,0.928590044305447,0.04143862392494136,0.029971331769611677,0.055284552845528454,0.7084785133565621,0.23623693379790942,0.08272574312955693,0.45176668536174985,0.4655075715086932
1,0.6892715992487841,0.8827137878740438,0.6487300065650484,0.5363710033072602,3537,205,95,341,2903,1061,299,1536,1731,0.9218139171227522,0.05342715663278603,0.02475892624446182,0.07921022067363531,0.6743321718931475,0.24645760743321718,0.08384744812114414,0.4307347167694896,0.48541783510936626
2,0.7042737123432347,0.8931525555551998,0.6634163857441566,0.5562521957303475,3573,174,90,313,2959,1033,278,1481,1807,0.9311962470680218,0.04534792806880375,0.023455824863174355,0.0727061556329849,0.6873403019744483,0.23995354239256678,0.07795849691531127,0.41531127313516547,0.5067302299495233
3,0.6975363019577806,0.8727413520720709,0.6584039426253717,0.5614636111758995,3491,232,114,370,2932,1003,302,1436,1828,0.9098253844149075,0.06046390409173834,0.029710711493354185,0.0859465737514518,0.681068524970964,0.2329849012775842,0.08468872686483454,0.4026920919798093,0.5126191811553561
4,0.7218959184177361,0.8944678933117256,0.6847590950189594,0.5864607669225237,3530,192,115,267,3056,982,259,1372,1935,0.9199895751889497,0.05003909304143862,0.029971331769611677,0.06202090592334495,0.7098722415795586,0.2281068524970964,0.07263039820527202,0.3847448121144139,0.542624789680314
5,0.7286345175303275,0.9014467927290408,0.6906483458469813,0.5938084140149603,3554,163,120,259,3076,970,235,1364,1967,0.9262444618191296,0.04248110502997133,0.03127443315089914,0.06016260162601626,0.7145180023228803,0.22531939605110338,0.06590016825574874,0.3825014021312395,0.5515984296130118
6,0.7275670941990207,0.903782492745053,0.6928652182862326,0.5860535715657766,3557,169,111,239,3119,947,238,1411,1917,0.927026322647902,0.04404482668751629,0.028928850664581705,0.05551684088269454,0.7245063879210221,0.2199767711962834,0.06674144699943915,0.39568143578238923,0.5375771172181716
7,0.7283575415287024,0.8965056815653721,0.6920983295495281,0.5964686134712067,3522,174,141,262,3082,961,236,1346,1984,0.9179046129788898,0.04534792806880375,0.03674745895230649,0.060859465737514516,0.7159117305458769,0.22322880371660858,0.06618059450364554,0.377453729669097,0.5563656758272574
8,0.7345561193527278,0.9038717006645852,0.6943275113696992,0.6054691460238988,3527,172,138,233,3083,989,207,1321,2038,0.9192077143601772,0.044826687516288766,0.03596559812353401,0.054123112659698026,0.716144018583043,0.229732868757259,0.05804823331463825,0.37044307347167693,0.5715086932136848
9,0.7456790930955536,0.9207092287929329,0.7052822650571041,0.6110457854366237,3595,130,112,189,3140,976,188,1330,2048,0.9369298931456868,0.033880635913474066,0.029189470940839197,0.04390243902439024,0.7293844367015099,0.2267131242740999,0.05272013460459899,0.37296690970274815,0.5743129556926528
10,0.7565306547073627,0.926114782271067,0.7187335718960955,0.6247436099549256,3604,122,111,157,3201,947,185,1280,2101,0.9392754756320042,0.03179567370341413,0.028928850664581705,0.03646922183507549,0.7435540069686412,0.2199767711962834,0.05187885586090858,0.35894559730790804,0.5891755468311834
11,0.7581682392232999,0.9282633411866291,0.7201655838952574,0.6260757925880129,3611,110,116,153,3202,950,179,1276,2111,0.9410998175658066,0.028668230388324212,0.03023195204586917,0.03554006968641115,0.7437862950058072,0.22067363530778164,0.050196298373527765,0.35782389231632084,0.5919798093101515
12,0.7699202287934819,0.9341041317349819,0.7326150602352941,0.6430414944101699,3629,98,110,128,3241,936,176,1204,2186,0.9457909825384415,0.025540787073234296,0.028668230388324212,0.029732868757259,0.7528455284552845,0.21742160278745645,0.049355019629837356,0.33763320246775097,0.6130117779024117
13,0.7785851143658978,0.9371003946585791,0.741015887226974,0.6576390612121404,3628,83,126,113,3247,945,165,1129,2272,0.945530362262184,0.021631482929371906,0.0328381548084441,0.026248548199767713,0.7542392566782811,0.21951219512195122,0.04627033090297252,0.3166012338754908,0.6371284352215367
14,0.7880437209234428,0.9414912979275597,0.7513027611391643,0.671337103703604,3652,71,114,109,3288,908,160,1088,2318,0.9517852488923638,0.01850403961428199,0.029710711493354185,0.02531939605110337,0.7637630662020906,0.21091753774680605,0.044868199663488505,0.3051037577117218,0.6500280426247896
15,0.8095709395223238,0.9556886878476849,0.7748058880537709,0.6982182426655157,3688,39,110,52,3365,888,141,977,2448,0.9611675788376336,0.010164190774042221,0.028668230388324212,0.01207897793263647,0.7816492450638792,0.2062717770034843,0.039540100953449245,0.2739764441951767,0.6864834548513741
