layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.5709485031883765,0.768880143130896,0.5310805720414382,0.4128847943927954,6050,0.8708795163379877,626,0.09011083921117029,271,0.03900964445084209,1433,0.3333333333333333,2173,0.5054663875319841,693,0.1612002791346825,1307,0.36600392047045643,1084,0.30355642677121253,1180,0.330439652758331
1,0.5873314290532331,0.7906125858319146,0.5716648025054601,0.3997168988223242,6121,0.8810997552900532,537,0.07729955376421477,289,0.04160069094573197,1211,0.2816934170737381,2431,0.5654803442661084,657,0.15282623866015352,1205,0.33744049285914307,1238,0.3466816017922151,1128,0.31587790534864185
2,0.6008567043976735,0.7981877509754283,0.5814255657510108,0.42295679646658124,6141,0.8839786958399309,549,0.07902691809414135,257,0.03699438606592774,1144,0.26610839730169805,2484,0.5778087927424983,671,0.15608280995580368,1156,0.3237188462615514,1209,0.33856062727527303,1206,0.3377205264631756
3,0.6111759987040436,0.7986141210489557,0.6079864887450988,0.4269273863180764,6103,0.8785087087951634,494,0.07110983158197783,350,0.05038145962285879,1072,0.24936031635264014,2608,0.6066527099325425,619,0.1439869737148174,1162,0.3253990478857463,1177,0.3295995519462335,1232,0.34500140016802017
4,0.7005217603830841,0.891610261694167,0.6728894764303438,0.5370655430247415,6412,0.922988340290773,251,0.03613070390096444,284,0.04088095580826256,479,0.11142126075831589,2965,0.6896952779716213,855,0.19888346127006282,545,0.15261831419770372,1297,0.3632035844301316,1729,0.48417810137216466
5,0.7466815985349161,0.9538556335517715,0.6999089991957452,0.5862801628572314,6685,0.9622858787966029,101,0.014538649776882108,161,0.02317547142651504,163,0.037915794370783906,3110,0.7234240521051407,1026,0.23866015352407538,222,0.06216746009521142,1376,0.38532623914869785,1973,0.5525063007560908
6,0.7227332833561712,0.9168284118098533,0.6911888740888552,0.5601825641698048,6491,0.9343601554627897,213,0.03066071685619692,243,0.03497912768101339,326,0.07583158874156781,3096,0.7201674808094906,877,0.2040009304489416,396,0.11089330719686362,1350,0.37804536544385325,1825,0.5110613273592831
7,0.6946618008753606,0.8814283666166227,0.6682165541689086,0.5343404818405505,6350,0.9140636245861523,281,0.040449114725780916,316,0.04548726068806679,523,0.1216561991160735,2928,0.6810886252616888,848,0.19725517562223774,589,0.16493979277513302,1255,0.3514421730607673,1727,0.4836180341640997
8,0.7400567534371222,0.935939680313634,0.6941406366851177,0.590089943312615,6587,0.9481790701022024,166,0.023895206563984455,194,0.027925723333813157,264,0.061409630146545706,3072,0.7145847871598046,963,0.22400558269364967,278,0.07784934192103052,1314,0.36796415569868385,1979,0.5541865023802857
9,0.7669876055800979,0.978240153167441,0.7128253397405759,0.6098973238322769,6788,0.9771124226284728,54,0.007773139484669641,105,0.015114437886857636,32,0.007443591532914631,3166,0.7364503372877413,1101,0.25610607117934403,111,0.03108373004760571,1364,0.381965835900308,2096,0.5869504340520862
