layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6745630423033143,0.8721614233231281,0.6372928783805973,0.5142348252062175,6182,0.8898805239671801,411,0.0591622282999856,354,0.05095724773283432,477,0.11095603628750872,2810,0.6536403814840661,1012,0.23540358222842522,570,0.1596191542985158,1293,0.36208345001400166,1708,0.4782973956874825
1,0.6594281355950048,0.846825261588652,0.6235971546005825,0.5078619905957799,5968,0.8590758600834892,479,0.0689506261695696,500,0.07197351374694112,536,0.12468015817632007,2699,0.6278204233542685,1064,0.24749941846941148,644,0.18034164099691963,1179,0.33015961915429853,1748,0.48949873984878184
2,0.6780422286426511,0.8642330773791678,0.6396254306777426,0.5302681778710425,6069,0.8736145098603714,414,0.05959406938246725,464,0.06679142075716137,448,0.10421028146080484,2750,0.6396836473598512,1101,0.25610607117934403,580,0.16241949033884065,1138,0.31867824138896667,1853,0.5189022682721927
3,0.655475778547253,0.8270843451230059,0.6427476945511392,0.4965952959676139,5812,0.8366201237944436,486,0.06995825536202678,649,0.09342162084352958,541,0.12584321935333798,2788,0.6485229123051872,970,0.22563386834147475,754,0.21114533744049285,1102,0.30859703164379726,1715,0.4802576309157099
4,0.7205526525754745,0.9128530477624244,0.67992002406614,0.568884885897859,6364,0.9160788829710667,234,0.033683604433568444,349,0.05023751259536491,247,0.05745522214468481,2947,0.6855082577343569,1105,0.25703652012095835,385,0.1078129375525063,1188,0.33267992159059084,1998,0.5595071408569028
5,0.7599310428324046,0.9540786438151923,0.715964376546016,0.6097501081360058,6649,0.9571037858068231,84,0.01209155030948611,214,0.0308046638836908,88,0.020469876715515235,3096,0.7201674808094906,1115,0.2593626424749942,254,0.0711285354242509,1168,0.3270792495099412,2149,0.6017922150658079
6,0.7375228290441899,0.9331369695880465,0.698968000200644,0.580463517343879,6510,0.9370951489851734,143,0.020584424931625163,294,0.042320426083201385,162,0.03768318213538032,3034,0.7057455222144685,1103,0.2565712956501512,334,0.09353122374684962,1205,0.33744049285914307,2032,0.5690282833940072
7,0.7184111329433236,0.9053076485459599,0.6791992097506571,0.5707265405333539,6347,0.9136317835036707,226,0.03253202821361739,374,0.053836188282711965,295,0.06862060944405676,2904,0.6755059316120028,1100,0.2558734589439404,433,0.12125455054606553,1122,0.31419770372444694,2016,0.5645477457294875
8,0.7495259656615119,0.9399520996166674,0.7037095135642659,0.6049162838036024,6550,0.9428530300849287,131,0.018857060601698575,266,0.03828990931337268,157,0.036520120958362406,3024,0.7034193998604327,1118,0.26006047918120495,283,0.07924950994119294,1139,0.31895827499299917,2149,0.6017922150658079
9,0.7729568134447936,0.9636487773649876,0.7299928550597553,0.6252288079096384,6693,0.9634374550165539,55,0.007917086512163524,199,0.028645458471282567,47,0.010932775063968364,3170,0.7373807862293557,1082,0.25168643870667595,204,0.05712685522262671,1160,0.3248389806776813,2207,0.6180341640996919
10,0.7795025123355185,0.9632486994008496,0.7356809706369039,0.6395778669688023,6696,0.9638692960990356,50,0.007197351374694113,201,0.028933352526270332,50,0.011630611770179112,3155,0.7338916026983019,1094,0.25447778553151895,210,0.058807056846821616,1073,0.3004760571268552,2288,0.6407168860263232
11,0.778222140490216,0.9630891811840883,0.7374010756074008,0.6341761646791589,6692,0.96329350798906,53,0.007629192457175759,202,0.029077299553764216,59,0.013724121888811351,3207,0.7459874389392882,1033,0.24028843917190043,199,0.05572668720246429,1139,0.31895827499299917,2233,0.6253150378045366
12,0.7870806906393556,0.9654276741577543,0.7440873642175861,0.6517270335427265,6702,0.9647329782639988,52,0.0074852454296818775,193,0.027781776306319273,38,0.008839264945336125,3193,0.742730867643638,1068,0.24842986741102582,197,0.05516661999439933,1038,0.2906748809857183,2336,0.6541584990198824
