layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.7448059358475054,0.8524926079904949,0.637119263704516,6375,0.9176623002734994,572,0.08233769972650065,1634,0.4575749089890787,1937,0.5424250910109213,0.83262918463505,10518
1,0.7720040439177762,0.8624984785692116,0.681509609266341,6336,0.912048366201238,611,0.08795163379876206,1409,0.3945673480817698,2162,0.6054326519182301,0.8672429177120107,10518
2,0.7870195882424161,0.8699988602665674,0.7040403162182649,6358,0.9152152008061033,589,0.08478479919389664,1311,0.3671240548865864,2260,0.6328759451134136,0.8748745867624658,10518
3,0.7780531737075569,0.8641389060017779,0.6919674414133359,6307,0.9078739024039154,640,0.09212609759608464,1343,0.3760851302156259,2228,0.6239148697843742,0.8743717367790256,10518
4,0.885220486066842,0.9241856533758488,0.8462553187578352,6512,0.9373830430401612,435,0.06261695695983878,633,0.1772612713525623,2938,0.8227387286474377,0.9521240350625609,10518
5,0.9495955939822374,0.965850658530171,0.9333405294343036,6719,0.9671800777313948,228,0.03281992226860515,247,0.06916830019602352,3324,0.9308316998039765,0.9843025128779044,10518
6,0.9088894273216555,0.9386529721460452,0.8791258824972659,6550,0.9428530300849287,397,0.057146969915071254,459,0.1285354242509101,3112,0.8714645757490899,0.9667707915164063,10518
7,0.8743678902856356,0.9172920828141498,0.8314436977571212,6473,0.9317691089678998,474,0.06823089103210019,693,0.19406328759451133,2878,0.8059367124054887,0.9487847608077684,10518
8,0.9346983502805573,0.9558161490600549,0.9135805515010598,6652,0.9575356268893047,295,0.042464373110695265,320,0.08961075329039485,3251,0.9103892467096052,0.9806721121876245,10518
9,0.9690999194269692,0.9789459321579207,0.9592539066960175,6789,0.9772563696559666,158,0.022743630344033396,134,0.037524502940352845,3437,0.9624754970596472,0.9969716505681605,10518
10,0.9692965140870908,0.9791013994916952,0.9594916286824866,6792,0.9776882107384482,155,0.022311789261551748,135,0.03780453654438533,3436,0.9621954634556147,0.9969307080874952,10518
11,0.9688197157495544,0.978703343189094,0.9589360883100149,6778,0.9756729523535339,169,0.0243270476464661,126,0.03528423410809297,3445,0.964715765891907,0.997238159355183,10518
12,0.9701556114950176,0.979668557564761,0.9606426654252743,6794,0.977976104793436,153,0.022023895206563983,129,0.036124334920190425,3442,0.9638756650798096,0.9978135041879422,10518
13,0.9711350564147776,0.9802979253473255,0.9619721874822297,6793,0.9778321577659421,154,0.022167842234057867,119,0.033323998879865584,3452,0.9666760011201344,0.9982921231259224,10518
14,0.9720808940934138,0.9809501976758839,0.9632115905109437,6799,0.9786958399309055,148,0.021304160069094573,116,0.032483898067768135,3455,0.9675161019322319,0.9985246976909842,10518
15,0.972687385762478,0.9814043838799013,0.9639703876450547,6810,0.9802792572333381,137,0.01972074276666187,121,0.03388406608793055,3450,0.9661159339120694,0.9986450658675583,10518
16,0.972823252899017,0.9814544166288627,0.9641920891691715,6801,0.9789837339858932,146,0.021016266014106808,111,0.03108373004760571,3460,0.9689162699523943,0.9986204565324165,10518
17,0.9735517476747353,0.9819676999647946,0.9651357953846761,6806,0.9797034691233626,141,0.020296530876637398,109,0.030523662839540746,3462,0.9694763371604592,0.998641709123411,10518
18,0.9734376410442349,0.9819023645912042,0.9649729174972655,6810,0.9802792572333381,137,0.01972074276666187,114,0.03192383085970316,3457,0.9680761691402968,0.9987410647528977,10518
19,0.9731409679565508,0.981670537012722,0.9646113989003796,6801,0.9789837339858932,146,0.021016266014106808,108,0.03024362923550826,3463,0.9697563707644917,0.9987757354572656,10518
20,0.9728991897101701,0.9815483794141835,0.9642500000061567,6809,0.9801353102058442,138,0.01986468979415575,118,0.0330439652758331,3453,0.9669560347241669,0.9987308947818843,10518
21,0.973240682290313,0.9817473889850555,0.9647339755955706,6805,0.9795595220958687,142,0.02044047790413128,111,0.03108373004760571,3460,0.9689162699523943,0.9987356256937883,10518
22,0.9733215148112987,0.9818386034684667,0.9648044261541306,6812,0.9805671512883259,135,0.019432848711674104,117,0.03276393167180062,3454,0.9672360683281994,0.9986986919910665,10518
23,0.9740555146646612,0.982347743680067,0.9657632856492553,6817,0.9812868864257953,130,0.018713113574204694,115,0.032203864463735646,3456,0.9677961355362643,0.9987038357319026,10518
24,0.9731095099036193,0.9816943663634008,0.9645246534438379,6811,0.980423204260832,136,0.019576795739167985,118,0.0330439652758331,3453,0.9669560347241669,0.998681568962159,10518
25,0.972996165961036,0.9816270734115399,0.964365258510532,6813,0.9807110983158198,134,0.01928890168418022,121,0.03388406608793055,3450,0.9661159339120694,0.9986774342323994,10518
26,0.9729016600903966,0.9815470161996245,0.9642563039811687,6810,0.9802792572333381,137,0.01972074276666187,119,0.033323998879865584,3452,0.9666760011201344,0.998670674749432,10518
27,0.9728918998064385,0.9815546067388825,0.9642291928739946,6813,0.9807110983158198,134,0.01928890168418022,122,0.03416409969196304,3449,0.965835900308037,0.9984499433217383,10518
