layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.530796736191896,0.7615423009732968,0.5444093778178539,0.2864385297845374,6103,0.8785087087951634,760,0.10939974089535051,84,0.01209155030948611,1483,0.34496394510351247,2415,0.5617585484996511,401,0.09327750639683648,1495,0.41865023802856344,1398,0.3914869784374125,678,0.18986278353402408,0.8559719075412444,0.28632278612339784,0.8643309996748428,0.7062372293712302,0.8405682753621653
1,0.5528822139533635,0.7862547288776797,0.5688093907210732,0.30358252226133775,6235,0.8975097164243558,650,0.09356556787102346,62,0.0089247157046207,1292,0.30053500814142825,2544,0.5917655268667132,463,0.10769946499185858,1386,0.38812657518902266,1452,0.4066087930551666,733,0.2052646317558107,0.8893603248247391,0.30355032419403394,0.8644148501074266,0.7492454717019019,0.8620002573405824
2,0.5668307470085475,0.7901093312992626,0.5899567675424011,0.3204261421839787,6215,0.8946307758744781,655,0.09428530300849287,77,0.011083921117028933,1187,0.27611072342405213,2661,0.6189811584089323,451,0.10490811816701559,1383,0.3872864743769252,1406,0.39372724726967234,782,0.2189862783534024,0.8994418317910581,0.32037887651936436,0.8659906825133514,0.7653563942614315,0.8678731599387379
3,0.5743873039014219,0.7939878477774225,0.5979152805500111,0.33125878337683196,6207,0.8934791996545272,623,0.08967899812868864,117,0.016841802216784222,1135,0.2640148871830658,2696,0.6271225866480576,468,0.10886252616887648,1346,0.37692523102772335,1400,0.39204704564547743,825,0.23102772332679922,0.9072661431689042,0.33127272243452904,0.8648677175725211,0.7755361722603171,0.8732352974670083
4,0.6510125816141531,0.8835236987894125,0.6457580267914097,0.42375601926163725,6459,0.9297538505829854,375,0.053980135310205846,113,0.016266014106808696,527,0.12258664805768783,3037,0.7064433589206792,735,0.17096999302163293,688,0.19266311957434892,1695,0.4746569588350602,1188,0.33267992159059084,0.9677536556287011,0.42389766121876543,0.8654907895945179,0.8878174318635615,0.9320275989880068
5,0.7197736123095244,0.9495120916419177,0.6918987880076547,0.517909957279001,6714,0.9664603425939254,148,0.021304160069094573,85,0.012235497336979992,191,0.044428936962084206,3254,0.7569202140032566,854,0.1986508490346592,290,0.08120974516942032,1705,0.477457294875385,1576,0.4413329599551946,0.9915608007182337,0.5179557776677821,0.8753938556520247,0.9561458551948654,0.9729848553369094
6,0.6861431799179307,0.907647304638529,0.6721294030009578,0.47865283211430515,6516,0.9379588311501368,294,0.042320426083201385,137,0.01972074276666187,377,0.0876948127471505,3158,0.7345894394045127,764,0.17771574784833682,518,0.14505740688882665,1646,0.4609353122374685,1407,0.39400728087370485,0.9778599698530716,0.4786483008657054,0.870962496065062,0.9143550566525812,0.9475075434066007
7,0.6638559893463146,0.8785455539607683,0.6599028602266594,0.4531195538515162,6427,0.9251475457031813,359,0.05167698287030373,161,0.02317547142651504,536,0.12468015817632007,3057,0.7110956036287509,706,0.16422423819492904,721,0.2019042285074209,1550,0.43405208625035,1300,0.3640436852422291,0.9661135940849214,0.45303314413129536,0.8686782564448468,0.8866097888292417,0.9316665523253469
8,0.7097398850823923,0.93178784685634,0.6790697674418604,0.5183620409489763,6632,0.9546566863394271,202,0.029077299553764216,113,0.016266014106808696,285,0.06629448709002093,3139,0.7301698069318446,875,0.20353570597813445,371,0.10389246709605153,1605,0.44945393447213666,1595,0.4466535984318118,0.9868112121709796,0.5182672328603447,0.8737646229303557,0.9375976308874379,0.961793123531718
9,0.7560779669874931,0.9762876996919551,0.710822129160238,0.5811240721102863,6814,0.9808550453433137,52,0.0074852454296818775,81,0.011659709227004463,43,0.010002326122354036,3225,0.7501744591765527,1031,0.23982321470109327,155,0.043405208625035004,1498,0.4194903388406609,1918,0.5371044525343042,0.9985782268895281,0.5811078961587258,0.8799354668511178,0.9871165928945433,0.9920009527525065
10,0.7629022306264418,0.9761562769319161,0.7182819383259912,0.5942684766214178,6796,0.9782639988484237,57,0.008204980567151288,94,0.013531020584424932,43,0.010002326122354036,3261,0.7585484996510816,995,0.23144917422656433,138,0.038644637356482776,1463,0.40968916269952393,1970,0.5516661999439932,0.9986656328408646,0.5940886647029797,0.8830545031486953,0.9868899529466099,0.9918545278205441
11,0.7695172739387258,0.9750215331610681,0.7241951543312314,0.6093351343238781,6792,0.9776882107384482,63,0.009068662732114582,92,0.013243126529437167,56,0.013026285182600605,3273,0.7613398464759247,970,0.22563386834147475,137,0.038364603752450294,1404,0.3931671800616074,2030,0.5684682161859423,0.998817857582657,0.6093512175178314,0.88666912428234,0.984895761650985,0.990637607168229
12,0.7790865175290885,0.9774047772756617,0.7337937179772778,0.6260610573343262,6813,0.9807110983158198,57,0.008204980567151288,77,0.011083921117028933,40,0.009304489416143289,3294,0.7662247034193999,965,0.22447080716445686,141,0.03948473816858023,1328,0.3718846261551386,2102,0.5886306356762812,0.9991034487077171,0.6259348830691565,0.8904363995080795,0.9874791373370815,0.9922114147296084
13,0.7896922681612332,0.9789435860582105,0.743825774584643,0.6463074438408457,6811,0.980423204260832,54,0.007773139484669641,82,0.011803656254498345,29,0.006745754826703885,3313,0.7706443358920679,957,0.2226099092812282,128,0.03584430131615794,1242,0.347801736208345,2201,0.616353962475497,0.9995632006615184,0.6462973930825833,0.8944460859463316,0.9895643755523953,0.9935101776858979
