layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.7032757609224488,0.8791123725970843,0.6669701798315502,0.563744730338712,3407,0.8879332812092781,191,0.04977847276518113,239,0.06228824602554079,240,0.05574912891986063,2930,0.6806039488966318,1135,0.26364692218350755,267,0.07487380818844644,1360,0.38137969713965225,1939,0.5437464946719013,0.9749576335463775,0.5631400420640562,0.8185354719264911,0.9437977751342539,0.9374606661387176
1,0.7028483638357702,0.8728308728308728,0.6688584060764086,0.5668558126000292,3370,0.8782903309877509,233,0.06072452436799583,234,0.06098514464425332,230,0.053426248548199766,2950,0.6852497096399536,1125,0.2613240418118467,285,0.07992148065058889,1333,0.3738081884464386,1948,0.5462703309029725,0.9702504059251746,0.5664973796977648,0.8200089353119457,0.9416593917779865,0.9343470890796404
2,0.716039288797813,0.8741448302568736,0.6789981617647058,0.5949748743718593,3386,0.8824602554078708,218,0.05681522022413344,233,0.06072452436799583,256,0.059465737514518,2955,0.686411149825784,1094,0.254123112659698,268,0.07515423443634324,1226,0.34380257992148067,2072,0.5810431856421762,0.9692417504022893,0.5948724534582143,0.8285201931446698,0.939710446126053,0.9329284648148493
3,0.7008407695654512,0.8576604554865425,0.6617048494010932,0.5831570038087177,3314,0.8636955955173312,243,0.06333072713057075,280,0.07297367735209799,284,0.0659698025551684,2845,0.6608594657375145,1176,0.2731707317073171,293,0.08216489063376332,1206,0.3381940549635446,2067,0.5796410544026921,0.9658211659492212,0.5830029587080449,0.8190072680273186,0.9312839188283922,0.9236206372958076
4,0.7163587737863586,0.8658109684947491,0.6850892343120323,0.5981761185522941,3339,0.8702111024237685,225,0.058639562157935886,273,0.07114933541829555,250,0.05807200929152149,2975,0.6910569105691057,1080,0.2508710801393728,287,0.0804823331463825,1180,0.3309029725182277,2099,0.5886146943353898,0.977230956486815,0.5981253182190779,0.8280270863365093,0.9390407878114599,0.9318409410558743
5,0.7277810231941587,0.8769830949284786,0.6969871868867598,0.6093727877672377,3372,0.8788115715402658,196,0.05108157414646859,269,0.07010685431326558,210,0.04878048780487805,3019,0.7012775842044134,1076,0.24994192799070847,271,0.07599551318003366,1143,0.320527201346046,2152,0.6034772854739203,0.9843775608405879,0.6092375960616516,0.8312888414542725,0.9468557076330398,0.9405264877961462
6,0.7293901820245509,0.8795430944963655,0.6959842610808934,0.6126431904963937,3388,0.8829814959603857,190,0.04951785248892364,259,0.06750065155069064,218,0.05063879210220674,3007,0.6984901277584205,1080,0.2508710801393728,261,0.07319125070106562,1139,0.31940549635445875,2166,0.6074032529444756,0.9851791745313733,0.6125100005124116,0.8324254432989194,0.9480010557772361,0.9421261455402764
7,0.7213992236641137,0.8702111024237685,0.688626907073509,0.6053596614950635,3339,0.8702111024237685,217,0.05655459994787594,281,0.07323429762835548,229,0.05319396051103368,2979,0.6919860627177701,1097,0.2548199767711963,269,0.07543466068424004,1151,0.3227706113292204,2146,0.6017947279865395,0.9846911879022577,0.6052926517858047,0.8286017099688913,0.941384568419141,0.9344136192771659
8,0.7353838025531271,0.8827657915258643,0.7070637119113573,0.6163219042221593,3396,0.8850664581704457,168,0.0437842064112588,273,0.07114933541829555,198,0.045993031358885016,3063,0.7114982578397212,1044,0.24250871080139372,263,0.07375210319685922,1128,0.31632080762759396,2175,0.6099270891755468,0.9884055783373361,0.616208593346274,0.8344612747119097,0.9517546171426072,0.9462498518871314
9,0.7435770605341027,0.8950161812297734,0.7085821332396675,0.6271328671328671,3457,0.9009642950221527,136,0.035444357571019026,244,0.06359134740682826,181,0.042044134727061554,3026,0.7029036004645761,1098,0.25505226480836235,250,0.07010656197420079,1074,0.3011777902411666,2242,0.6287156477846326,0.9920088537652291,0.6271709362822361,0.836080664017431,0.959169909021887,0.9546150879469986
