layer,auroc,f1_macro,n_samples,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth
0,0.9498012910215758,0.9109499546749362,7403,0.9171799939404444,0.9047199154094281,3632,0.9465728433672139,205,0.05342715663278603,451,0.12647223780145822,3115,0.8735277621985418
1,0.9584531589496681,0.9186947724333663,7403,0.9243170481842945,0.9130724966824382,3658,0.9533489705499087,179,0.04665102945009122,420,0.11777902411665732,3146,0.8822209758833427
2,0.9654711032681128,0.9216158085929574,7403,0.9265216046294806,0.9167100125564343,3644,0.9497002866823039,193,0.050299713317696115,385,0.10796410544026921,3181,0.8920358945597308
3,0.9657765508503828,0.9202540601897958,7403,0.925274419792184,0.9152337005874076,3641,0.9489184258535314,196,0.05108157414646859,392,0.10992708917554683,3174,0.8900729108244532
4,0.9696525929223508,0.9276167074749972,7403,0.9318542355972849,0.9233791793527095,3652,0.9517852488923638,185,0.04821475110763617,349,0.0978687605159843,3217,0.9021312394840157
5,0.972057665445711,0.9344128177945612,7403,0.9380899237433791,0.9307357118457432,3667,0.9556945530362262,170,0.04430544696377378,314,0.08805384183959619,3252,0.9119461581604038
6,0.9705253703925291,0.9295216433747564,7403,0.9335892228579972,0.9254540638915156,3655,0.9525671097211363,182,0.047432890278863694,338,0.09478407178911946,3228,0.9052159282108806
7,0.9736338711662068,0.933208854904333,7403,0.936800057502364,0.9296176523063021,3654,0.9523064894448788,183,0.04769351055512119,310,0.08693213684800898,3256,0.9130678631519911
8,0.9780729946996504,0.9374189863754907,7403,0.9407029012829078,0.9341350714680736,3665,0.9551733124837112,172,0.044826687516288766,290,0.08132361189007291,3276,0.9186763881099271
9,0.9843261744507992,0.9470587859084454,7403,0.9496122628367851,0.9445053089801055,3685,0.9603857180088611,152,0.03961428199113891,239,0.06702187324733595,3327,0.932978126752664
10,0.9864134570026941,0.94895879723775,7403,0.9513796665095029,0.9465379279659972,3689,0.9614281991138911,148,0.03857180088610894,229,0.06421761076836792,3337,0.935782389231632
11,0.9876048183036857,0.9520718997366491,7403,0.9543524950867806,0.9497913043865177,3701,0.964555642428981,136,0.035444357571019026,218,0.061132922041503085,3348,0.9388670779584969
12,0.9890841484516603,0.9533004109481995,7403,0.9554145180891076,0.9511863038072915,3697,0.963513161323951,140,0.036486838676048995,205,0.05748738081884464,3361,0.9425126191811554
13,0.9909046845366889,0.9574933195342434,7403,0.9594595588248416,0.9555270802436453,3716,0.9684649465728433,121,0.03153505342715663,193,0.05412226584408301,3373,0.945877734155917
14,0.992292588021545,0.9595187599543499,7403,0.9614396558032592,0.9575978641054406,3729,0.9718530101641908,108,0.028146989835809225,191,0.0535614133482894,3375,0.9464385866517105
15,0.993768172213749,0.9622327583709159,7403,0.9639543255610462,0.9605111911807857,3731,0.9723742507167058,106,0.02762574928329424,173,0.04851374088614694,3393,0.9514862591138531
16,0.993716120608539,0.9618258142619087,7403,0.9635756056765861,0.9600760228472314,3730,0.9721136304404483,107,0.027886369559551732,175,0.04907459338194055,3391,0.9509254066180595
17,0.9936268542393328,0.9626387424540054,7403,0.9643531985435491,0.9609242863644617,3732,0.9726348709929633,105,0.027365129007036748,171,0.04795288839035334,3395,0.9520471116096466
18,0.994892092425219,0.9637261453097414,7403,0.9653352995661816,0.9621169910533013,3732,0.9726348709929633,105,0.027365129007036748,163,0.04570947840717891,3403,0.9542905215928211
19,0.9960786248173413,0.9652170880199384,7403,0.9667338656593565,0.9637003103805203,3734,0.9731561115454782,103,0.02684388845452176,154,0.04318564217610768,3412,0.9568143578238923
20,0.9959580579470855,0.9641284706715756,7403,0.9657594762669103,0.9624974650762409,3737,0.9739379723742507,100,0.026062027625749284,165,0.04627033090297252,3401,0.9537296690970275
21,0.9954092952698131,0.964260188218018,7403,0.9659291623760587,0.9625912140599773,3742,0.9752410737555381,95,0.02475892624446182,169,0.04739203589455973,3397,0.9526079641054402
22,0.9948794713365061,0.9638555532965136,7403,0.9655194521636489,0.9621916544293783,3738,0.9741985926505082,99,0.02580140734949179,168,0.04711160964666293,3398,0.9528883903533371
23,0.9946939026662787,0.9625026305138467,7403,0.9642094067227849,0.9607958543049084,3732,0.9726348709929633,105,0.027365129007036748,172,0.04823331463825014,3394,0.9517666853617499
24,0.9939322987963706,0.9608772292324911,7403,0.9626753415853802,0.959079116879602,3727,0.9713317696116758,110,0.028668230388324212,179,0.050196298373527765,3387,0.9498037016264722
25,0.9936441801883886,0.9600627484937101,7403,0.961923016545397,0.958202480442023,3727,0.9713317696116758,110,0.028668230388324212,185,0.05187885586090858,3381,0.9481211441390914
26,0.9932651506853662,0.9596505919539488,7403,0.9616033318273297,0.9576978520805678,3732,0.9726348709929633,105,0.027365129007036748,193,0.05412226584408301,3373,0.945877734155917
27,0.9915480236500182,0.9573458332997526,7403,0.9594297198468326,0.9552619467526726,3726,0.9710711493354183,111,0.028928850664581705,204,0.05720695457094784,3362,0.9427930454290522
