layer,Binary C=1.0,Binary C=0.1
0,0.9498012910215758,0.9499065769397262
1,0.958453158949668,0.9587337486970596
2,0.9654711032681128,0.96554931654727
3,0.9657765508503828,0.9656569978790998
4,0.9696525929223508,0.96962171631996
5,0.972057665445711,0.9719523968826296
6,0.9705253703925292,0.9705172083560388
7,0.9736338711662068,0.9737273851955331
8,0.9780729946996504,0.9781631096745034
9,0.9843261744507992,0.9842181785468408
10,0.986413457002694,0.986250494278125
11,0.9876048183036856,0.987462237664972
12,0.9890841484516604,0.98899015762813
13,0.9909046845366888,0.9908653431524964
14,0.992292588021545,0.9920574699472824
15,0.993768172213749,0.9935778288347284
16,0.993716120608539,0.9935320581378038
17,0.9936268542393328,0.993506008999694
18,0.994892092425219,0.9947213804002718
19,0.9960786248173412,0.9959646670510484
20,0.9959580579470856,0.9958503458427216
21,0.9954092952698133,0.9954186405082346
22,0.994879471336506,0.9949103920668708
23,0.9946939026662788,0.994714950297218
24,0.9939322987963706,0.9940520973596864
25,0.9936441801883886,0.9938695821811808
26,0.9932651506853662,0.9933830807476204
27,0.9915480236500182,0.9916992778315644
