layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.7205716035593973,0.9401278504898289,0.6959055965101381,0.5256813636782247,3879,0.9589616810877627,78,0.019283065512978988,88,0.021755253399258344,118,0.022679223524889488,3877,0.7451470305592928,1208,0.2321737459158178,210,0.050872093023255814,1984,0.4806201550387597,1934,0.4685077519379845
1,0.7131908788835725,0.9128397518468401,0.6873846758679711,0.5393482089359062,3807,0.9411619283065513,141,0.034857849196538934,97,0.023980222496909766,228,0.04382087257351528,3774,0.7253507591773977,1201,0.23082836824908706,261,0.06322674418604651,1863,0.45130813953488375,2004,0.48546511627906974
2,0.7257418009473137,0.9324086080445697,0.6986592776039817,0.5461575171933895,3883,0.9599505562422744,81,0.020024721878862794,81,0.020024721878862794,168,0.032289064001537575,3837,0.7374591581779742,1198,0.23025177782048817,233,0.056443798449612406,1863,0.45130813953488375,2032,0.49224806201550386
3,0.7216841493452305,0.9191688251701369,0.6971042907675993,0.5487793320979554,3832,0.9473423980222497,120,0.029666254635352288,93,0.022991347342398022,218,0.041898904478185665,3841,0.7382279454161061,1144,0.21987315010570824,243,0.05886627906976744,1856,0.4496124031007752,2029,0.49152131782945735
4,0.7388296436003753,0.933616594449548,0.7127252968051365,0.5701470395464412,3861,0.9545117428924599,80,0.019777503090234856,104,0.025710754017305316,148,0.02844512781087834,3901,0.7497597539880838,1154,0.22179511820103787,217,0.052567829457364344,1763,0.4270833333333333,2148,0.5203488372093024
5,0.751335115185143,0.9549638247118496,0.7212713294389654,0.5777701914046138,3922,0.9695920889987639,34,0.008405438813349814,89,0.022002472187886278,84,0.016144532000768787,3958,0.7607149721314627,1161,0.2231404958677686,163,0.03948643410852713,1780,0.4312015503875969,2185,0.529312015503876
6,0.7456832357453959,0.9484722907931514,0.7196903818810745,0.5688870345619617,3893,0.9624227441285538,47,0.01161928306551298,105,0.02595797280593325,104,0.01998846819142802,3982,0.7653276955602537,1117,0.21468383624831827,167,0.04045542635658915,1834,0.4442829457364341,2127,0.5152616279069767
7,0.7391509336072551,0.9364054469717665,0.7115717631743756,0.5694755906756233,3843,0.950061804697157,80,0.019777503090234856,122,0.03016069221260816,133,0.025562175667883914,3903,0.7501441476071498,1167,0.22429367672496636,187,0.04530038759689922,1784,0.4321705426356589,2157,0.5225290697674418
8,0.7539287456208023,0.952557761749311,0.7252365477310507,0.5839919273820453,3885,0.9604449938195303,49,0.01211372064276885,111,0.027441285537700866,77,0.014799154334038054,3990,0.7668652700365174,1136,0.21833557562944456,150,0.036337209302325583,1761,0.4265988372093023,2217,0.5370639534883721
9,0.7639320380245437,0.9709429168611777,0.7311734595248358,0.5896797376876174,3942,0.9745364647713226,13,0.0032138442521631645,90,0.022249690976514216,13,0.0024985585239285027,4016,0.7718623870843744,1174,0.2256390543916971,120,0.029069767441860465,1753,0.42466085271317827,2255,0.5462693798449613
10,0.7660271145602371,0.9695428100337379,0.73391138558916,0.5946271480578135,3932,0.9720642768850433,18,0.004449938195302843,95,0.023485784919653894,13,0.0024985585239285027,4028,0.77416874879877,1162,0.22333269267730155,121,0.02931201550387597,1728,0.4186046511627907,2279,0.5520833333333334
11,0.7701419691916843,0.9701921644488781,0.7373789275691589,0.6028548155570161,3937,0.973300370828183,16,0.003955500618046972,92,0.022744128553770088,15,0.0028829521429944265,4035,0.7755141264655007,1153,0.2216029213915049,119,0.02882751937984496,1690,0.40939922480620156,2319,0.5617732558139535
12,0.7814888733658694,0.9706327164564265,0.7503367909066678,0.6234971127345137,3933,0.9723114956736711,16,0.003955500618046972,96,0.023733003708281828,5,0.0009609840476648087,4089,0.7858927541802806,1109,0.2131462617720546,121,0.02931201550387597,1591,0.3854166666666667,2416,0.5852713178294574
13,0.7877647395492771,0.972373224959675,0.755491948941805,0.6354290447463512,3942,0.9745364647713226,8,0.001977750309023486,95,0.023485784919653894,0,0.0,4086,0.7853161637516817,1117,0.21468383624831827,121,0.02931201550387597,1520,0.3682170542635659,2487,0.6024709302325582
14,0.793300044954263,0.9723689336114999,0.7618860728584929,0.6456451283927963,3941,0.9742892459826947,2,0.0004944375772558715,102,0.025216316440049444,0,0.0,4107,0.7893522967518739,1096,0.2106477032481261,120,0.029069767441860465,1469,0.3558624031007752,2539,0.6150678294573644
15,0.8052736998102121,0.9729593100276425,0.774365498048968,0.6684962913540259,3940,0.9740420271940667,2,0.0004944375772558715,103,0.025463535228677378,0,0.0,4148,0.7972323659427254,1055,0.20276763405727466,114,0.027616279069767442,1360,0.32945736434108525,2654,0.6429263565891473
16,0.8040602975668266,0.9724989532872981,0.7732023869520728,0.666479552461109,3943,0.9747836835599506,2,0.0004944375772558715,100,0.024721878862793572,0,0.0,4139,0.7955025946569287,1064,0.20449740534307131,121,0.02931201550387597,1362,0.32994186046511625,2645,0.6407461240310077
17,0.8141090005896525,0.9723697993041729,0.7866226965511777,0.6833345059136068,3941,0.9742892459826947,4,0.000988875154511743,100,0.024721878862793572,0,0.0,4221,0.8112627330386316,982,0.18873726696136844,120,0.029069767441860465,1304,0.31589147286821706,2704,0.6550387596899225
18,0.8120549989595154,0.9709846272503757,0.7822722431654633,0.6829081264627072,3932,0.9720642768850433,1,0.00024721878862793575,112,0.0276885043263288,0,0.0,4155,0.7985777436094561,1048,0.20142225639054392,122,0.029554263565891473,1264,0.3062015503875969,2742,0.6642441860465116
19,0.8187691554098965,0.9714452685410826,0.7913910183402872,0.6934711793483194,3929,0.9713226205191594,0,0.0,116,0.028677379480840544,0,0.0,4217,0.8104939458004997,986,0.18950605419950028,115,0.027858527131782947,1237,0.29966085271317827,2776,0.6724806201550387
20,0.8175848902764219,0.9712355961755051,0.7886151310738663,0.6929039435798943,3934,0.9725587144622991,1,0.00024721878862793575,110,0.027194066749072928,0,0.0,4180,0.8033826638477801,1023,0.19661733615221988,122,0.029554263565891473,1217,0.29481589147286824,2789,0.6756298449612403
21,0.8138769779222151,0.9727414150686599,0.781691368265709,0.6871981504322762,3944,0.9750309023485785,0,0.0,101,0.02496909765142151,0,0.0,4129,0.7935806265615991,1074,0.20641937343840092,120,0.029069767441860465,1232,0.29844961240310075,2776,0.6724806201550387
22,0.8006322618790999,0.9723236067675665,0.764073290565251,0.6654998883044821,3936,0.973053152039555,2,0.0004944375772558715,107,0.026452410383189122,0,0.0,4032,0.7749375360369017,1171,0.2250624639630982,115,0.027858527131782947,1317,0.3190406976744186,2696,0.6531007751937985
23,0.8016166050340853,0.9720907789308619,0.7666638103336565,0.6660952258377375,3936,0.973053152039555,0,0.0,109,0.026946847960444994,0,0.0,4057,0.7797424562752259,1146,0.22025754372477416,117,0.028343023255813952,1323,0.32049418604651164,2688,0.6511627906976745
24,0.7986989691522511,0.9715055180160792,0.762772358613999,0.6618190308266751,3938,0.9735475896168109,0,0.0,107,0.026452410383189122,0,0.0,4026,0.773784355179704,1177,0.226215644820296,124,0.030038759689922482,1327,0.32146317829457366,2677,0.6484980620155039
25,0.7971581222730043,0.9720762870836148,0.7610500696238462,0.6583480101115521,3934,0.9725587144622991,1,0.00024721878862793575,110,0.027194066749072928,0,0.0,4031,0.7747453392273689,1172,0.22525466077263118,115,0.027858527131782947,1358,0.32897286821705424,2655,0.6431686046511628
26,0.793820989241692,0.971411933018571,0.7585180280027954,0.6515330067037095,3942,0.9745364647713226,2,0.0004944375772558715,101,0.02496909765142151,1,0.00019219680953296174,4029,0.7743609456083029,1173,0.22544685758216412,128,0.031007751937984496,1389,0.33648255813953487,2611,0.6325096899224806
27,0.790771356232585,0.9707779383819707,0.7539506056809754,0.6475855246348088,3937,0.973300370828183,6,0.0014833127317676143,102,0.025216316440049444,0,0.0,3995,0.7678262540841821,1208,0.2321737459158178,129,0.03125,1394,0.3376937984496124,2605,0.6310562015503876
