layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.7209300972095295,0.935584752619353,0.6826369700314652,0.5445685689777705,3798,0.9389369592088999,57,0.014091470951792336,190,0.04697156983930779,58,0.011147414952911782,3618,0.6953680568902556,1527,0.29348452815683257,218,0.05281007751937984,1721,0.4169089147286822,2189,0.530281007751938
1,0.7267875975068455,0.9203298813638325,0.6963505302416686,0.5636823809150352,3743,0.9253399258343634,84,0.0207663782447466,218,0.05389369592088999,106,0.020372861810493945,3696,0.7103594080338267,1401,0.2692677301556794,240,0.05813953488372093,1631,0.3951065891472868,2257,0.5467538759689923
2,0.7371806084701391,0.9300656396953164,0.7045803071715209,0.57689587854358,3770,0.9320148331273177,59,0.014585908529048208,216,0.05339925834363412,67,0.012877186238708437,3713,0.713626753795887,1423,0.27349605996540455,225,0.05450581395348837,1564,0.37887596899224807,2339,0.5666182170542635
3,0.7283452241822427,0.9155132434598565,0.6931681348223082,0.5763542942645634,3700,0.9147095179233622,103,0.025463535228677378,242,0.059826946847960444,119,0.022871420334422448,3640,0.6995963866999808,1444,0.2775321929655968,219,0.053052325581395346,1555,0.37669573643410853,2354,0.5702519379844961
4,0.7449906279612649,0.9276379310475813,0.7106608312043102,0.5966731216319031,3745,0.9258343634116193,83,0.020519159456118666,217,0.05364647713226205,68,0.013069383048241399,3719,0.7147799346530848,1416,0.27215068229867384,216,0.05232558139534884,1461,0.3539244186046512,2451,0.59375
5,0.7580550761122306,0.9422353406011739,0.7197106443442134,0.6122192433913043,3817,0.9436341161928307,33,0.008158220024721878,195,0.048207663782447466,36,0.006919085143186623,3720,0.7149721314626177,1447,0.27810878339419565,204,0.04941860465116279,1378,0.3338178294573643,2546,0.6167635658914729
6,0.7561289429021998,0.9419488705544984,0.7184835266765762,0.6079544314755249,3805,0.9406674907292955,38,0.009394313967861558,202,0.04993819530284302,30,0.005765904285988853,3727,0.7163175091293484,1446,0.2779165865846627,199,0.048207364341085274,1406,0.34060077519379844,2523,0.6111918604651163
7,0.7462066341230584,0.9275436266781565,0.7084872319545206,0.6025890437364984,3744,0.9255871446229913,70,0.0173053152039555,231,0.05710754017305315,75,0.014414760714972132,3665,0.7044013069383048,1463,0.28118393234672306,209,0.05062984496124031,1408,0.34108527131782945,2511,0.6082848837209303
8,0.7574316588880484,0.9347373183018945,0.7220295742373887,0.6155280841248619,3774,0.9330037082818294,63,0.01557478368355995,208,0.05142150803461063,54,0.010378627714779935,3754,0.7215068229867384,1395,0.26811454929848166,202,0.04893410852713178,1378,0.3338178294573643,2548,0.6172480620155039
9,0.7683993426959616,0.949769574163627,0.7312457682041236,0.6241826857201342,3838,0.9488257107540173,17,0.004202719406674907,190,0.04697156983930779,13,0.0024985585239285027,3784,0.7272727272727273,1406,0.2702287142033442,186,0.04505813953488372,1345,0.32582364341085274,2597,0.6291182170542635
10,0.7715841859210196,0.9496879080714755,0.7365120481424177,0.6285526015491655,3831,0.9470951792336217,20,0.004944375772558714,194,0.04796044499381953,9,0.0017297712857966558,3825,0.7351527964635787,1369,0.2631174322506246,183,0.04433139534883721,1337,0.3238856589147287,2608,0.6317829457364341
11,0.7696546692948288,0.9486426354002571,0.7350473713317061,0.6252740011525235,3833,0.9475896168108776,22,0.005438813349814586,190,0.04697156983930779,18,0.0034595425715933117,3828,0.7357293868921776,1357,0.2608110705362291,185,0.04481589147286822,1362,0.32994186046511625,2581,0.6252422480620154
12,0.781448406086723,0.9510780408296426,0.7515355567747208,0.641731620655805,3849,0.9515451174289246,15,0.003708281829419036,181,0.044746600741656366,11,0.0021141649048625794,3927,0.7547568710359408,1265,0.24312896405919662,189,0.04578488372093023,1305,0.31613372093023256,2634,0.6380813953488372
13,0.7844676037982775,0.9521534206088988,0.7539092257991813,0.6473401649867526,3850,0.9517923362175525,13,0.0032138442521631645,182,0.0449938195302843,6,0.0011531808571977706,3925,0.7543724774168749,1272,0.24447434172592736,186,0.04505813953488372,1270,0.3076550387596899,2672,0.6472868217054264
14,0.7943791889166224,0.9536582597289494,0.7674864645952502,0.6619928424256678,3858,0.953770086526576,7,0.00173053152039555,180,0.04449938195302843,3,0.0005765904285988853,4005,0.7697482221795118,1195,0.2296751873918893,185,0.04481589147286822,1220,0.29554263565891475,2723,0.6596414728682171
15,0.7974782665983725,0.953895430423634,0.7732736147997821,0.6652657545717015,3858,0.953770086526576,4,0.000988875154511743,183,0.045241038318912234,1,0.00019219680953296174,4052,0.778781472227561,1150,0.22102633096290603,185,0.04481589147286822,1221,0.29578488372093026,2722,0.6593992248062015
