layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.9521551153387389,0.9523394049053546,0.9519708257721231,3906,0.965636588380717,139,0.034363411619283066,252,0.061046511627906974,3876,0.938953488372093,0.9877780920691818,8173
1,0.9391841835132195,0.9395906293749607,0.9387777376514782,3866,0.9557478368355995,179,0.0442521631644005,318,0.07703488372093023,3810,0.9229651162790697,0.9803197265048054,8173
2,0.9489709534156718,0.9493177769743788,0.9486241298569649,3905,0.965389369592089,140,0.034610630407911,277,0.06710271317829457,3851,0.9328972868217055,0.9851681299084035,8173
3,0.9419967616500031,0.9424121528835553,0.941581370416451,3880,0.9592088998763906,165,0.0407911001236094,309,0.07485465116279069,3819,0.9251453488372093,0.9830083921790779,8173
4,0.9499540718421983,0.9499876810739879,0.9499204626104086,3886,0.9606922126081582,159,0.03930778739184178,250,0.060562015503875966,3878,0.939437984496124,0.988729544114514,8173
5,0.9634133153256015,0.9633304784432053,0.9634961522079977,3928,0.9710754017305315,117,0.028924598269468478,182,0.04408914728682171,3946,0.9559108527131783,0.9931463897467963,8173
6,0.9582756783261343,0.9581952435682533,0.9583561130840152,3909,0.9663782447466007,136,0.033621755253399256,205,0.04966085271317829,3923,0.9503391472868217,0.9913379475761575,8173
7,0.952279649079047,0.952172561702428,0.9523867364556662,3881,0.9594561186650186,164,0.040543881334981456,226,0.054748062015503876,3902,0.9452519379844961,0.9896617144003539,8173
8,0.9602308900020925,0.9599361455443185,0.9605256344598665,3893,0.9624227441285538,152,0.03757725587144623,173,0.04190891472868217,3955,0.9580910852713178,0.9931756329959175,8173
9,0.9722219223259866,0.9719854006008157,0.9724584440511574,3938,0.9735475896168109,107,0.026452410383189122,120,0.029069767441860465,4008,0.9709302325581395,0.997606758692133,8173
10,0.9724668482350135,0.9721940479627811,0.9727396485072459,3934,0.9725587144622991,111,0.027441285537700866,114,0.027616279069767442,4014,0.9723837209302325,0.9977186324043084,8173
11,0.9719775673165327,0.9717253349423522,0.9722297996907132,3936,0.973053152039555,109,0.026946847960444994,120,0.029069767441860465,4008,0.9709302325581395,0.9976815153029772,8173
12,0.972221989730492,0.9719460270081164,0.9724979524528676,3931,0.9718170580964153,114,0.028182941903584672,113,0.027374031007751938,4015,0.9726259689922481,0.9979830106691894,8173
13,0.9729552450320538,0.9726434731952821,0.9732670168688253,3929,0.9713226205191594,116,0.028677379480840544,105,0.025436046511627907,4023,0.9745639534883721,0.9983477319367623,8173
14,0.9732007796177562,0.9729184025277415,0.9734831567077707,3934,0.9725587144622991,111,0.027441285537700866,108,0.02616279069767442,4020,0.9738372093023255,0.9985610774523641,8173
15,0.9741799754877346,0.9739249597319356,0.9744349912435336,3941,0.9742892459826947,104,0.025710754017305316,107,0.025920542635658916,4021,0.9740794573643411,0.9985946559638291,8173
16,0.9738126576864419,0.9735310514819624,0.9740942638909214,3936,0.973053152039555,109,0.026946847960444994,105,0.025436046511627907,4023,0.9745639534883721,0.9985913762199614,8173
17,0.9723442166480911,0.972061935539571,0.9726264977566114,3932,0.9720642768850433,113,0.027935723114956738,113,0.027374031007751938,4015,0.9726259689922481,0.9986128118248544,8173
18,0.973200290006645,0.9728972142348628,0.9735033657784271,3932,0.9720642768850433,113,0.027935723114956738,106,0.02567829457364341,4022,0.9743217054263565,0.9985977895059623,8173
19,0.9729561693089865,0.9726924220458837,0.9732199165720894,3936,0.973053152039555,109,0.026946847960444994,112,0.027131782945736434,4016,0.9728682170542635,0.9986227954442741,8173
20,0.9723447512837015,0.972094616750361,0.9725948858170419,3937,0.973300370828183,108,0.02669962917181706,118,0.028585271317829456,4010,0.9714147286821705,0.9985764961121857,8173
21,0.9724665358750545,0.9721909233271413,0.9727421484229677,3933,0.9723114956736711,112,0.0276885043263288,113,0.027374031007751938,4015,0.9726259689922481,0.9986034472954085,8173
22,0.9736896202650397,0.9733942306356559,0.9739850098944235,3933,0.9723114956736711,112,0.0276885043263288,103,0.0249515503875969,4025,0.9750484496124031,0.9986127263893495,8173
23,0.9734456947523071,0.9731864124386368,0.9737049770659775,3938,0.9735475896168109,107,0.026452410383189122,110,0.026647286821705425,4018,0.9733527131782945,0.9986156986742352,8173
24,0.9734455040411745,0.9731888966625977,0.9737021114197514,3938,0.9735475896168109,107,0.026452410383189122,110,0.026647286821705425,4018,0.9733527131782945,0.9985996854123229,8173
25,0.9729552865319724,0.9726571164589266,0.9732534566050182,3931,0.9718170580964153,114,0.028182941903584672,107,0.025920542635658916,4021,0.9740794573643411,0.9986204852392027,8173
26,0.9723437783258323,0.9720715810305892,0.9726159756210754,3934,0.9725587144622991,111,0.027441285537700866,115,0.027858527131782947,4013,0.9721414728682171,0.9986107341639805,8173
27,0.9729560258085834,0.9727030493257087,0.973209002291458,3938,0.9735475896168109,107,0.026452410383189122,114,0.027616279069767442,4014,0.9723837209302325,0.9985858967385857,8173
