layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.7155342019117019,0.94174289841117,0.6914922048997773,0.5133675024241585,3912,0.9671199011124846,95,0.023485784919653894,38,0.009394313967861558,122,0.023448010763021335,3881,0.7459158177974246,1200,0.23063617143955412,229,0.05547480620155039,2046,0.4956395348837209,1853,0.4488856589147287,0.9950131023857169,0.5133657015249328,0.8201490414686937,0.9781086270977966,0.9720671911531278
1,0.7077736796895437,0.9163299263132874,0.6824550302811172,0.5245360824742268,3855,0.9530284301606922,157,0.03881334981458591,33,0.008158220024721878,222,0.042667691716317506,3775,0.7255429559869306,1206,0.23178935229675188,292,0.07073643410852713,1928,0.46705426356589147,1908,0.4622093023255814,0.9915982111027051,0.5245416682471784,0.8224026390938166,0.9615921764327515,0.9513443677824356
2,0.7203127514835393,0.9328875089562932,0.6957460203255689,0.532304725168756,3906,0.965636588380717,110,0.027194066749072928,29,0.007169344870210136,165,0.03171247357293869,3868,0.7434172592734961,1170,0.22487026715356526,258,0.0625,1938,0.4694767441860465,1932,0.4680232558139535,0.995226748066371,0.5322688423013966,0.8258368797189324,0.9718710752881818,0.9642980950189844
3,0.7136558227383364,0.9213349225268176,0.6891271056661562,0.5305054400220355,3865,0.9555006180469716,145,0.03584672435105068,35,0.00865265760197775,206,0.03959254276379012,3825,0.7351527964635787,1172,0.22525466077263118,274,0.06637596899224807,1928,0.46705426356589147,1926,0.46656976744186046,0.9922097974214384,0.5305047178147742,0.8250956502944536,0.9643057239631132,0.954769743054344
4,0.732297667278211,0.939225181598063,0.7056916426512968,0.5519761775852734,3879,0.9589616810877627,110,0.027194066749072928,56,0.0138442521631644,120,0.02306361714395541,3918,0.7530270997501441,1165,0.22390928310590044,216,0.05232558139534884,1873,0.45373062015503873,2039,0.4939437984496124,0.9961121009240153,0.5519820406746212,0.8290624511324017,0.9769009952048682,0.9703912546248981
5,0.7475321497466689,0.9561946365732314,0.7218072180721807,0.5645945945945946,3940,0.9740420271940667,44,0.010877626699629172,61,0.01508034610630408,71,0.013645973476840285,4010,0.7707092062271766,1122,0.2156448202959831,185,0.04481589147286822,1854,0.4491279069767442,2089,0.5060562015503876,0.9988500243464745,0.5645971806726664,0.833504594155173,0.9884323303967004,0.9852257463614734
6,0.743649025257076,0.9544346978557505,0.7205764611689351,0.5559359167465425,3917,0.9683559950556242,67,0.016563658838071694,61,0.01508034610630408,69,0.013261579857774361,4050,0.778397078608495,1084,0.20834134153373055,177,0.042877906976744186,1921,0.46535852713178294,2030,0.49176356589147285,0.9986434663625436,0.5559570952468322,0.8332527788150802,0.9861558455817014,0.9822109987076884
7,0.7371609518557625,0.9395450675100353,0.7107008424448826,0.5612369456123695,3862,0.9547589616810878,118,0.029171817058096416,65,0.016069221260815822,127,0.024408994810686143,3965,0.7620603497981934,1111,0.2135306553911205,187,0.04530038759689922,1872,0.45348837209302323,2069,0.5012112403100775,0.9975675828175177,0.5611540373417181,0.8330731957945495,0.9756642879511297,0.9687643126457006
8,0.7529799718631675,0.9547898338220919,0.7250902527075812,0.5790598290598291,3907,0.9658838071693449,62,0.015327564894932014,76,0.018788627935723116,70,0.013453776667307323,4017,0.7720545838939074,1116,0.21449163943878533,162,0.03924418604651163,1798,0.43556201550387597,2168,0.5251937984496124,0.9988304374455448,0.5789853667994995,0.8363776753676844,0.9867259933478444,0.9829611722624424
9,0.7600168446907732,0.971323076923077,0.7282608695652174,0.5804665875840254,3946,0.9755253399258343,11,0.002719406674907293,88,0.021755253399258344,14,0.0026907553334614646,4020,0.7726311743225063,1169,0.22467807034403228,120,0.029069767441860465,1806,0.4375,2202,0.5334302325581395,0.9999529678265746,0.5804207938490983,0.8339142101591517,0.9975000907246588,0.9967885944919967
