layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.7285882874458361,0.9368239921337267,0.6941231781852374,0.554817692018544,3811,0.9421508034610631,48,0.011866501854140914,186,0.045982694684796044,59,0.011339611762444744,3691,0.7093984239861618,1453,0.27926196425139344,221,0.053536821705426355,1693,0.41012596899224807,2214,0.5363372093023255,0.9963267434583065,0.5548196340680569,0.8107129563165912,0.9869101875007498,0.9832229201416822
1,0.7270860072794236,0.9239478218065469,0.6948180193736481,0.5624921806580758,3754,0.9280593325092708,84,0.0207663782447466,207,0.0511742892459827,99,0.019027484143763214,3694,0.7099750144147607,1410,0.27099750144147605,228,0.055232558139534885,1652,0.4001937984496124,2248,0.5445736434108527,0.9962080535954916,0.5624859798602592,0.8135345966892858,0.978712365976816,0.9727640247874453
2,0.7368027568184647,0.9289227742252828,0.7042627931263648,0.5772227031037468,3777,0.9337453646477132,64,0.015822002472187888,204,0.05043263288009889,73,0.014030367095906209,3709,0.7128579665577551,1421,0.27311166634633866,237,0.057412790697674417,1557,0.37718023255813954,2334,0.565406976744186,0.9969335122029681,0.5772895990285486,0.8167638835770624,0.9845905004626104,0.9802780315205494
3,0.7330716219872219,0.9151001351517385,0.7047889995258416,0.5793257312840853,3724,0.9206427688504326,87,0.02150803461063041,234,0.057849196538936956,118,0.022679223524889488,3716,0.7142033442244858,1369,0.2631174322506246,252,0.061046511627906974,1539,0.37281976744186046,2337,0.5661337209302325,0.9945751046953211,0.5792351843467999,0.8183507254282624,0.9763919213227602,0.9698204328698896
4,0.7419580789165375,0.9265522774966054,0.7123546649021647,0.5869672943508424,3753,0.9278121137206428,70,0.0173053152039555,222,0.05488257107540173,82,0.015760138381702864,3768,0.7241975783201999,1353,0.26004228329809725,221,0.053536821705426355,1538,0.37257751937984496,2369,0.5738856589147286,0.99741901109379,0.5870098260399566,0.8214899667113251,0.9827766372377618,0.9779088676990952
5,0.7579285110037941,0.9394649241770435,0.7298245614035088,0.6044960474308301,3810,0.9419035846724351,35,0.00865265760197775,200,0.049443757725587144,34,0.0065346915241206996,3848,0.7395733230828369,1321,0.2538919853930425,222,0.05377906976744186,1459,0.3534399224806202,2447,0.592781007751938,0.9991956055640943,0.6042888700755421,0.8283553068464785,0.9925034664697815,0.9903602030315837
6,0.7628177690864707,0.9423695275785308,0.7314329297359138,0.6146508499449675,3810,0.9419035846724351,32,0.007911001236093944,203,0.05018541409147095,34,0.0065346915241206996,3836,0.7372669613684413,1333,0.256198347107438,197,0.047722868217054265,1418,0.3435077519379845,2513,0.6087693798449613,0.9989989575452469,0.6146236513279166,0.8303667665113217,0.9919156357274801,0.9896370053640876
7,0.7490959687777597,0.9294277592386603,0.7186460017115147,0.5992141453831041,3760,0.9295426452410384,61,0.01508034610630408,224,0.0553770086526576,72,0.013838170286373247,3779,0.7263117432250624,1352,0.2598500864885643,214,0.05184108527131783,1474,0.35707364341085274,2440,0.5910852713178295,0.9986970423075141,0.5989964819326447,0.8246104045769623,0.9852859976147172,0.9811059330219806
8,0.7591451865001854,0.9405793513245853,0.727255424438523,0.609600783737448,3799,0.9391841779975278,39,0.009641532756489494,207,0.0511742892459827,40,0.00768787238131847,3821,0.7343840092254469,1342,0.25792811839323465,194,0.04699612403100775,1445,0.3500484496124031,2489,0.6029554263565892,0.9993125701428281,0.6093278973520156,0.8284774432641419,0.9910613922982023,0.988506168304075
9,0.7688249800815422,0.9504827927704877,0.7366310160427807,0.6193611314313582,3839,0.9490729295426452,7,0.00173053152039555,199,0.04919653893695921,11,0.0021141649048625794,3857,0.7413030943686335,1335,0.25658274072650394,183,0.04433139534883721,1405,0.34035852713178294,2540,0.6153100775193798,0.9999522590340675,0.6194013092361471,0.8316698809007461,0.9980773839783442,0.9975294895351547
10,0.7733120893413594,0.950575994054255,0.7451909409646545,0.6241693330051686,3837,0.9485784919653893,11,0.002719406674907293,197,0.048702101359703334,6,0.0011531808571977706,3932,0.7557178550836056,1265,0.24312896405919662,185,0.04481589147286822,1407,0.34084302325581395,2536,0.6143410852713178,0.9999757711246884,0.6240444415169857,0.8360129400216627,0.9979830317519391,0.9974027497222616
11,0.772332221834437,0.9517207229512256,0.7417911868278291,0.6234847557242561,3844,0.9503090234857849,9,0.0022249690976514215,192,0.047466007416563656,5,0.0009609840476648087,3897,0.7489909667499519,1301,0.2500480492023832,184,0.044573643410852716,1398,0.3386627906976744,2546,0.6167635658914729,0.9999688786655921,0.6229642617857614,0.8345433956222831,0.9980791389495332,0.997525822305206
12,0.7818332663904464,0.9517565561603166,0.7558801213960546,0.6378631216149679,3847,0.9510506798516687,6,0.0014833127317676143,192,0.047466007416563656,5,0.0009609840476648087,3985,0.7659042859888526,1213,0.2331347299634826,187,0.04530038759689922,1350,0.32703488372093026,2591,0.6276647286821705,0.9999838423166846,0.6375614959884883,0.8420583002443843,0.9988468924260353,0.9985166857572999
13,0.7891804930646283,0.9529586531319634,0.7656072644721907,0.6489755615897309,3849,0.9515451174289246,6,0.0014833127317676143,190,0.04697156983930779,1,0.00019219680953296174,4047,0.7778204881798962,1155,0.2219873150105708,183,0.04433139534883721,1316,0.3187984496124031,2629,0.6368701550387597,0.999992873940796,0.6489181181665338,0.8474862925607258,0.9993277076405358,0.9991340457740169
14,0.7944680270338225,0.953865182436611,0.7701390211388307,0.6593998775260257,3856,0.9532756489493202,2,0.0004944375772558715,187,0.04622991347342398,1,0.00019219680953296174,4044,0.7772438977512973,1158,0.2225639054391697,183,0.04433139534883721,1253,0.30353682170542634,2692,0.6521317829457365,0.9999995248076008,0.6594678062618465,0.8503491716893233,0.9997117693564272,0.9996290952789673
15,0.8006498489452918,0.9542305789213261,0.7787593806402584,0.6689595872742906,3857,0.953522867737948,2,0.0004944375772558715,186,0.045982694684796044,0,0.0,4099,0.7878147222756102,1104,0.21218527772438978,182,0.04408914728682171,1223,0.29626937984496127,2723,0.6596414728682171,0.9999981001437954,0.6688188163956463,0.8552023260636418,0.9998078769969846,0.999752628324057
16,0.8055914018173637,0.9542305789213261,0.7868077868077868,0.675735839722978,3857,0.953522867737948,2,0.0004944375772558715,186,0.045982694684796044,0,0.0,4163,0.8001153180857198,1040,0.19988468191428022,182,0.04408914728682171,1214,0.29408914728682173,2732,0.6618217054263565,0.9999981001437954,0.6756369558237132,0.8595370455129533,0.9998078769969846,0.999752628324057
17,0.8129588209856187,0.9540898403662913,0.7928065812129329,0.6919800413776317,3855,0.9530284301606922,3,0.0007416563658838071,187,0.04622991347342398,0,0.0,4144,0.7964635787045935,1059,0.2035364212954065,181,0.0438468992248062,1104,0.26744186046511625,2843,0.6887112403100775,0.9999985751078466,0.691823398876374,0.8634620594114463,0.9997118616345265,0.9996289424860855
