layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
6,25%,16,0.4505349099636078,0.6759700956288627,0.6785777918062305,0.00260769617736778,0.47
6,25%,32,0.5350141525268555,0.7239083737188658,0.7283359391195404,0.004427565400674571,3.35
6,25%,64,0.6188471913337708,0.7452914029199246,0.7512988348237141,0.006007431903789495,9.38
6,25%,128,0.7075427770614624,0.7632182599750953,0.7742186015578293,0.011000341582733997,17.34
6,25%,256,0.805062472820282,0.7671232184052039,0.7883067463908132,0.021183527985609296,34.3
6,25%,512,0.8955007791519165,0.7675568739900681,0.8145063324826592,0.046949458492591134,70.24
13,50%,16,0.4534730315208435,0.7467709165676107,0.7476255707838183,0.0008546542162075621,0.41
13,50%,32,0.540496289730072,0.765874529128176,0.7683824614707895,0.0025079323426134836,1.31
13,50%,64,0.6233148574829102,0.7869817279263903,0.7925659971370651,0.005584269210674786,8.46
13,50%,128,0.7051981091499329,0.7989202359895139,0.8120142741654436,0.01309403817592969,17.69
13,50%,256,0.7876880168914795,0.8006358188794068,0.8270503546813038,0.02641453580189701,34.24
13,50%,512,0.8678092956542969,0.7959205067326001,0.8427180839402829,0.04679757720768285,66.33
20,75%,16,0.4763146936893463,0.7820863797163202,0.7846088948452579,0.0025225151289376413,0.45
20,75%,32,0.5572348237037659,0.8005555557766897,0.8040150829128351,0.0034595271361453905,1.73
20,75%,64,0.6367587447166443,0.8170183769548863,0.825345684352954,0.00832730739806764,3.53
20,75%,128,0.7155779600143433,0.8184718347261885,0.8363939785264008,0.017922143800212398,14.75
20,75%,256,0.7922742366790771,0.8190444091896042,0.8492759792774751,0.030231570087870918,34.04
20,75%,512,0.8641915917396545,0.8172615988806494,0.862956266427087,0.045694667546437584,65.88
