layer,Binary C=1.0,Binary C=0.1
0,0.9880652905020296,0.9877780920691818
1,0.9804066744538136,0.9803197265048054
2,0.9853573456077488,0.9851681299084036
3,0.9833568329947204,0.983008392179078
4,0.9889866748728284,0.988729544114514
5,0.9932419186129772,0.9931463897467964
6,0.9915240364448636,0.9913379475761576
7,0.989731986282069,0.989661714400354
8,0.99329411879943,0.9931756329959176
9,0.9975935758667736,0.997606758692133
10,0.997620231200085,0.9977186324043084
11,0.9976623090024443,0.9976815153029772
12,0.997914729380318,0.9979830106691894
13,0.9983054897934954,0.9983477319367624
14,0.9984536971761206,0.998561077452364
15,0.998482783340004,0.9985946559638292
16,0.9984880598440338,0.9985913762199614
17,0.9984985553509156,0.9986128118248544
18,0.9984729002116024,0.9985977895059625
19,0.9985051162897844,0.998622795444274
20,0.998467179660618,0.9985764961121856
21,0.9985026705850908,0.9986034472954084
22,0.9985291659308964,0.9986127263893496
23,0.998528845230318,0.9986156986742352
24,0.9985170028898424,0.9985996854123228
25,0.9985427465483194,0.9986204852392028
26,0.9985301507065978,0.9986107341639804
27,0.9984976953727244,0.9985858967385856
