layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.5256813636782247,0.5445685689777705,0.5133675024241585,0.554817692018544
1,0.5393482089359062,0.5636823809150352,0.5245360824742268,0.5624921806580758
2,0.5461575171933895,0.57689587854358,0.532304725168756,0.5772227031037468
3,0.5487793320979554,0.5763542942645634,0.5305054400220355,0.5793257312840853
4,0.5701470395464412,0.5966731216319031,0.5519761775852734,0.5869672943508424
5,0.5777701914046138,0.6122192433913043,0.5645945945945946,0.6044960474308301
6,0.5688870345619617,0.6079544314755249,0.5559359167465425,0.6146508499449675
7,0.5694755906756233,0.6025890437364984,0.5612369456123695,0.5992141453831041
8,0.5839919273820453,0.6155280841248619,0.5790598290598291,0.609600783737448
9,0.5896797376876174,0.6241826857201342,0.5804665875840254,0.6193611314313582
10,0.5946271480578135,0.6285526015491655,0.5929897985874967,0.6241693330051686
11,0.6028548155570161,0.6252740011525235,0.6076812164110631,0.6234847557242561
12,0.6234971127345137,0.641731620655805,0.6192642662160406,0.6378631216149679
13,0.6354290447463512,0.6473401649867526,0.6257605177993527,0.6489755615897309
14,0.6456451283927963,0.6619928424256678,0.6450293892154357,0.6593998775260257
15,0.6684962913540259,0.6652657545717015,0.6653977921583555,0.6689595872742906
16,0.666479552461109,0.673787985208782,0.6671730598809976,0.675735839722978
17,0.6833345059136068,0.6899270773679247,0.6862844152563778,0.6919800413776317
18,0.6829081264627072,0.6856893378906996,0.6910457107075767,0.6888261989451736
19,0.6934711793483194,0.6861650004692759,0.6955538809344386,0.6913788939869596
20,0.6929039435798943,0.6788794557854219,0.692882030861125,0.6916229728081941
21,0.6871981504322762,0.687268089173158,0.6847744829304759,0.6787507654623393
22,0.6654998883044821,0.677261476686982,0.6714837423695029,0.6805334638443656
23,0.6660952258377375,0.6721865134892329,0.6690836354544318,0.6713988495900135
24,0.6618190308266751,0.6771357582012525,0.6656712703745179,0.6776235695154614
25,0.6583480101115521,0.6696579318842708,0.6620052441003871,0.6743817760994031
26,0.6515330067037095,0.6667613762332092,0.6595026864925653,0.6701557935735151
27,0.6475855246348088,0.6661948229496015,0.6472581252352867,0.6652046783625731
