layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.7205716035593973,0.7209300972095295,0.7155342019117019,0.7285882874458361
1,0.7131908788835725,0.7267875975068455,0.7077736796895437,0.7270860072794236
2,0.7257418009473137,0.7371806084701391,0.7203127514835393,0.7368027568184647
3,0.7216841493452305,0.7283452241822427,0.7136558227383364,0.7330716219872219
4,0.7388296436003753,0.7449906279612649,0.732297667278211,0.7419580789165375
5,0.751335115185143,0.7580550761122306,0.7475321497466689,0.7579285110037941
6,0.7456832357453959,0.7561289429021998,0.743649025257076,0.7628177690864707
7,0.7391509336072551,0.7462066341230584,0.7371609518557625,0.7490959687777597
8,0.7539287456208023,0.7574316588880484,0.7529799718631675,0.7591451865001854
9,0.7639320380245437,0.7683993426959616,0.7600168446907732,0.7688249800815422
10,0.7660271145602371,0.7715841859210196,0.7653284692705594,0.7733120893413594
11,0.7701419691916843,0.7696546692948288,0.7740772474542655,0.772332221834437
12,0.7814888733658694,0.781448406086723,0.7806711232627702,0.7818332663904464
13,0.7877647395492771,0.7844676037982775,0.7842346531415068,0.7891804930646283
14,0.793300044954263,0.7943791889166224,0.7937956410952505,0.7944680270338225
15,0.8052736998102121,0.7974782665983725,0.804600826941681,0.8006498489452918
16,0.8040602975668266,0.8020140032909611,0.8053175157457005,0.8055914018173637
17,0.8141090005896525,0.81165000031557,0.8158677422410058,0.8129588209856187
18,0.8120549989595154,0.8096145720656063,0.8177308880508013,0.8120771710889008
19,0.8187691554098965,0.8085985962048218,0.8207488056723525,0.8117127228246194
20,0.8175848902764219,0.806090164052117,0.8181648619341119,0.8131717044772366
21,0.8138769779222151,0.808965831469514,0.8135095517375257,0.8061255384553307
22,0.8006322618790999,0.80373215281179,0.8055750023678722,0.8071050729084565
23,0.8016166050340853,0.800482796625786,0.8047928997642583,0.801666583474877
24,0.7986989691522511,0.803332344108831,0.8020617809489595,0.8046393164038587
25,0.7971581222730043,0.7995123781909065,0.8004397677777759,0.8027926195594676
26,0.793820989241692,0.7969290102308184,0.799101579637342,0.8000214807036273
27,0.790771356232585,0.7962919250758901,0.7923676926736789,0.7973214138370418
