layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6243421953070526,0.8168037789807243,0.6080617939123781,0.44816101302805544,6055,0.8617990321662397,675,0.09607173356105893,296,0.0421292342727014,914,0.17402894135567404,3345,0.6369002284843869,993,0.18907083015993906,831,0.20145454545454544,1730,0.4193939393939394,1564,0.37915151515151513
1,0.5874792396111567,0.7738169754884666,0.5868897741926776,0.40173096915232565,5977,0.8506974096214062,731,0.1040421292342727,318,0.04526046114432109,1255,0.23895658796648897,3151,0.59996191926885,846,0.16108149276466108,1190,0.2884848484848485,1605,0.3890909090909091,1330,0.32242424242424245
2,0.6323505760896936,0.819797257410718,0.6299966285925732,0.4472578422657897,6146,0.874750925135212,584,0.08311984059208653,296,0.0421292342727014,893,0.17003046458492002,3446,0.6561309977151562,913,0.17383853769992383,929,0.22521212121212122,1659,0.4021818181818182,1537,0.3726060606060606
3,0.6193686081556571,0.798150938706852,0.6286400325099085,0.4313148532502108,6024,0.8573868488471392,631,0.08980927981781953,371,0.052803871335041275,995,0.18945163747143945,3436,0.6542269611576542,821,0.15632140137090633,1050,0.2545454545454545,1613,0.391030303030303,1462,0.3544242424242424
4,0.6958238723447541,0.8850320368128151,0.6867431136060127,0.5156964666154344,6379,0.907913464275548,290,0.04127526330771421,357,0.05081127241673783,467,0.08891850723533892,3773,0.7183929931454683,1012,0.19268849961919268,543,0.13163636363636363,1673,0.4055757575757576,1909,0.4627878787878788
5,0.7474385984713517,0.954317885920361,0.7168846928039815,0.5711132166897127,6737,0.9588670651864504,100,0.014232849416453175,189,0.0269000853970965,156,0.0297029702970297,3968,0.7555217060167555,1128,0.21477532368621477,200,0.048484848484848485,1750,0.42424242424242425,2175,0.5272727272727272
6,0.7220101730631754,0.9200912079260863,0.6971380520871807,0.5488012591762594,6557,0.9332479362368347,232,0.03302021064617136,237,0.033731853116994025,325,0.06188118811881188,3858,0.7345773038842346,1069,0.20354150799695353,345,0.08363636363636363,1726,0.4184242424242424,2054,0.49793939393939396
7,0.6949188065014699,0.8805956831719006,0.6840763067882831,0.5200844295442257,6372,0.9069171648163963,315,0.0448334756618275,339,0.04824935952177626,495,0.09424980959634426,3735,0.7111576542269612,1022,0.19459253617669459,579,0.14036363636363636,1618,0.3922424242424242,1928,0.4673939393939394
8,0.734756831237875,0.9331900860400582,0.70457239729608,0.5665080103774871,6634,0.9442072302875035,202,0.02875035582123541,190,0.02704241389126103,272,0.05178979436405179,3893,0.7412414318354913,1087,0.20696877380045697,286,0.06933333333333333,1704,0.41309090909090906,2135,0.5175757575757576
9,0.7711615287528873,0.979493252977569,0.7357749430320621,0.5982163902490305,6877,0.9787930543694847,27,0.003842869342442357,122,0.017364076288072874,19,0.0036176694592536178,4056,0.7722772277227723,1177,0.2241051028179741,120,0.02909090909090909,1690,0.40969696969696967,2315,0.5612121212121212
10,0.7740220802778426,0.9788443198988042,0.7375612348039084,0.6056606861308151,6871,0.9779390834044975,39,0.005550811272416738,116,0.01651010532308568,27,0.005140898705255141,4062,0.7734196496572734,1163,0.22143945163747145,115,0.027878787878787878,1662,0.4029090909090909,2348,0.5692121212121212
11,0.7761792628223473,0.9783886644547126,0.739438701596361,0.610710422415968,6860,0.9763734699686877,49,0.006974096214062055,117,0.016652433817250213,28,0.005331302361005331,4075,0.7758948971820259,1149,0.2187738004569688,109,0.026424242424242423,1646,0.399030303030303,2370,0.5745454545454546
12,0.7796268762593187,0.9803384478999921,0.7436027561527567,0.6149394247252071,6881,0.9793623683461429,38,0.005408482778252206,107,0.015229148875604896,18,0.003427265803503427,4093,0.7793221629855294,1141,0.21725057121096725,113,0.027393939393939394,1626,0.3941818181818182,2386,0.5784242424242424
13,0.7865598118106999,0.9812495902894846,0.7504518122171465,0.6279780329254685,6882,0.9795046968403074,27,0.003842869342442357,117,0.016652433817250213,8,0.0015232292460015233,4100,0.7806549885757806,1144,0.21782178217821782,111,0.02690909090909091,1548,0.37527272727272726,2466,0.5978181818181818
14,0.7943364092182975,0.982547156816137,0.7607168394242056,0.6397452314145501,6897,0.9816396242527754,11,0.0015656134358098491,118,0.016794762311414746,5,0.000952018278750952,4154,0.7909367859862909,1093,0.20811119573495812,111,0.02690909090909091,1504,0.3646060606060606,2510,0.6084848484848485
15,0.8075749692325985,0.9836316211992953,0.7745797014637319,0.6645135850347688,6911,0.9836322231710789,8,0.001138627953316254,107,0.015229148875604896,2,0.0003808073115003808,4199,0.7995049504950495,1051,0.20011424219345011,113,0.027393939393939394,1383,0.3352727272727273,2629,0.6373333333333333
16,0.8047803846124078,0.9829812565713665,0.7726532880032518,0.6587066092626046,6902,0.9823512667235981,8,0.001138627953316254,116,0.01651010532308568,4,0.0007616146230007616,4204,0.8004569687738005,1044,0.19878141660319879,111,0.02690909090909091,1418,0.34375757575757576,2596,0.6293333333333333
17,0.8090967947528865,0.9832586886154304,0.7768701641069431,0.6671615315362861,6900,0.982066609735269,11,0.0015656134358098491,115,0.01636777682892115,1,0.0001904036557501904,4216,0.8027418126428028,1035,0.19706778370144706,108,0.02618181818181818,1375,0.3333333333333333,2642,0.6404848484848484
