layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6737978590234831,0.8714829481333994,0.6363321959481552,0.5135784329888949,6150,0.8753202391118702,423,0.060204953031596925,453,0.06447480785653288,451,0.08587204874333587,3379,0.6433739527798934,1422,0.27075399847677073,487,0.11806060606060606,1565,0.3793939393939394,2073,0.5025454545454545
1,0.650978795500476,0.830675077078522,0.6313077283257291,0.4909535810971768,5897,0.8393111300882437,524,0.07458013094221463,605,0.0861087389695417,591,0.11252856054836252,3343,0.6365194211728865,1318,0.25095201827875097,684,0.1658181818181818,1473,0.35709090909090907,1968,0.47709090909090907
2,0.6874351801906199,0.8672241189348684,0.6600986439928849,0.5349827776441061,6153,0.8757472245943638,382,0.05436948477085112,491,0.06988329063478509,453,0.08625285605483625,3461,0.658987052551409,1338,0.2547600913937548,558,0.13527272727272727,1391,0.3372121212121212,2176,0.5275151515151515
3,0.6583068346701592,0.8306420716085909,0.6462439828535241,0.49803444954836207,5885,0.8376031881582693,506,0.07201821804725306,635,0.09037859379447766,537,0.10224676313785225,3414,0.65003808073115,1301,0.2477151561309977,721,0.1747878787878788,1394,0.33793939393939393,2010,0.48727272727272725
4,0.7234440681683952,0.9065338499383474,0.6943970762918318,0.5694012782750065,6406,0.9117563336179904,234,0.033304867634500426,386,0.05493879874750925,274,0.052170601675552174,3650,0.694973343488195,1328,0.25285605483625284,427,0.10351515151515152,1373,0.33284848484848484,2325,0.5636363636363636
5,0.7646123910194408,0.9584366189772704,0.733059146585747,0.6023414074953048,6733,0.9582977512097922,64,0.009109023626530032,229,0.03259322516367777,52,0.009900990099009901,3920,0.7463823305407464,1280,0.24371667936024372,239,0.057939393939393936,1458,0.35345454545454547,2428,0.5886060606060606
6,0.7502778094186605,0.9376661834607833,0.7145878927912991,0.5985793520038989,6596,0.9387987475092513,143,0.02035297466552804,287,0.04084827782522061,134,0.025514089870525513,3747,0.7134424980959635,1371,0.26104341203351106,313,0.07587878787878788,1342,0.3253333333333333,2470,0.5987878787878788
7,0.7232311257317199,0.9013617421063893,0.6933165624065596,0.5750150726822106,6324,0.9000853970964987,282,0.04013663535439795,420,0.059777967549103334,266,0.05064737242955065,3643,0.6936405178979437,1343,0.25571210967250574,416,0.10084848484848485,1332,0.3229090909090909,2377,0.5762424242424242
8,0.7520327907407441,0.9394683076387258,0.715530326345016,0.6010997382384905,6611,0.9409336749217193,138,0.01964133219470538,277,0.03942499288357529,168,0.03198781416603199,3785,0.7206778370144706,1299,0.24733434881949734,269,0.06521212121212121,1405,0.3406060606060606,2451,0.5941818181818181
9,0.770192638284971,0.9678666277231166,0.7292632996315647,0.6134479875002314,6791,0.966552803871335,34,0.004839168801594079,201,0.02860802732707088,22,0.004188880426504189,3838,0.7307692307692307,1392,0.26504188880426505,194,0.04703030303030303,1399,0.33915151515151515,2532,0.6138181818181818
