layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.8231240888528164,0.8756935177831611,0.7705546599224719,6333,0.9013663535439795,693,0.09863364645602049,1105,0.2678787878787879,3020,0.7321212121212122,0.9099646561032587,11151
1,0.7840560125239231,0.8556868913097222,0.7124251337381241,6353,0.9042129234272701,673,0.09578707657272986,1470,0.3563636363636364,2655,0.6436363636363637,0.8718782395056603,11151
2,0.8245720810350349,0.8783868360909878,0.770757325979082,6400,0.9109023626530032,626,0.08909763734699687,1146,0.2778181818181818,2979,0.7221818181818181,0.9052212474491552,11151
3,0.8056018319181915,0.8659162313513763,0.7452874324850065,6325,0.9002277255906632,701,0.09977227440933675,1258,0.30496969696969695,2867,0.695030303030303,0.8912647149627106,11151
4,0.8883430176110678,0.918696380925949,0.8579896542961867,6515,0.9272701394819243,511,0.07272986051807571,642,0.15563636363636363,3483,0.8443636363636363,0.9585626210112442,11151
5,0.9557910914806759,0.9672220127382296,0.9443601702231221,6787,0.9659834898946769,239,0.03401651010532308,221,0.053575757575757575,3904,0.9464242424242424,0.9909752522465766,11151
6,0.9255774997874799,0.9452261839446754,0.9059288156302845,6662,0.9481924281241104,364,0.05180757187588955,408,0.0989090909090909,3717,0.901090909090909,0.9791148965649059,11151
7,0.8849982581761204,0.9166787408606962,0.8533177754915447,6520,0.9279817819527469,506,0.07201821804725306,679,0.16460606060606062,3446,0.8353939393939394,0.9564496223376912,11151
8,0.9383084211318139,0.9545888586818074,0.9220279835818204,6728,0.9575861087389695,298,0.042413891261030456,342,0.0829090909090909,3783,0.9170909090909091,0.9852957211464048,11151
9,0.9747453845588885,0.9812378961091504,0.9682528730086266,6878,0.9789353828636493,148,0.0210646171363507,115,0.027878787878787878,4010,0.9721212121212122,0.9983041925816227,11151
10,0.9752124770343493,0.9816082625715088,0.96881669149719,6886,0.9800740108169655,140,0.019925989183034443,118,0.028606060606060607,4007,0.9713939393939394,0.9982136897850701,11151
11,0.9737946822135131,0.9805143480308415,0.9670750163961845,6870,0.977796754910333,156,0.02220324508966695,117,0.028363636363636365,4008,0.9716363636363636,0.9981420514045348,11151
12,0.9754004517288021,0.9817557075359673,0.9690451959216368,6889,0.9805009962994592,137,0.01949900370054085,119,0.02884848484848485,4006,0.9711515151515151,0.9985303737015293,11151
13,0.9760880579848654,0.9822384715467068,0.9699376444230241,6885,0.979931682322801,141,0.020068317677198976,108,0.02618181818181818,4017,0.9738181818181818,0.9988059584112028,11151
14,0.9776998034305786,0.98347265866167,0.9719269481994873,6904,0.9826359237119271,122,0.017364076288072874,110,0.02666666666666667,4015,0.9733333333333334,0.9990473964778517,11151
15,0.9768342197302922,0.9828321601736609,0.9708362792869233,6899,0.9819242812411044,127,0.01807571875889553,114,0.027636363636363636,4011,0.9723636363636363,0.9990857986730622,11151
16,0.9779927054966042,0.9836813655491596,0.9723040454440488,6904,0.9826359237119271,122,0.017364076288072874,107,0.02593939393939394,4018,0.9740606060606061,0.9990728660994254,11151
17,0.9780991290057867,0.9837406444068216,0.9724576136047517,6899,0.9819242812411044,127,0.01807571875889553,101,0.024484848484848484,4024,0.9755151515151516,0.9991253052231512,11151
18,0.9779949048015895,0.9836787262355534,0.9723110833676255,6902,0.9823512667235981,124,0.017648733276401936,105,0.025454545454545455,4020,0.9745454545454545,0.9991812849952577,11151
19,0.9778028819146509,0.9835361109035491,0.9720696529257529,6901,0.9822089382294336,125,0.01779106177056647,106,0.025696969696969697,4019,0.9743030303030303,0.9991788626918051,11151
20,0.9780809428342867,0.9837612298082503,0.9724006558603231,6907,0.9830629091944207,119,0.016937090805579275,109,0.026424242424242423,4016,0.9735757575757575,0.9991843929338591,11151
21,0.9777976902433592,0.9835419650465689,0.9720534154401493,6904,0.9826359237119271,122,0.017364076288072874,109,0.026424242424242423,4016,0.9735757575757575,0.9991650710800364,11151
22,0.9785600644820622,0.9841190761966903,0.9730010527674343,6911,0.9836322231710789,115,0.01636777682892115,108,0.02618181818181818,4017,0.9738181818181818,0.9991653258462024,11151
23,0.9777909123012061,0.9835492044385401,0.9720326201638722,6908,0.9832052376885853,118,0.016794762311414746,113,0.027393939393939394,4012,0.9726060606060606,0.9991613623669814,11151
24,0.9789443854389877,0.9844042019559479,0.9734845689220275,6914,0.9840592086535724,112,0.015940791346427556,107,0.02593939393939394,4018,0.9740606060606061,0.9991453182345111,11151
25,0.9779794567779124,0.9836962726271947,0.9722626409286301,6910,0.9834898946769143,116,0.01651010532308568,113,0.027393939393939394,4012,0.9726060606060606,0.9991209975150788,11151
26,0.9777871599321744,0.9835532241310517,0.9720210957332969,6909,0.9833475661827498,117,0.016652433817250213,114,0.027636363636363636,4011,0.9723636363636363,0.9991354006392779,11151
27,0.978270341885146,0.9839067084314583,0.9726339753388338,6909,0.9833475661827498,117,0.016652433817250213,109,0.026424242424242423,4016,0.9735757575757575,0.9991155526859592,11151
