layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5834648970321857,0.8129919957663557,0.6208736245415138,0.31652907078868786,6145,0.8746085966410475,806,0.11471676629661258,75,0.01067463706233988,936,0.1782178217821782,3724,0.7090632140137091,592,0.11271896420411272,1010,0.24484848484848484,2214,0.5367272727272727,901,0.21842424242424244,0.9223625550328448,0.3165165109364567,0.8564863557179005,0.827023535149408,0.8732590702937284
1,0.5547638599883208,0.768554012442657,0.5983917999469824,0.29734576757532283,6115,0.8703387418161116,823,0.11713635069740962,88,0.012524907486478793,1332,0.2536176694592536,3386,0.6447067783701447,534,0.10167555217060167,1440,0.3490909090909091,1856,0.4499393939393939,829,0.20096969696969696,0.8892162670978785,0.29735431060880624,0.8561140057546662,0.7776725438731884,0.8462458507294544
2,0.5910671851678967,0.8089565840005207,0.6296455239893571,0.33459944751381215,6214,0.8844292627384003,723,0.10290350128095645,89,0.012667235980643324,975,0.18564356435643564,3668,0.6984006092916984,609,0.11595582635186595,1148,0.27830303030303033,2008,0.48678787878787877,969,0.2349090909090909,0.9254582303094214,0.3345046995532287,0.8573311148575726,0.8275854542612896,0.8756451887553991
3,0.5816038836339686,0.7965915692983022,0.6248481693562381,0.32337191224736567,6170,0.8781668089951609,755,0.10745801309422147,101,0.014375177910617706,1024,0.19497334348819498,3601,0.6856435643564357,627,0.11938309215536938,1271,0.30812121212121213,1918,0.464969696969697,936,0.22690909090909092,0.9182754115345485,0.3233766280691615,0.8550135117456463,0.8188025880985107,0.8697159834016439
4,0.6585415983791856,0.8810381140023099,0.6655124653739612,0.4290742157612854,6484,0.9228579561628238,409,0.05821235411329348,133,0.01892968972388272,533,0.10148514851485149,3844,0.7319116527037319,875,0.1666031987814166,676,0.16387878787878787,2047,0.49624242424242426,1402,0.3398787878787879,0.9719209485934919,0.4289628602225486,0.8579786393732414,0.9037054561882464,0.9290647515426228
5,0.7240787334590397,0.9524681360467573,0.7035938590369853,0.5161742052933763,6763,0.9625676060347281,142,0.020210646171363505,121,0.01722174779390834,167,0.031797410510281794,4033,0.7678979436405179,1052,0.2003046458492003,245,0.059393939393939395,2037,0.4938181818181818,1843,0.4467878787878788,0.9945449368576649,0.5161300728122636,0.8653825563130404,0.9659188372919043,0.974522262991244
6,0.6958261497831125,0.916499203104428,0.6862898324216375,0.4846894138232721,6613,0.9412183319100484,293,0.0417022487902078,120,0.017079419299743808,349,0.06645087585681646,3952,0.7524752475247525,951,0.18107387661843108,443,0.10739393939393939,2020,0.4896969696969697,1662,0.4029090909090909,0.9843351488426556,0.4846669191885916,0.8637863733658075,0.9347237804907051,0.9514101580148413
7,0.6626464543235637,0.8763026119907972,0.6743761412051126,0.43726060977478165,6475,0.921576999715343,412,0.05863933959578708,139,0.01978366068886991,538,0.10243716679360244,3878,0.7383853769992383,836,0.15917745620715917,739,0.17915151515151514,1959,0.4749090909090909,1427,0.34593939393939394,0.9703433167525531,0.4372371906326826,0.8602095052526257,0.9025160094666715,0.9281153386820045
8,0.7089434571251978,0.9301026464632358,0.6899930020993702,0.5067347228129874,6660,0.9479077711357814,245,0.03487048107031027,121,0.01722174779390834,288,0.05483625285605483,3944,0.7509520182787509,1020,0.19421172886519422,347,0.08412121212121212,1991,0.4826666666666667,1787,0.4332121212121212,0.9884859039188323,0.5067590661237205,0.8649051974378619,0.9451720521503775,0.9591295681467724
9,0.7612861458507214,0.9793887704335466,0.7262730959891843,0.5781965711294333,6890,0.9806433247936237,32,0.004554511813265016,104,0.0148021633931113,20,0.003808073115003808,4029,0.7671363290175172,1203,0.22905559786747906,134,0.032484848484848484,1782,0.432,2209,0.5355151515151515,0.9996095622822061,0.5781868689056266,0.8719196814974215,0.9940128949893307,0.9955106622321332
10,0.7658680797323015,0.9788897576231431,0.732566498921639,0.5861479826521225,6886,0.9800740108169655,35,0.004981497295758611,105,0.014944491887275833,27,0.005140898705255141,4076,0.776085300837776,1149,0.2187738004569688,130,0.03151515151515152,1765,0.42787878787878786,2230,0.5406060606060606,0.9996150673166561,0.5860764360642393,0.8750262427572603,0.9928692290909062,0.9946575358914483
11,0.7689596307489857,0.9786810687890847,0.7336457019282754,0.5945521215295967,6886,0.9800740108169655,42,0.005977796754910333,98,0.01394819242812411,38,0.0072353389185072356,4071,0.7751332825590251,1143,0.21763137852246764,122,0.029575757575757575,1733,0.4201212121212121,2270,0.5503030303030303,0.9995054825185001,0.594500286569341,0.8769990221459338,0.9913433251165318,0.9935201562034626
