layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6771556857161597,0.8685220059984655,0.6517931225223564,0.5111519286276568,6226,0.8861372046683746,457,0.065044121833191,343,0.048818673498434384,511,0.09729626808834729,3535,0.6730769230769231,1206,0.22962680883472963,574,0.13915151515151516,1603,0.3886060606060606,1948,0.47224242424242424,0.9626956973707574,0.510854254725736,0.8520229412306494,0.8917968608491027,0.9199120417079781
1,0.6499193657647253,0.8299490614751238,0.6375173691523853,0.4822916666666667,5947,0.8464275547964702,580,0.08255052661542842,499,0.07102191858810133,607,0.11557501904036557,3441,0.6551789794364051,1204,0.22924600152322924,751,0.18206060606060606,1522,0.36896969696969695,1852,0.44896969696969696,0.9447174163379225,0.4819274501690372,0.8417554446216584,0.863418815022633,0.8983434263146585
2,0.6843560008534807,0.8625552515259945,0.6677883716582539,0.5227243793761935,6147,0.8748932536293766,427,0.06077426700825505,452,0.06433247936236834,455,0.08663366336633663,3572,0.6801218583396801,1225,0.23324447829398323,625,0.15151515151515152,1447,0.3507878787878788,2053,0.4976969696969697,0.9643412684776294,0.5225282177343947,0.8497374303195778,0.8995563679862422,0.9250464206393436
3,0.6615224242854061,0.832936896599972,0.6588278863068234,0.4928024899494229,5953,0.8472815257614574,528,0.07514944491887275,545,0.0775690293196698,553,0.1052932216298553,3558,0.6774562071591774,1141,0.21725057121096725,762,0.18472727272727274,1463,0.3546666666666667,1900,0.46060606060606063,0.9503767993393144,0.4926665838462321,0.8441528906157929,0.8725626115220368,0.9053079990182973
4,0.7253331081292468,0.9100782847873616,0.7000661688250307,0.5658548707753479,6452,0.9183034443495588,218,0.03102761172786792,356,0.0506689439225733,259,0.04931454683929931,3703,0.705064737242955,1290,0.24562071591774562,442,0.10715151515151515,1406,0.34084848484848485,2277,0.552,0.9869920192632506,0.5658376846353366,0.8588718684365035,0.9415267141961946,0.9565630678614989
5,0.7607473448818417,0.9595952397919191,0.7261469180973825,0.5964998767562238,6733,0.9582977512097922,59,0.008397381155707373,234,0.033304867634500426,47,0.00894897182025895,3870,0.7368621477532369,1335,0.25418888042650417,227,0.055030303030303034,1478,0.3583030303030303,2420,0.5866666666666667,0.9978913812638355,0.5964827557549987,0.8674016489993992,0.9854479622325435,0.9891034104332878
6,0.7473911244148357,0.940625,0.7195668409260643,0.5819815323184427,6622,0.9424992883575292,117,0.016652433817250213,287,0.04084827782522061,128,0.024371667936024372,3854,0.7338156892612339,1270,0.2418126428027418,304,0.07369696969696969,1489,0.360969696969697,2332,0.5653333333333334,0.9950128051232723,0.5818732317956167,0.8648548212692401,0.9698424847412074,0.9774285147416981
7,0.7228022635193261,0.9030384588143636,0.698927738927739,0.5664405928158754,6375,0.9073441502988898,285,0.040563620836891544,366,0.05209222886421862,288,0.05483625285605483,3748,0.7136329017517137,1216,0.23153084539223154,430,0.10424242424242425,1440,0.3490909090909091,2255,0.5466666666666666,0.9841414122303105,0.5663038393457555,0.8610483813221373,0.9325976302926275,0.9496159042120909
8,0.7495162861747708,0.9379800853485064,0.7163140573577809,0.5942547158180249,6594,0.9385140905209223,143,0.02035297466552804,289,0.041132934813549675,156,0.0297029702970297,3809,0.7252475247524752,1287,0.24504950495049505,284,0.06884848484848485,1431,0.3469090909090909,2410,0.5842424242424242,0.9950920804940857,0.5939760240174523,0.866745338458817,0.9644402407602171,0.9734831482007233
9,0.7753230251401929,0.9687678265830005,0.7401145862684324,0.6170866625691457,6793,0.9668374608596642,29,0.00412752633077142,204,0.029035012809564473,16,0.0030464584920030465,3940,0.7501904036557502,1296,0.24676313785224677,189,0.04581818181818182,1426,0.34569696969696967,2510,0.6084848484848485,0.9997821388256201,0.6170710431028221,0.8737216722599059,0.9940139764616539,0.9955100000986811
10,0.7790440432995073,0.9681655960028551,0.7449802964908988,0.6239862374047678,6782,0.9652718474238543,32,0.004554511813265016,212,0.03017364076288073,20,0.003808073115003808,3970,0.7559025133282559,1262,0.2402894135567403,182,0.044121212121212124,1404,0.34036363636363637,2539,0.6155151515151516,0.9995916468957292,0.6239869012548868,0.875946164336888,0.9934411014247223,0.9950839186330958
11,0.7785163207938767,0.9669356566450047,0.7438280296630058,0.6247852760736197,6770,0.9635639054938798,43,0.006120125249074865,213,0.03031596925704526,24,0.00456968773800457,3962,0.7543792840822544,1266,0.24105102817974106,183,0.04436363636363636,1396,0.3384242424242424,2546,0.6172121212121212,0.9995542465149658,0.6247238108430517,0.8759538556100714,0.9917299899903851,0.9938014618862775
12,0.7878892573792523,0.9693085523036388,0.7571321321321322,0.6372270877019859,6806,0.968687731283803,20,0.002846569883290635,200,0.02846569883290635,19,0.0036176694592536178,4034,0.7680883472962681,1199,0.2282939832444783,192,0.04654545454545454,1350,0.32727272727272727,2583,0.6261818181818182,0.9998947161158233,0.6370720625119812,0.8809306380866445,0.994954684891271,0.9962281844804931
13,0.7953392968622047,0.9709721132586834,0.7634642688121155,0.6515815085158151,6807,0.9688300597779675,13,0.0018502704241389126,206,0.02931966979789354,8,0.0015232292460015233,4033,0.7678979436405179,1211,0.23057882711348057,180,0.04363636363636364,1267,0.3071515151515152,2678,0.6492121212121212,0.9999617939975124,0.651433599632983,0.8835166760441047,0.9975257100625712,0.9981491608381026
