layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
6,25%,16,0.4342564046382904,0.5928988992734524,0.5961645130408274,0.0032656137673749974,0.8
6,25%,32,0.5254483222961426,0.641391856554898,0.6442433954870981,0.002851538932200026,2.85
6,25%,64,0.6122297048568726,0.7228966344837889,0.7302020502322432,0.007305415748454225,7.13
6,25%,128,0.699912965297699,0.7603118682844724,0.7721038707883375,0.01179200250386514,23.45
6,25%,256,0.7949575781822205,0.7673258874804986,0.79341211031951,0.026086222839011408,44.73
6,25%,512,0.8852186799049377,0.7726460010086242,0.8186514723126339,0.04600547130400967,88.66
13,50%,16,0.4481508135795593,0.7605281617068375,0.7621993968756181,0.0016712351687806493,0.98
13,50%,32,0.5361080765724182,0.772747547598473,0.7763928979136271,0.0036453503151541167,4.74
13,50%,64,0.6205079555511475,0.7861059387914269,0.7941965009892712,0.00809056219784432,11.94
13,50%,128,0.7012414336204529,0.7994145060531959,0.8139346606803347,0.014520154627138848,22.52
13,50%,256,0.7814419865608215,0.8026397152799398,0.8260096445264341,0.02336992924649428,44.67
13,50%,512,0.8601045608520508,0.8039453463206144,0.8440892065067936,0.040143860186179214,87.46
20,75%,16,0.45841139554977417,0.7881924189765778,0.7894597563967484,0.0012673374201706,0.66
20,75%,32,0.5401540398597717,0.7937051129238956,0.7952648499349598,0.001559737011064266,2.33
20,75%,64,0.6210483312606812,0.8198357389888344,0.8255602063392095,0.005724467350375018,8.57
20,75%,128,0.7014919519424438,0.8232314062750792,0.8370157177631897,0.013784311488110546,23.14
20,75%,256,0.7796956896781921,0.824627171427088,0.8491571229897016,0.024529951562613617,44.64
20,75%,512,0.853484034538269,0.8216139095774486,0.8639855781481208,0.042371668570672205,88.29
