layer,Binary C=1.0,Binary C=0.1
0,0.9113449087494414,0.9099646561032588
1,0.8728717332428889,0.8718782395056603
2,0.9065001486902966,0.9052212474491552
3,0.8917594560079671,0.8912647149627106
4,0.9586237424333698,0.9585626210112442
5,0.990979062326131,0.9909752522465766
6,0.9790714461093936,0.979114896564906
7,0.956458510068924,0.9564496223376912
8,0.9852240455817904,0.9852957211464048
9,0.9983263656443652,0.9983041925816228
10,0.998212838723721,0.99821368978507
11,0.998159909457381,0.9981420514045348
12,0.9985378005770588,0.9985303737015292
13,0.9988041518540112,0.9988059584112028
14,0.9990209088960916,0.9990473964778516
15,0.9990479292042131,0.9990857986730622
16,0.9990311145145384,0.9990728660994254
17,0.9990794954194092,0.9991253052231512
18,0.9991255631800304,0.9991812849952576
19,0.9991240045166998,0.9991788626918052
20,0.9991269458019036,0.9991843929338592
21,0.9991089150210334,0.9991650710800364
22,0.9991144326229549,0.9991653258462024
23,0.9991141767523112,0.9991613623669814
24,0.999092093213614,0.9991453182345112
25,0.9990601800083724,0.9991209975150788
26,0.9990828668372778,0.999135400639278
27,0.9990803543348216,0.9991155526859592
