layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
6,25%,16,0.39509719610214233,0.5859996847945877,0.588300607545092,0.0023009227505041974,1.4
6,25%,32,0.47780460119247437,0.6267309644201232,0.6318929339807517,0.005161969560628532,5.53
6,25%,64,0.5629807710647583,0.7213301983463047,0.7295322477326547,0.008202049386349941,12.21
6,25%,128,0.6543703675270081,0.7606086739262183,0.7720553785571914,0.011446704630973081,23.36
6,25%,256,0.7576417922973633,0.7739934305338781,0.7999081926910274,0.025914762157149274,45.74
6,25%,512,0.8611423373222351,0.7722287759298204,0.826367042889788,0.054138266959967596,91.59
13,50%,16,0.4288480877876282,0.7542112147173929,0.7556397230422175,0.0014285083248245511,0.62
13,50%,32,0.510332465171814,0.773183249622993,0.7751813934640981,0.0019981438411050823,5.87
13,50%,64,0.5911691784858704,0.7893439641122147,0.7953594252459762,0.006015461133761502,12.34
13,50%,128,0.6745392084121704,0.8063950379361836,0.8189947265872101,0.012599688651026453,23.09
13,50%,256,0.7622279524803162,0.8089035867044435,0.8354110547890178,0.02650746808457427,45.65
13,50%,512,0.850854754447937,0.8074113183995392,0.8571283773531769,0.04971705895363776,89.95
20,75%,16,0.4448698163032532,0.7912159157115374,0.7912434767906315,2.7561079094073904e-05,0.71
20,75%,32,0.5248171091079712,0.8073631349050144,0.8103686258816238,0.003005490976609404,2.39
20,75%,64,0.6013249754905701,0.8294872863676829,0.8339568110003209,0.0044695246326380556,12.14
20,75%,128,0.6804042458534241,0.8328009008160014,0.8458392210036769,0.013038320187675478,23.55
20,75%,256,0.7616807818412781,0.8331856068739986,0.8605314767274086,0.027345869853410032,45.94
20,75%,512,0.8425436019897461,0.8259686799615927,0.8758877233044652,0.04991904334287245,94.23
