layer,Binary C=1.0,Binary C=0.1
0,0.83262918463505,0.8316935230197922
1,0.8672429177120107,0.8659180846255428
2,0.8748745867624658,0.8744053054349298
3,0.8743717367790256,0.8742408181026174
4,0.9521240350625608,0.9520901845450296
5,0.9843025128779044,0.9842894445759576
6,0.9667707915164064,0.9668102194712216
7,0.9487847608077684,0.9487763487479728
8,0.9806721121876244,0.9806585290135962
9,0.9969716505681604,0.996939595393107
10,0.9969307080874952,0.9969325230348668
11,0.997238159355183,0.9972140695758492
12,0.9978135041879422,0.9978382837224966
13,0.9982921231259224,0.9983145959573176
14,0.9985246976909842,0.998567018056255
15,0.9986450658675584,0.998687980924074
16,0.9986204565324164,0.9986555180187712
17,0.998641709123411,0.9986632596867736
18,0.9987410647528976,0.9987767292783156
19,0.9987757354572656,0.9988415576513768
20,0.9987308947818844,0.9987937866477978
21,0.9987356256937884,0.9987860330941982
22,0.9986986919910664,0.9987564389975891
23,0.9987038357319026,0.99876953772778
24,0.998681568962159,0.9987433345310636
25,0.9986774342323994,0.9987454581447966
26,0.998670674749432,0.9987518140054772
27,0.9984499433217384,0.9984529479402424
