layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.8606044104946274,0.8758675462233191,0.8644923076923077,0.8791123725970843
1,0.8669622773776353,0.8709548304048254,0.8664295351404391,0.8728308728308728
2,0.8703501369195402,0.8776255271768957,0.8717004297114794,0.8741448302568736
3,0.8616327146045206,0.8524086452845034,0.8628127696289906,0.8576604554865425
4,0.8772921328091104,0.866355327498632,0.8846876173782396,0.8658109684947491
5,0.8898830139799564,0.8767924501954308,0.8950206948451023,0.8769830949284786
6,0.8819346847676416,0.8766411706894692,0.8900326387145368,0.8795430944963655
7,0.8911378007235065,0.867288860335105,0.8946177062374245,0.8702111024237685
8,0.8958710839413169,0.8797623236690271,0.8989643849456933,0.8827657915258643
9,0.916624581225186,0.8870765686975114,0.9188710289836728,0.8950161812297734
10,0.917158085074165,0.8882602687745292,0.9197358394716788,0.8955262477372641
11,0.921505549323937,0.8943350875564132,0.9216905698692728,0.8978480684469795
12,0.9274703664568736,0.9025291486154232,0.9298581832119586,0.907696307852314
13,0.9331228841981518,0.9058251110646764,0.9342374616171956,0.9122216468151216
14,0.939586650357483,0.9093536165620552,0.9416890939382287,0.9174669089021542
15,0.9497193617304304,0.921312530026386,0.9527863777089784,0.929148215681167
16,0.9475471422178394,0.9163532313382092,0.9493312757201646,0.9229768410096278
17,0.9446582121743574,0.9152819336629407,0.947584789311408,0.9226361031518624
18,0.9521818557938128,0.9223019023419868,0.954487014656724,0.9289333506560998
19,0.9611481415124676,0.9328527188257342,0.9645261522527188,0.939614783966684
20,0.9596784778735687,0.928396201665326,0.9619762027935852,0.9364357207851294
21,0.954813770193408,0.9248607310874932,0.9575757575757576,0.930486852382192
22,0.951989620573203,0.9246605913671326,0.9567574544985156,0.928218465539662
23,0.953188240327668,0.9232816403259514,0.9556270096463022,0.9293428757319452
24,0.9499254328227996,0.919668763236321,0.9531991280933452,0.9250357282057944
25,0.9459075423240276,0.918522181338076,0.9479606188466948,0.9228768370399272
26,0.9428549893602596,0.915648834769704,0.947301100025582,0.9207830934785428
27,0.9350240122326908,0.9045821100000928,0.939409368635438,0.913111342351717
