layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.5709485031883765,0.6745630423033143,0.530796736191896,0.6782560886530714
1,0.5873314290532331,0.6594281355950048,0.5528822139533635,0.651995428143426
2,0.6008567043976735,0.6780422286426511,0.5668307470085475,0.6698169835034747
3,0.6111759987040436,0.655475778547253,0.5743873039014219,0.6444893198021211
4,0.7005217603830841,0.7205526525754745,0.6510125816141531,0.719267293198956
5,0.7466815985349161,0.7599310428324046,0.7197736123095244,0.7590443482738453
6,0.7227332833561712,0.7375228290441899,0.6861431799179307,0.7377289233955932
7,0.6946618008753606,0.7184111329433236,0.6638559893463146,0.7193061227627197
8,0.7400567534371222,0.7495259656615119,0.7097398850823923,0.747396931250491
9,0.7669876055800979,0.7729568134447936,0.7560779669874931,0.7811079294768636
10,0.7709117817187382,0.7795025123355185,0.7629022306264418,0.7826047711851124
11,0.775220179933895,0.778222140490216,0.7695172739387258,0.7815195600845639
12,0.7818030261598787,0.7870806906393556,0.7790865175290885,0.7860085547296195
13,0.7892781293729118,0.7890416405173508,0.7896922681612332,0.7943559355665196
14,0.7907837199152641,0.7955683811433217,0.7932211512279984,0.7992050445985877
15,0.8071755830398643,0.8048309473560419,0.8067887631332512,0.8080773537554266
16,0.8094105590132559,0.8097684913938238,0.8108075634805817,0.8135153205172854
17,0.8147949998363354,0.8078316938602362,0.8183893616671799,0.8161367214673051
18,0.8285930987268028,0.8146299983439369,0.8279002370950895,0.8227145422591943
19,0.8318657345826921,0.8205495129631345,0.8324351372514865,0.8235833650536297
20,0.8285926848173962,0.8200501101844021,0.8310825111153982,0.821919451134025
21,0.819529877693693,0.8185787509151213,0.8228851065251935,0.8212719393190587
22,0.8191310503927619,0.8137131358667883,0.8214895421810927,0.8175516871066025
23,0.81727837268031,0.8101827604829617,0.817462453392205,0.8171296713761519
24,0.8127795674315826,0.8079413244888435,0.8135321606577463,0.8152830036692773
25,0.8092941326215656,0.8117011893192396,0.808849948276739,0.8114630980297356
26,0.8101942641974187,0.805084217900277,0.8095177249479645,0.8140807263752331
27,0.8038932645493532,0.803169760824853,0.8041919222697134,0.8047469697290799
