layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.3309759211218532,0.09548670235413834,0.7884820245443448,0.1089590364670765,28,0.057494866529774126,419,0.8603696098562629,40,0.08213552361396304,34,0.014009064688916358,2325,0.957972805933251,68,0.028018129377832716,33,0.04064039408866995,726,0.8940886699507389,53,0.06527093596059114
1,0.34999575107701375,0.11497113951546836,0.7928359492590435,0.1421801644565294,34,0.06981519507186858,415,0.8521560574948666,38,0.07802874743326489,32,0.013185002060156572,2331,0.9604449938195303,64,0.026370004120313144,35,0.04310344827586207,707,0.8706896551724138,70,0.08620689655172414
2,0.36015613855546236,0.12157359550728535,0.7937021616148509,0.1651926585442509,37,0.07597535934291581,409,0.839835728952772,41,0.08418891170431211,41,0.016893283889575606,2318,0.9550885867325917,68,0.028018129377832716,42,0.05172413793103448,687,0.8460591133004927,83,0.1022167487684729
3,0.37968387767063466,0.1737449600495362,0.7975833795963576,0.1677232933660103,55,0.11293634496919917,386,0.7926078028747433,46,0.0944558521560575,36,0.014833127317676144,2311,0.9522043675319324,80,0.03296250515039143,55,0.06773399014778325,671,0.8263546798029556,86,0.10591133004926108
4,0.3816806277694034,0.18398305505863644,0.7957739723838795,0.16528485586569433,59,0.12114989733059549,388,0.7967145790554415,40,0.08213552361396304,41,0.016893283889575606,2305,0.949732179645653,81,0.03337453646477132,55,0.06773399014778325,673,0.8288177339901478,84,0.10344827586206896
5,0.38577817950953547,0.18981305276603405,0.7962459819268526,0.17127550383571988,63,0.1293634496919918,371,0.7618069815195072,53,0.10882956878850103,47,0.019365471775854966,2284,0.9410795220436753,96,0.03955500618046971,67,0.08251231527093596,655,0.8066502463054187,90,0.11083743842364532
6,0.398228809716242,0.19733612259217534,0.8023813489303071,0.19496895762624353,66,0.13552361396303902,354,0.7268993839835729,67,0.1375770020533881,45,0.018541409147095178,2290,0.9435517099299546,92,0.037906880922950144,70,0.08620689655172414,637,0.7844827586206896,105,0.12931034482758622
7,0.4046369019565624,0.2205311441744306,0.8032419210550626,0.190137640640194,77,0.15811088295687886,339,0.6960985626283368,71,0.1457905544147844,55,0.02266172229089411,2280,0.9394313967861557,92,0.037906880922950144,78,0.0960591133004926,631,0.7770935960591133,103,0.1268472906403941
8,0.4333693573537308,0.26740225762736525,0.8125775113420541,0.22012830309177295,97,0.19917864476386038,307,0.6303901437371663,83,0.1704312114989733,52,0.021425628347754428,2282,0.9402554594149155,93,0.038318912237330034,88,0.10837438423645321,601,0.7401477832512315,123,0.15147783251231528
9,0.446306269032326,0.2893141083860033,0.8142230848908463,0.23538161382012826,106,0.21765913757700206,290,0.5954825462012321,91,0.1868583162217659,50,0.020601565718994644,2268,0.934487021013597,109,0.04491141326740832,90,0.11083743842364532,586,0.7216748768472906,136,0.16748768472906403
10,0.46247165902466253,0.31497545412983186,0.8219317329206607,0.250507790023495,119,0.24435318275154005,276,0.5667351129363449,92,0.188911704312115,48,0.019777503090234856,2282,0.9402554594149155,97,0.03996703749484961,100,0.12315270935960591,568,0.6995073891625616,144,0.17733990147783252
11,0.4658657296284141,0.3101420572106936,0.826013109814898,0.2614420218596506,116,0.23819301848049282,266,0.5462012320328542,105,0.21560574948665298,42,0.0173053152039555,2286,0.9419035846724351,99,0.0407911001236094,102,0.12561576354679804,556,0.6847290640394089,154,0.1896551724137931
12,0.49325937763594246,0.34358615298979633,0.8318099318963968,0.30438204802163427,132,0.27104722792607805,253,0.5195071868583162,102,0.20944558521560575,47,0.019365471775854966,2285,0.9414915533580552,95,0.03914297486608982,101,0.12438423645320197,529,0.6514778325123153,182,0.22413793103448276
13,0.48531564386886167,0.3425311821024154,0.8289212771582128,0.28449447234595676,135,0.27720739219712526,248,0.5092402464065708,104,0.2135523613963039,54,0.022249690976514216,2270,0.9353110836423568,103,0.042439225381128966,110,0.1354679802955665,532,0.6551724137931034,170,0.20935960591133004
14,0.4994569529605979,0.37606067937889653,0.8296783318470228,0.2926318476558745,153,0.3141683778234086,233,0.4784394250513347,101,0.20739219712525667,64,0.026370004120313144,2260,0.9311907704985579,103,0.042439225381128966,109,0.13423645320197045,528,0.6502463054187192,175,0.21551724137931033
15,0.5091071394001535,0.3914962153910976,0.8305376342857335,0.3052875685236295,158,0.324435318275154,233,0.4784394250513347,96,0.1971252566735113,52,0.021425628347754428,2257,0.9299546765554182,118,0.048619695096827356,109,0.13423645320197045,518,0.6379310344827587,185,0.22783251231527094
16,0.506093981122976,0.3875050916646069,0.8312554314784695,0.2995214202258513,157,0.32238193018480493,234,0.4804928131416838,96,0.1971252566735113,51,0.021013597033374538,2261,0.9316028018129378,115,0.04738360115368768,113,0.13916256157635468,518,0.6379310344827587,181,0.2229064039408867
17,0.5280848241910836,0.4199234700860718,0.837221824420135,0.327109178067044,173,0.35523613963039014,219,0.44969199178644764,95,0.19507186858316222,49,0.02018953440461475,2263,0.9324268644416975,115,0.04738360115368768,114,0.14039408866995073,497,0.6120689655172413,201,0.24753694581280788
18,0.5423866065043805,0.4652096004134262,0.83518880839101,0.3267614107087057,203,0.41683778234086244,192,0.3942505133470226,92,0.188911704312115,66,0.027194066749072928,2232,0.9196538936959209,129,0.05315203955500618,116,0.14285714285714285,494,0.6083743842364532,202,0.24876847290640394
19,0.5344874352813364,0.46770924187167917,0.8372942483480624,0.2984588156242676,206,0.42299794661190965,177,0.36344969199178645,104,0.2135523613963039,65,0.026782035434693038,2241,0.92336217552534,121,0.049855789039967034,122,0.15024630541871922,508,0.625615763546798,182,0.22413793103448276
20,0.5598179366148255,0.5144655413204284,0.8403523817934628,0.3246358867305851,233,0.4784394250513347,160,0.32854209445585214,94,0.19301848049281314,63,0.02595797280593325,2229,0.9184177997527813,135,0.05562422744128554,121,0.14901477832512317,489,0.6022167487684729,202,0.24876847290640394
21,0.5562749956562246,0.5016112002853577,0.8432063058347412,0.3240074808485751,223,0.45790554414784396,165,0.33880903490759756,99,0.2032854209445585,56,0.023073753605274,2245,0.9250103007828595,126,0.0519159456118665,123,0.15147783251231528,488,0.6009852216748769,201,0.24753694581280788
22,0.5619531633508398,0.5139225128958325,0.8427711518220636,0.32916582533462324,229,0.4702258726899384,166,0.3408624229979466,92,0.188911704312115,54,0.022249690976514216,2243,0.9241862381540997,130,0.053564070869386075,121,0.14901477832512317,487,0.5997536945812808,204,0.2512315270935961
23,0.5503726319817711,0.4928480054195742,0.8382328979335953,0.32003699259214347,218,0.44763860369609854,172,0.3531827515400411,97,0.19917864476386038,56,0.023073753605274,2226,0.9171817058096415,145,0.059744540585084466,125,0.1539408866995074,486,0.5985221674876847,201,0.24753694581280788
24,0.567875206798402,0.5149366172976607,0.8409154780205252,0.3477735250770199,229,0.4702258726899384,163,0.3347022587268994,95,0.19507186858316222,62,0.02554594149155336,2228,0.9180057684384013,137,0.05644829007004532,111,0.13669950738916256,481,0.5923645320197044,220,0.270935960591133
25,0.5602353223888,0.4935914466522758,0.8408544297834455,0.346260090730679,219,0.44969199178644764,171,0.351129363449692,97,0.19917864476386038,65,0.026782035434693038,2232,0.9196538936959209,130,0.053564070869386075,115,0.1416256157635468,479,0.5899014778325123,218,0.2684729064039409
26,0.5704577079812522,0.5083298105173915,0.8473244059208425,0.3557189075055228,221,0.4537987679671458,164,0.33675564681724846,102,0.20944558521560575,52,0.021425628347754428,2256,0.9295426452410384,119,0.04903172641120725,110,0.1354679802955665,478,0.5886699507389163,224,0.27586206896551724
27,0.5650093226556866,0.4961799186315844,0.8466463203844812,0.35220172895099433,219,0.44969199178644764,168,0.34496919917864477,100,0.2053388090349076,60,0.024721878862793572,2254,0.9287185826122786,113,0.0465595385249279,116,0.14285714285714285,476,0.5862068965517241,220,0.270935960591133
28,0.565782502256249,0.4996184009585676,0.8464135275326093,0.3513155782775702,221,0.4537987679671458,169,0.3470225872689938,97,0.19917864476386038,58,0.023897816234033788,2253,0.9283065512978986,116,0.047795632468067575,118,0.14532019704433496,475,0.5849753694581281,219,0.2697044334975369
29,0.5608565239299864,0.4876564850179781,0.8472008122769168,0.34771227449506437,211,0.433264887063655,170,0.3490759753593429,106,0.21765913757700206,60,0.024721878862793572,2269,0.9348990523279769,98,0.0403790688092295,107,0.13177339901477833,491,0.604679802955665,214,0.26354679802955666
30,0.5651881635518355,0.5028939234415793,0.8467686759078837,0.3459018913060435,222,0.45585215605749485,162,0.3326488706365503,103,0.21149897330595482,58,0.023897816234033788,2253,0.9283065512978986,116,0.047795632468067575,116,0.14285714285714285,480,0.5911330049261084,216,0.2660098522167488
31,0.5649667767672918,0.494020186845688,0.8476056638106135,0.3532744796455739,214,0.4394250513347023,164,0.33675564681724846,109,0.22381930184804927,54,0.022249690976514216,2257,0.9299546765554182,116,0.047795632468067575,111,0.13669950738916256,478,0.5886699507389163,223,0.2746305418719212
32,0.5530846420817025,0.4839952493028277,0.8445131499772554,0.33074552696502435,209,0.42915811088295686,171,0.351129363449692,107,0.21971252566735114,53,0.021837659662134322,2260,0.9311907704985579,114,0.04697156983930779,112,0.13793103448275862,495,0.6096059113300493,205,0.2524630541871921
33,0.5546359922976762,0.48115860289107015,0.845773047199132,0.33697632680282646,207,0.42505133470225875,172,0.3531827515400411,108,0.22176591375770022,53,0.021837659662134322,2264,0.9328388957560775,110,0.04532344458178822,112,0.13793103448275862,491,0.604679802955665,209,0.25738916256157635
34,0.568548158133671,0.5112733345094733,0.8477935843116698,0.34657755557987013,227,0.46611909650924027,149,0.3059548254620123,111,0.22792607802874743,61,0.025133910177173466,2250,0.927070457354759,116,0.047795632468067575,112,0.13793103448275862,482,0.5935960591133005,218,0.2684729064039409
35,0.5769753834030089,0.5339169527790217,0.8496428667405518,0.3473663306894531,233,0.4784394250513347,146,0.2997946611909651,108,0.22176591375770022,47,0.019365471775854966,2260,0.9311907704985579,120,0.049443757725587144,106,0.13054187192118227,487,0.5997536945812808,219,0.2697044334975369
