layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6231777795786684,0.8184141797275462,0.7244450633117581,0.32667409569670103,3041,0.8447222222222223,304,0.08444444444444445,255,0.07083333333333333,427,0.1290420066485343,2607,0.7878513145965549,275,0.08310667875491085,361,0.20133853876185165,977,0.5448968209704406,455,0.25376464026770773
1,0.643817441059658,0.8266892908561578,0.7226502772958633,0.38211275502695274,3033,0.8425,290,0.08055555555555556,277,0.07694444444444444,395,0.1193714113025083,2552,0.7712299788455727,362,0.10939860985191902,309,0.17233686558839934,910,0.5075292805354155,574,0.32013385387618515
2,0.6539714295732916,0.8402821307542888,0.7235236274336249,0.39810853053196105,3087,0.8575,267,0.07416666666666667,246,0.06833333333333333,343,0.10365669386521607,2513,0.7594439407676035,453,0.13689936536718042,317,0.17679866146123815,857,0.47796988287785835,619,0.3452314556609035
3,0.6549723707612198,0.8379583296674431,0.7228571792068912,0.40410160340932516,3061,0.8502777777777778,275,0.0763888888888889,264,0.07333333333333333,331,0.10003022061045633,2504,0.7567240858265337,474,0.14324569356300998,313,0.17456776352481873,838,0.46737311767986617,642,0.3580591187953151
4,0.654989184432166,0.8358428430427003,0.7294717331471823,0.39965297710661546,3036,0.8433333333333334,275,0.0763888888888889,289,0.08027777777777778,317,0.09579933514656996,2546,0.7694167422181928,446,0.13478392263523722,311,0.17345231455660903,850,0.47406581148912436,632,0.3524818739542666
5,0.6570110937310646,0.8330202260254749,0.7235536974318569,0.4144593577358619,3035,0.8430555555555556,283,0.07861111111111112,282,0.07833333333333334,343,0.10365669386521607,2501,0.7558174675128437,465,0.14052583862194015,308,0.17177914110429449,819,0.456776352481874,666,0.3714445064138316
6,0.6454496598659442,0.8233594786356857,0.7081258338901073,0.4048636670720394,2960,0.8222222222222222,340,0.09444444444444444,300,0.08333333333333333,328,0.0991236022967664,2453,0.7413115744938048,528,0.15956482320942883,302,0.16843279419966536,826,0.4606804238706079,665,0.37088678192972674
7,0.6475887063500796,0.8335298504278533,0.6994173551038769,0.4098189135185084,3021,0.8391666666666666,302,0.08388888888888889,277,0.07694444444444444,339,0.10244786944696282,2383,0.720157147174373,587,0.17739498337866424,288,0.16062465142219742,820,0.45733407696597883,685,0.3820412716118238
8,0.6556946978723048,0.8363596842640817,0.7095113559718588,0.42121305338097426,3030,0.8416666666666667,286,0.07944444444444444,284,0.07888888888888888,313,0.09459051072831672,2405,0.7268056814747658,591,0.1786038077969175,302,0.16843279419966536,779,0.43446737311767986,712,0.39709983268265475
9,0.6745011567668168,0.8558573931026497,0.7283922470133167,0.43925383018448383,3087,0.8575,232,0.06444444444444444,281,0.07805555555555556,260,0.07857358718646117,2477,0.7485645210033243,572,0.17286189181021458,266,0.1483547127718907,782,0.4361405465699944,745,0.4155047406581149
