layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5552979863947861,0.7903633701583921,0.7068788501026694,0.1686517389232968,2969,0.8247222222222222,528,0.14666666666666667,103,0.02861111111111111,529,0.15986702931399213,2754,0.8322756119673618,26,0.007857358718646117,415,0.23145566090351366,1201,0.6698271054099275,177,0.09871723368655884,0.9030567651701091,0.1681591826505866,0.885989632056217,0.8385385442618606,0.8511953389941104
1,0.5658321846045536,0.8063441290150607,0.7137709137709137,0.17738151102768654,3025,0.8402777777777778,470,0.13055555555555556,105,0.029166666666666667,492,0.1486854034451496,2773,0.8380175279540647,44,0.013297068600785736,386,0.21528165086447296,1218,0.67930842163971,189,0.10540992749581707,0.919542071860563,0.177022948373961,0.8852241132355962,0.8523721773281923,0.8648286659820353
2,0.5871507393802811,0.8357124318712691,0.7260146373918829,0.19972514887769124,3220,0.8944444444444445,277,0.07694444444444444,103,0.02861111111111111,512,0.15472952553641584,2728,0.8244182532487156,69,0.02085222121486854,374,0.2085889570552147,1201,0.6698271054099275,218,0.12158393753485779,0.9367819745784789,0.19938527418718147,0.8852221844681057,0.8738172148381885,0.8915190547297588
3,0.5987904209901322,0.8398799425812346,0.7317722192655668,0.2247191011235955,3218,0.8938888888888888,281,0.07805555555555556,101,0.028055555555555556,478,0.14445451798126321,2750,0.8310667875491085,81,0.024478694469628286,367,0.20468488566648077,1176,0.6558839933073062,250,0.13943112102621305,0.9437473636687269,0.22454056348799054,0.8863573204106764,0.8786447891854895,0.8944491059377484
4,0.6044546800807128,0.8449561690435693,0.7367441860465116,0.23166368515205724,3229,0.8969444444444444,265,0.07361111111111111,106,0.029444444444444443,459,0.1387126019945603,2772,0.8377153218495014,78,0.02357207615593835,355,0.19799219185722253,1179,0.6575571667596207,259,0.14445064138315672,0.9485670558762574,0.23131743019892054,0.886737402894504,0.8843392413795763,0.899248368305325
5,0.6089580070622514,0.8424234459193061,0.7352157698454982,0.24923480542195015,3205,0.8902777777777777,276,0.07666666666666666,119,0.03305555555555555,459,0.1387126019945603,2760,0.8340888485947416,90,0.027198549410698096,345,0.192414947016174,1163,0.6486335750139431,285,0.15895147796988288,0.946818035756092,0.24887335656556822,0.8864205016677309,0.8821182696552926,0.8968852644691264
6,0.6108905435823541,0.8468799160985842,0.7395694924262557,0.24622222222222223,3230,0.8972222222222223,271,0.07527777777777778,99,0.0275,445,0.13448171653067392,2783,0.8410395889996978,81,0.024478694469628286,353,0.19687674288901283,1163,0.6486335750139431,277,0.15448968209704406,0.9498776648338673,0.24593570946343726,0.8880838803587958,0.8860571847703822,0.9002321689482102
7,0.6301613894813908,0.8566883202969641,0.7406417112299465,0.29315413691726167,3231,0.8975,251,0.06972222222222223,118,0.03277777777777778,418,0.1263221517074645,2770,0.8371109096403747,121,0.03656693865216078,294,0.16397099832682654,1150,0.64138315672058,349,0.1946458449525934,0.9522997937148542,0.29274128888056994,0.8879705973304205,0.8930198193268486,0.9060841348636588
8,0.634342054028643,0.8590407865019264,0.7479718047612715,0.2960135708227311,3233,0.8980555555555556,258,0.07166666666666667,109,0.03027777777777778,390,0.11786038077969176,2812,0.8498035660320339,107,0.032336053188274407,304,0.16954824316787506,1140,0.6358059118795315,349,0.1946458449525934,0.9575733462528164,0.2960393955950117,0.8896672563556016,0.8969277058588305,0.9086972929113399
9,0.6454244636648522,0.8705380927011188,0.7542735042735043,0.31146179401993357,3268,0.9077777777777778,225,0.0625,107,0.029722222222222223,352,0.10637654880628589,2824,0.8534300392867936,133,0.04019341190692052,288,0.16062465142219742,1130,0.630228667038483,375,0.2091466815393196,0.9613815766086254,0.3112824788586499,0.8894336450473928,0.9075996448465871,0.9180772450065355
