layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.3788106719170201,0.15227272727272728,0.783696682464455,0.2004626060138782,67,0.1375770020533881,269,0.5523613963039015,151,0.31006160164271046,156,0.06427688504326329,2067,0.8516687268232386,204,0.08405438813349815,170,0.20935960591133004,512,0.6305418719211823,130,0.16009852216748768,0.670070111329645,0.19977426855920968,0.8315038711673806,0.888402104347904,0.28789324917370196
1,0.39124988689602813,0.18122977346278318,0.7886508396062536,0.20386904761904762,84,0.17248459958932238,235,0.48254620123203285,168,0.34496919917864477,157,0.06468891635764318,2043,0.8417799752781211,227,0.09353110836423568,199,0.24507389162561577,476,0.5862068965517241,137,0.1687192118226601,0.6959918772299185,0.20293797038614514,0.8248053522889623,0.8936079665189597,0.3480062070644439
2,0.4122214087093751,0.18105263157894738,0.7962456003128666,0.25936599423631124,86,0.17659137577002054,222,0.45585215605749485,179,0.3675564681724846,174,0.07169344870210136,2036,0.8388957560774619,217,0.08941079522043675,203,0.25,429,0.5283251231527094,180,0.22167487684729065,0.7257248172575779,0.2582242596631133,0.8304215822631317,0.8928660835674366,0.3812728925940285
3,0.4288357729776049,0.19787234042553192,0.8057356118640738,0.282899366643209,93,0.19096509240246407,204,0.4188911704312115,190,0.39014373716632444,158,0.06510094767202307,2051,0.8450762257931603,218,0.08982282653481664,202,0.24876847290640394,409,0.5036945812807881,201,0.24753694581280788,0.7728865217998385,0.28298841370895433,0.8309453718166775,0.9030430919672963,0.4518751952080384
4,0.43654521356824655,0.21518987341772153,0.8083267871170463,0.28611898016997167,102,0.20944558521560575,201,0.4127310061601643,184,0.37782340862423,155,0.0638648537288834,2058,0.8479604449938195,214,0.08817470127729707,204,0.2512315270935961,406,0.5,202,0.24876847290640394,0.7861845482030142,0.2859237619325955,0.8330814235023005,0.907773948961035,0.49026833310059564
5,0.4225091118626665,0.20770877944325483,0.8012581089050521,0.2585604472396925,97,0.19917864476386038,201,0.4127310061601643,189,0.38809034907597534,144,0.059332509270704575,2038,0.8397198187062217,245,0.10094767202307375,206,0.2536945812807882,421,0.5184729064039408,185,0.22783251231527094,0.7964206929883663,0.25843437479699133,0.8237560218781802,0.910857870344684,0.4984562685355468
6,0.4230453071116686,0.2068230277185501,0.8020484538113059,0.2602644398051496,97,0.19917864476386038,198,0.406570841889117,192,0.3942505133470226,145,0.059744540585084466,2036,0.8388957560774619,246,0.10135970333745364,209,0.25738916256157635,416,0.5123152709359606,187,0.23029556650246305,0.8043359772605496,0.26040315021629307,0.8232214335782727,0.9096227784336627,0.48406577697445796
7,0.4307145451099897,0.2039045553145336,0.8088784128854842,0.27936066712995133,94,0.19301848049281314,199,0.4086242299794661,194,0.39835728952772076,136,0.05603625875566543,2059,0.8483724763081995,232,0.09559126493613515,205,0.2524630541871921,406,0.5,201,0.24753694581280788,0.8120779235304167,0.27964095799506133,0.8274756770648194,0.915887494039372,0.5122831835465834
8,0.43710314447968757,0.22591362126245848,0.8094395280235989,0.27595628415300544,102,0.20944558521560575,193,0.39630390143737165,192,0.3942505133470226,111,0.04573547589616811,2058,0.8479604449938195,258,0.10630407911001236,203,0.25,407,0.5012315270935961,202,0.24876847290640394,0.8408326922496908,0.27583838910812597,0.822967755955597,0.9270752665205089,0.5793486416383371
9,0.4433131206110754,0.22346368715083798,0.8140544808527438,0.29242119382964454,100,0.2053388090349076,186,0.38193018480492813,201,0.4127310061601643,105,0.04326328800988875,2062,0.8496085702513391,260,0.10712814173877215,203,0.25,391,0.4815270935960591,218,0.2684729064039409,0.8565371688866248,0.29225789791558315,0.8229769189902537,0.9259339789738716,0.5698011780948387
10,0.45071996939636083,0.2286348501664817,0.8195694716242662,0.3039555863983345,103,0.21149897330595482,198,0.406570841889117,186,0.38193018480492813,109,0.04491141326740832,2094,0.8627935723114957,224,0.092295014421096,202,0.24876847290640394,391,0.4815270935960591,219,0.2697044334975369,0.8522977511538279,0.3031233271855502,0.8330961119971168,0.9274111303132317,0.576800754439597
11,0.44912005980521447,0.2444933920704846,0.818342151675485,0.28452463566967384,111,0.22792607802874743,183,0.3757700205338809,193,0.39630390143737165,108,0.04449938195302843,2088,0.8603213844252163,231,0.09517923362175525,202,0.24876847290640394,405,0.4987684729064039,205,0.2524630541871921,0.8608812002945955,0.28271319056250105,0.8284811664244149,0.9313694687124645,0.6024265608558637
12,0.4636597937781605,0.2577777777777778,0.8211350293542075,0.3120665742024965,116,0.23819301848049282,191,0.3921971252566735,180,0.36960985626283366,104,0.042851256695508856,2098,0.8644416975690152,225,0.09270704573547589,193,0.2376847290640394,394,0.4852216748768473,225,0.2770935960591133,0.8777825236131619,0.3118631902741758,0.8349326472831242,0.934104112716416,0.6208799064226496
13,0.4721955320680402,0.27341227125941875,0.8220858895705522,0.32108843537414966,127,0.26078028747433263,173,0.35523613963039014,187,0.3839835728952772,115,0.04738360115368768,2077,0.8557890399670375,235,0.09682735887927482,200,0.24630541871921183,376,0.4630541871921182,236,0.29064039408866993,0.8921513371024561,0.32129358206433756,0.8331367510949012,0.9320912534800051,0.6241080920657249
14,0.4755761678453628,0.28761061946902655,0.8256339689404364,0.3134839151266256,130,0.2669404517453799,171,0.351129363449692,186,0.38193018480492813,93,0.038318912237330034,2100,0.865265760197775,234,0.09641532756489493,194,0.23891625615763548,389,0.479064039408867,229,0.28201970443349755,0.892379054011095,0.3128621749033317,0.8325606153963576,0.9373812276724081,0.6448757054172066
15,0.4853123600921581,0.3078579117330463,0.8270409171773078,0.32103825136612024,143,0.2936344969199179,160,0.32854209445585214,184,0.37782340862423,102,0.042027194066749075,2092,0.8619695096827359,233,0.09600329625051504,197,0.24261083743842365,380,0.46798029556650245,235,0.2894088669950739,0.8979641580130305,0.32091186276544537,0.8339908164745771,0.9394986055208069,0.6610542751916667
16,0.478723588508242,0.2931596091205212,0.8243670886075949,0.31864406779661014,135,0.27720739219712526,164,0.33675564681724846,188,0.3860369609856263,103,0.042439225381128966,2084,0.8586732591676968,240,0.09888751545117429,196,0.2413793103448276,381,0.46921182266009853,235,0.2894088669950739,0.9010589323608267,0.3181288153087599,0.8318259480193934,0.9386061545080386,0.6593197913105614
17,0.4944226653946691,0.33297297297297296,0.8319559228650137,0.31833910034602075,154,0.3162217659137577,154,0.3162217659137577,179,0.3675564681724846,89,0.036670786979810466,2114,0.8710341985990935,224,0.092295014421096,195,0.24014778325123154,387,0.4766009852216749,230,0.2832512315270936,0.9177508239249192,0.31724241331847675,0.8360383463640296,0.9445347846700332,0.6901608980239723
18,0.5070708832471176,0.352067868504772,0.83811029847796,0.3310344827586207,166,0.3408624229979466,140,0.2874743326488706,181,0.37166324435318276,90,0.037082818294190356,2120,0.8735063864853729,217,0.08941079522043675,200,0.24630541871921183,372,0.458128078817734,240,0.2955665024630542,0.9294980388941424,0.33044681076149296,0.8383859452131851,0.9467843810941963,0.7098494804906409
19,0.5164601249527478,0.3702127659574468,0.8410033576930673,0.33816425120772947,174,0.35728952772073924,133,0.2731006160164271,180,0.36960985626283366,86,0.03543469303667079,2129,0.8772146683147919,212,0.08735063864853729,193,0.2376847290640394,374,0.4605911330049261,245,0.3017241379310345,0.9357742931426352,0.3384562505396943,0.8401794205767812,0.9490328445925987,0.7217312197107594
20,0.5237171670516579,0.3801295896328294,0.8466692944422546,0.3443526170798898,176,0.3613963039014374,127,0.26078028747433263,184,0.37782340862423,73,0.030078285949732178,2148,0.8850432632880099,206,0.08487845076225793,190,0.23399014778325122,372,0.458128078817734,250,0.3078817733990148,0.9394600047309289,0.3444412277065581,0.8413076160982478,0.9543333368478925,0.7501460906785773
21,0.5253842498324617,0.37273695420660274,0.8483533819759417,0.3550624133148405,175,0.3593429158110883,132,0.27104722792607805,180,0.36960985626283366,82,0.03378656777915121,2151,0.8862793572311496,194,0.07993407498969922,195,0.24014778325123154,361,0.4445812807881773,256,0.31527093596059114,0.9379474200820699,0.35365342887089,0.8452772381488838,0.9501940456489326,0.7304338284741895
22,0.5281608673806893,0.3889479277364506,0.8497532082922014,0.3457814661134163,183,0.3757700205338809,121,0.24845995893223818,183,0.3757700205338809,74,0.030490317264112072,2152,0.8866913885455294,201,0.08281829419035847,197,0.24261083743842365,365,0.44950738916256155,250,0.3078817733990148,0.9480540231717338,0.3450365782407589,0.8425053369337849,0.9528228070872402,0.7448040578304105
23,0.5315271520253892,0.3837084673097535,0.854727737369766,0.35614525139664804,179,0.3675564681724846,126,0.2587268993839836,182,0.3737166324435318,70,0.0288421920065925,2174,0.8957560774618871,183,0.0754017305315204,197,0.24261083743842365,360,0.4433497536945813,255,0.31403940886699505,0.9487356394385463,0.3545599869382486,0.8468876449017781,0.9531711601382196,0.7416670376358383
24,0.52767076157754,0.40298507462686567,0.8473840078973347,0.3326432022084196,189,0.38809034907597534,113,0.23203285420944558,185,0.3798767967145791,70,0.0288421920065925,2146,0.8842192006592501,211,0.0869386073341574,192,0.23645320197044334,379,0.4667487684729064,241,0.29679802955665024,0.9534420724014948,0.3322080151199568,0.8389271564975459,0.9548658586591697,0.7555118616439213
25,0.5175214790268572,0.386411889596603,0.8405394684648949,0.32561307901907355,182,0.3737166324435318,118,0.24229979466119098,187,0.3839835728952772,78,0.032138442521631644,2119,0.873094355170993,230,0.09476720230737536,195,0.24014778325123154,378,0.46551724137931033,239,0.29433497536945813,0.9504733586310665,0.32378624363857705,0.8345910797209906,0.9524662592310669,0.7410593419831004
26,0.520940040724183,0.3871657754010695,0.8448480063166206,0.33080634045485874,181,0.37166324435318276,124,0.2546201232032854,182,0.3737166324435318,70,0.0288421920065925,2140,0.8817470127729707,217,0.08941079522043675,197,0.24261083743842365,375,0.4618226600985222,240,0.2955665024630542,0.9517617298044684,0.3300783436560221,0.8382032563825218,0.9551414350389615,0.7544533844818474
27,0.5232010004962612,0.3915343915343915,0.8447352766210589,0.3333333333333333,185,0.3798767967145791,113,0.23203285420944558,189,0.38809034907597534,78,0.032138442521631644,2130,0.8776266996291718,219,0.09023485784919653,195,0.24014778325123154,373,0.45935960591133007,244,0.30049261083743845,0.952274070444785,0.33210935349207305,0.8370287445380162,0.9530481660894934,0.7451346268141104
28,0.5147416945206792,0.37044967880085655,0.8399841959699723,0.33379120879120877,173,0.35523613963039014,131,0.26899383983572894,183,0.3757700205338809,83,0.03419859909353111,2126,0.8759785743716523,218,0.08982282653481664,191,0.23522167487684728,378,0.46551724137931033,243,0.29926108374384236,0.9486326955397939,0.3328810886593257,0.8382368627740296,0.9496627498193992,0.7243960000476427
29,0.5210261659832844,0.3789020452099031,0.8469106650924833,0.33726578764746706,176,0.3613963039014374,128,0.26283367556468173,183,0.3757700205338809,72,0.029666254635352288,2152,0.8866913885455294,203,0.08364235681911825,194,0.23891625615763548,375,0.4618226600985222,243,0.29926108374384236,0.9452073873115362,0.33640146073610433,0.8411416321662507,0.9537965477419853,0.7444330965820802
30,0.5238842160320539,0.39199157007376184,0.8407009159697332,0.3389601620526671,186,0.38193018480492813,118,0.24229979466119098,183,0.3757700205338809,81,0.03337453646477132,2111,0.8697981046559539,235,0.09682735887927482,195,0.24014778325123154,366,0.45073891625615764,251,0.3091133004926108,0.9512362254491119,0.33840072943113786,0.8360547649743604,0.9506264427180569,0.7315797881096078
31,0.5235074376557992,0.3863393810032017,0.8446640316205534,0.3395189003436426,181,0.37166324435318276,125,0.25667351129363447,181,0.37166324435318276,75,0.030902348578491966,2137,0.880510918829831,215,0.08858673259167697,194,0.23891625615763548,371,0.45689655172413796,247,0.3041871921182266,0.9482470668030085,0.33767537905879574,0.8397767387962551,0.9531002789737026,0.7438297934808402
32,0.5142655209612023,0.3818770226537217,0.8390804597701149,0.3218390804597701,177,0.36344969199178645,124,0.2546201232032854,186,0.38193018480492813,67,0.027606098063452822,2117,0.8722702925422332,243,0.10012360939431397,196,0.2413793103448276,378,0.46551724137931033,238,0.29310344827586204,0.9517814009792815,0.3217240072797985,0.8320133568961774,0.9532455475384373,0.73918949130984
33,0.5163569154370661,0.38247863247863245,0.8431643322154271,0.3234277816171389,179,0.3675564681724846,126,0.2587268993839836,182,0.3737166324435318,71,0.029254223320972394,2137,0.880510918829831,219,0.09023485784919653,199,0.24507389162561577,379,0.4667487684729064,234,0.2881773399014778,0.9502050972266082,0.32317159592930905,0.8369566864674569,0.9519766037346391,0.733941696352771
34,0.5352030440495338,0.43248945147679324,0.8468110470892112,0.3263086335825969,205,0.4209445585215606,99,0.2032854209445585,183,0.3757700205338809,60,0.024721878862793572,2131,0.8780387309435517,236,0.09723939019365471,196,0.2413793103448276,376,0.4630541871921182,240,0.2955665024630542,0.9636122654365572,0.32517136217576686,0.8343494234762332,0.9613313175081167,0.7919101064845991
35,0.5355018527917697,0.4216101694915254,0.8538704581358609,0.33102493074792244,199,0.4086242299794661,95,0.19507186858316222,193,0.39630390143737165,65,0.026782035434693038,2162,0.8908117016893284,200,0.08240626287597858,193,0.2376847290640394,380,0.46798029556650245,239,0.29433497536945813,0.9648646015905158,0.33111369475117647,0.8391557026505811,0.9589085445738548,0.7784535885995607
