layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
8,25%,16,0.22463729977607727,0.36161761433392936,0.36683825854478674,0.005220644210857384,0.15
8,25%,32,0.31573233008384705,0.37824565532602183,0.3943630493667985,0.016117394040776667,0.18
8,25%,64,0.4288342297077179,0.43516117476661104,0.46802615067257075,0.032864975905959715,0.35
8,25%,128,0.5601745843887329,0.48812276892280176,0.5556233650642973,0.06750059614149556,0.99
8,25%,256,0.6989521980285645,0.5020762340004382,0.6365081276149638,0.13443189361452557,8.59
8,25%,512,0.8333737850189209,0.4862279316516198,0.775247131475954,0.2890191998243342,17.05
17,50%,16,0.2583829462528229,0.45784226655318805,0.46725007619256326,0.009407809639375209,0.12
17,50%,32,0.356515109539032,0.47986179679891,0.4994805164733822,0.019618719674472207,0.16
17,50%,64,0.4771048128604889,0.532083741193271,0.5561409463802492,0.024057205186978292,0.27
17,50%,128,0.6131507158279419,0.5655407109005748,0.6400968365292602,0.07455612562868541,1.5
17,50%,256,0.7528068423271179,0.6005785195703953,0.7286522896731591,0.12807377010276377,8.55
17,50%,512,0.8737470507621765,0.5697325092272234,0.8384835890173877,0.2687510797901643,16.98
26,75%,16,0.2511644959449768,0.5026021978539733,0.5043949738417999,0.001792775987826567,0.12
26,75%,32,0.33396822214126587,0.5366998923093531,0.5461871082210147,0.009487215911661573,0.16
26,75%,64,0.4359413981437683,0.5630907994828871,0.5952586761198768,0.03216787663698972,0.46
26,75%,128,0.5559017062187195,0.5984862462980313,0.6677257272383424,0.06923948094031118,1.28
26,75%,256,0.6898968815803528,0.6055334859605194,0.7317532727560816,0.12621978679556223,8.52
26,75%,512,0.824708878993988,0.5553282895817362,0.8295070963427568,0.2741788067610206,17.02
