layer,Binary C=1.0,Binary C=0.1
0,0.5820869629706756,0.5826066469474013
1,0.6096006159557454,0.6102485741155775
2,0.6153874393605021,0.616352691154818
3,0.6500994588237196,0.6523379446672755
4,0.6543274147491073,0.655868319189741
5,0.667351954801696,0.6681625798502686
6,0.6629326461022899,0.6636019802383787
7,0.6815651671716316,0.6825636631366367
8,0.7151922286564083,0.7160036954858824
9,0.7207326584489411,0.7214554677824674
10,0.7274867088253489,0.7285095009057531
11,0.733514523784107,0.7345194253312772
12,0.7494610968864879,0.7506789725871678
13,0.7753829397965789,0.7762222853896523
14,0.7761061953178051,0.776777906200159
15,0.7906843203061026,0.7918222817978412
16,0.798011315925607,0.799480180573437
17,0.816500586043641,0.8179160503898254
18,0.8258490681027281,0.8269707720285376
19,0.8168950498327122,0.8187706145688983
20,0.8248205715922585,0.8267199113603516
21,0.8151920115382862,0.8166530842350269
22,0.8306493139330284,0.8326628793457944
23,0.8293971698218592,0.8313234178953042
24,0.8387582634559573,0.8407494254656116
25,0.8446742649722945,0.8472384116648508
26,0.8439508485047907,0.8458170771617407
27,0.8492379377019666,0.8518028620359427
28,0.845231846220007,0.8473855966371726
29,0.8411228578787482,0.8422941436159327
30,0.845236947499914,0.8483190794688816
31,0.8411019093662431,0.8435983518559393
32,0.8344876611492529,0.8361580508538925
33,0.8329795096744569,0.8350652814036504
34,0.8455748346886522,0.8469282116180297
35,0.843086479351015,0.8444072379676284
