layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6186088379359567,0.7314743270234577,0.7110901081342502,0.41326207865016196,2542,0.727116704805492,659,0.18850114416475972,295,0.08438215102974829,621,0.11254077564334904,4067,0.737042406669083,830,0.15041681768756796,292,0.12156536219816819,1191,0.4958368026644463,919,0.3825978351373855
1,0.6259530981932574,0.7330944440067639,0.7161436605330185,0.4286211900399898,2565,0.7336956521739131,630,0.18020594965675057,301,0.08609839816933638,608,0.11018484958318231,4043,0.7326930047118522,867,0.15712214570496558,328,0.13655287260616153,1100,0.4579517069109076,974,0.4054954204829309
2,0.6853294227240139,0.8274214749553161,0.7615112094989269,0.46705558371779865,2890,0.8266590389016019,350,0.10011441647597254,256,0.07322654462242563,355,0.06433490395070678,4270,0.7738310982239942,893,0.16183399782529903,244,0.1015820149875104,1076,0.4479600333055787,1082,0.4504579517069109
3,0.6720458673481563,0.8126291544348645,0.7469065006174367,0.45660194699216766,2845,0.8137871853546911,403,0.1152745995423341,248,0.07093821510297482,416,0.07538963392533526,4186,0.7586081913736861,916,0.1660021747009786,245,0.10199833472106577,1102,0.4587843463780183,1055,0.4392173189009159
4,0.7202322939991004,0.898295350696154,0.7844104279668749,0.4779911033342722,3110,0.8895881006864989,202,0.057780320366132724,184,0.05263157894736842,166,0.03008336353751359,4433,0.8033707865168539,919,0.16654584994563248,152,0.06328059950041633,1149,0.4783513738551207,1101,0.45836802664446297
5,0.6932906844326187,0.8448769438040324,0.7626395005893672,0.4723556089044559,2960,0.8466819221967964,294,0.08409610983981694,242,0.06922196796338673,320,0.05799202609641174,4232,0.7669445451250453,966,0.17506342877854295,231,0.09616985845129059,1054,0.43880099916736054,1117,0.4650291423813489
6,0.6440213016118238,0.7462568072378406,0.7290216303993022,0.45678546719832874,2588,0.7402745995423341,615,0.17591533180778032,293,0.08381006864988558,542,0.09822399420079739,4114,0.7455599855019934,862,0.15621602029720913,310,0.12905911740216486,1038,0.4321398834304746,1054,0.43880099916736054
7,0.6296453869406945,0.7258009701437854,0.7202013521816976,0.4429338384966005,2526,0.7225400457665904,621,0.17763157894736842,349,0.09982837528604119,601,0.1089162740123233,4035,0.7312432040594419,882,0.15984052192823486,337,0.14029975020815988,1031,0.429225645295587,1034,0.43047460449625313
8,0.710936300357946,0.8664579877596633,0.7742882017259609,0.492062711588214,3019,0.863558352402746,295,0.08438215102974829,182,0.05205949656750572,253,0.04584994563247553,4340,0.7865168539325843,925,0.1676332004349402,201,0.08368026644462948,1056,0.43963363863447125,1145,0.47668609492089925
9,0.749028904770333,0.9346749069830335,0.8014874267868549,0.5109243805411106,3241,0.9270594965675057,115,0.03289473684210526,140,0.04004576659038902,90,0.016310257339615802,4506,0.8166002174700978,922,0.16708952519028633,108,0.044962531223980015,1105,0.46003330557868444,1189,0.49500416319733553
10,0.7357101913576725,0.9140542778760278,0.7939138346272315,0.4991624615697579,3181,0.9098970251716247,160,0.04576659038901602,155,0.04433638443935927,129,0.023378035520115983,4451,0.8066328379847771,938,0.16998912649510692,154,0.06411323896752706,1084,0.45129059117402165,1164,0.4845961698584513
11,0.7525076717595006,0.9323950945635747,0.8055305784247739,0.5195973422901534,3247,0.9287757437070938,116,0.03318077803203661,133,0.03804347826086957,96,0.017397607828923523,4521,0.8193185936933671,901,0.16328379847770932,126,0.05245628642797669,1070,0.4454621149042465,1206,0.5020815986677769
12,0.7452151896322613,0.9247356452607688,0.8008116850119356,0.5100982386240791,3232,0.9244851258581236,140,0.04004576659038902,124,0.03546910755148741,123,0.022290685030808263,4509,0.8171438927147517,886,0.16056542225444,139,0.0578684429641965,1094,0.45545378850957535,1169,0.4866777685262281
13,0.7632193417804665,0.9417260107275773,0.8138328048327356,0.5340992097810864,3288,0.9405034324942791,79,0.02259725400457666,129,0.036899313501144164,66,0.011960855382384922,4535,0.8218557448350852,917,0.1661833997825299,133,0.05537052456286428,1012,0.42131557035803496,1257,0.5233139050791007
14,0.7758345748933602,0.9568285585027085,0.8269561290001567,0.5437190371772154,3327,0.9516590389016019,42,0.012013729977116704,127,0.036327231121281466,19,0.003443276549474447,4643,0.8414280536426242,856,0.1551286698079014,112,0.0466278101582015,1025,0.4267277268942548,1265,0.5266444629475437
15,0.7765589331506421,0.9572080473854323,0.824400927848799,0.5480678242176948,3343,0.9562356979405034,31,0.008867276887871853,122,0.03489702517162471,30,0.005436752446538601,4589,0.8316418992388547,899,0.16292134831460675,116,0.04829308909242298,994,0.4138218151540383,1292,0.5378850957535387
16,0.7818397425142348,0.9589470488732635,0.8311578579162073,0.5554143207532337,3352,0.9588100686498856,32,0.009153318077803204,112,0.032036613272311214,25,0.004530627038782167,4653,0.843240304458137,840,0.15222906850308082,118,0.049125728559533725,993,0.41340549542048294,1291,0.5374687760199833
17,0.7854720547635337,0.9614765167525416,0.8345516292140586,0.5603880183240006,3357,0.9602402745995423,27,0.007723112128146453,112,0.032036613272311214,14,0.0025371511417180137,4676,0.8474084813338166,828,0.15005436752446538,116,0.04829308909242298,985,0.41007493755203994,1301,0.541631973355537
18,0.7867377037130777,0.9595562557068622,0.8351139337106614,0.5655429217217097,3357,0.9602402745995423,32,0.009153318077803204,107,0.03060640732265446,19,0.003443276549474447,4667,0.8457774555998551,832,0.15077926785067053,125,0.05203996669442131,960,0.3996669442131557,1317,0.548293089092423
19,0.7920678668240146,0.962091519941521,0.8400676373087599,0.574044443221763,3362,0.9616704805491991,16,0.004576659038901602,118,0.033752860411899316,14,0.0025371511417180137,4692,0.8503080826386372,812,0.1471547662196448,117,0.04870940882597835,944,0.3930058284762698,1341,0.5582847626977518
20,0.7969735698355752,0.964267386921577,0.845889241672174,0.5807640809129746,3373,0.9648169336384439,15,0.004290617848970252,108,0.030892448512585814,5,0.0009061254077564335,4742,0.8593693367162015,771,0.13972453787604205,122,0.0507910074937552,937,0.3900915903413822,1343,0.5591174021648626
21,0.80016750823465,0.9624052660034641,0.8473476209290401,0.5907496377714458,3351,0.9585240274599542,17,0.004862700228832952,128,0.036613272311212815,4,0.0007249003262051468,4732,0.8575570859006887,782,0.1417180137731062,113,0.04704412989175687,901,0.37510407993338885,1388,0.5778517901748543
22,0.801389606742152,0.9647019471261705,0.8435449016141551,0.5959219714861305,3361,0.9613844393592678,12,0.003432494279176201,123,0.03518306636155606,2,0.0003624501631025734,4660,0.844508880028996,856,0.1551286698079014,109,0.04537885095753539,858,0.3572023313905079,1435,0.5974188176519567
23,0.8023608206073511,0.9663289185656755,0.8479731248412639,0.5927804184151142,3372,0.9645308924485125,13,0.0037185354691075517,111,0.031750572082379865,4,0.0007249003262051468,4737,0.858463211308445,777,0.14081188836534977,107,0.04454621149042465,906,0.3771856786011657,1389,0.5782681099084097
24,0.7997537450152606,0.9625572757715606,0.8478964223521835,0.5888075369220381,3367,0.9631006864988558,14,0.004004576659038902,115,0.03289473684210526,7,0.0012685755708590069,4735,0.8581007611453425,776,0.14063066328379847,126,0.05245628642797669,902,0.3755203996669442,1374,0.5720233139050791
25,0.802548325665135,0.9638073717138269,0.8506352093974489,0.5932023958841292,3368,0.9633867276887872,9,0.002574370709382151,119,0.034038901601830665,8,0.0014498006524102935,4760,0.8626313881841247,750,0.13591881116346502,117,0.04870940882597835,905,0.3767693588676103,1380,0.5745212323064113
26,0.7930001258026081,0.9623843814846434,0.8441669203498847,0.5724490755732964,3364,0.9622425629290617,13,0.0037185354691075517,119,0.034038901601830665,5,0.0009061254077564335,4732,0.8575570859006887,781,0.14153678869155492,126,0.05245628642797669,948,0.3946711074104913,1328,0.5528726061615321
27,0.7977275931721266,0.9619773834551536,0.8441225942738175,0.5870828017874088,3352,0.9588100686498856,18,0.005148741418764302,126,0.036041189931350116,1,0.0001812250815512867,4692,0.8503080826386372,825,0.14951069227981154,120,0.04995836802664446,889,0.3701082431307244,1393,0.5799333888426311
28,0.7961355516570623,0.9624977893803932,0.8440790536259097,0.581829811964884,3363,0.9619565217391305,13,0.0037185354691075517,120,0.034324942791762014,6,0.0010873504893077202,4705,0.8526640086988039,807,0.14624864081188838,123,0.05120732722731058,912,0.37968359700249793,1367,0.5691090757701915
29,0.7883439822632474,0.960425934763735,0.837273861379812,0.5673321506461955,3349,0.9579519450800915,14,0.004004576659038902,133,0.03804347826086957,9,0.0016310257339615802,4661,0.8446901051105473,848,0.15367886915549112,120,0.04995836802664446,941,0.39175686927560366,1341,0.5582847626977518
30,0.7957207474224667,0.9629201763199514,0.8411576353787398,0.5830844305687087,3363,0.9619565217391305,12,0.003432494279176201,121,0.03461098398169336,4,0.0007249003262051468,4661,0.8446901051105473,853,0.15458499456324756,122,0.0507910074937552,891,0.37094088259783514,1389,0.5782681099084097
31,0.7905365720870542,0.9602173815631294,0.840693216303762,0.5706991183942713,3356,0.959954233409611,15,0.004290617848970252,125,0.03575514874141877,8,0.0014498006524102935,4691,0.850126857557086,819,0.14842334179050382,130,0.05412156536219817,936,0.3896752706078268,1336,0.556203164029975
32,0.793902757150852,0.9590188020419195,0.8407230708045065,0.5819663986061302,3345,0.9568077803203662,17,0.004862700228832952,134,0.03832951945080092,8,0.0014498006524102935,4653,0.843240304458137,857,0.1553098948894527,127,0.052872606161532054,881,0.36677768526228144,1394,0.5803497085761865
33,0.7907778273629184,0.9599729043329865,0.8384058604260746,0.5739547173296939,3346,0.9570938215102975,18,0.005148741418764302,132,0.03775743707093822,3,0.0005436752446538601,4652,0.8430590793765858,863,0.15639724537876043,126,0.05245628642797669,909,0.3784346378018318,1367,0.5691090757701915
34,0.7901468750066828,0.9599476249738291,0.8386739401364464,0.5718190599097731,3343,0.9562356979405034,13,0.0037185354691075517,140,0.04004576659038902,6,0.0010873504893077202,4661,0.8446901051105473,851,0.154222544400145,120,0.04995836802664446,923,0.384263114071607,1359,0.5657785179017485
35,0.7901452872297829,0.9584080534106327,0.840020893820688,0.5720069144580279,3341,0.9556636155606407,15,0.004290617848970252,140,0.04004576659038902,8,0.0014498006524102935,4675,0.8472272562522654,835,0.1513229430953244,127,0.052872606161532054,922,0.38384679433805163,1353,0.5632805995004163
