layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.7437503705689299,0.8055952117404118,0.6819055293974479,2951,0.8441075514874142,545,0.15589244851258582,878,0.3655287260616153,1524,0.6344712739383847,0.8175888991535988,5898
1,0.7668660394767353,0.8223405924315961,0.7113914865218744,3004,0.8592677345537757,492,0.14073226544622425,805,0.3351373855120733,1597,0.6648626144879267,0.8584159360894876,5898
2,0.8267360892768884,0.8625890181747369,0.7908831603790398,3072,0.8787185354691075,424,0.12128146453089245,554,0.23064113238967526,1848,0.7693588676103247,0.9072591194936152,5898
3,0.82390797938458,0.8607429788102504,0.7870729799589098,3072,0.8787185354691075,424,0.12128146453089245,569,0.23688592839300582,1833,0.7631140716069942,0.9123907031595335,5898
4,0.8879325317467981,0.9092696195938788,0.8665954438997174,3192,0.9130434782608695,304,0.08695652173913043,333,0.13863447127393838,2069,0.8613655287260616,0.956171324153942,5898
5,0.8363401267176911,0.8701498140079806,0.8025304394274014,3098,0.8861556064073226,398,0.11384439359267734,526,0.2189841798501249,1876,0.7810158201498751,0.9199299236102348,5898
6,0.7867355611391753,0.8327694753008371,0.7407016469775135,2986,0.8541189931350115,510,0.14588100686498856,689,0.2868442964196503,1713,0.7131557035803497,0.8757652251529933,5898
7,0.7888209822515877,0.8337646765578054,0.7438772879453699,2983,0.8532608695652174,513,0.14673913043478262,676,0.28143213988343047,1726,0.7185678601165695,0.8738070857851437,5898
8,0.8590007651615255,0.886916069367053,0.8310854609559979,3133,0.8961670480549199,363,0.10383295194508009,436,0.18151540383014156,1966,0.8184845961698585,0.9406297327464708,5898
9,0.9409844752419658,0.9519736765626687,0.9299952739212628,3329,0.9522311212814645,167,0.04776887871853547,169,0.07035803497085762,2233,0.9296419650291424,0.9871097737546771,5898
