layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6300594426271675,0.747393974011138,0.7264773994339138,0.4163069544364508,2617,0.7485697940503433,680,0.1945080091533181,199,0.05692219679633867,582,0.10547299746284886,4235,0.7674882203696992,701,0.12703878216745199,308,0.12822647793505412,1226,0.5104079933388843,868,0.3613655287260616,0.909767313919939,0.4161356973865017,0.8695486303221897,0.8768994058700217,0.8002299663887499
1,0.6257756633460974,0.7395368905508414,0.7202027263194687,0.41758737316798195,2571,0.7354118993135011,653,0.18678489702517162,272,0.07780320366132723,562,0.10184849583182312,4121,0.7468285610728524,835,0.1513229430953244,324,0.13488759367194006,1152,0.47960033305578686,926,0.3855120732722731,0.9122146660605897,0.41765532129503385,0.8595861115528052,0.8780315910588821,0.8026161431402222
2,0.6843828404637735,0.8320874065554916,0.7663110022739199,0.45475011256190906,2894,0.8278032036613272,384,0.10983981693363844,218,0.062356979405034325,325,0.058898151504168175,4381,0.793947082276187,812,0.1471547662196448,241,0.1003330557868443,1151,0.4791840133222315,1010,0.42048293089092426,0.9635048344329917,0.45494535128736063,0.8682764893177147,0.9274796677668407,0.8834026755207833
3,0.6686793772441018,0.8076977904490378,0.7442109013181333,0.454129439965134,2833,0.8103546910755148,429,0.12271167048054919,234,0.06693363844393593,429,0.07774555998550199,4178,0.7571583907212758,911,0.1650960492932222,257,0.10699417152373022,1103,0.4592006661115737,1042,0.4338051623646961,0.9570585421686971,0.4541958518488788,0.8626780916739294,0.9140243882108454,0.8634766182876245
4,0.725452102119153,0.9064603924939121,0.7929694400282635,0.47692647383528375,3164,0.9050343249427918,171,0.04891304347826087,161,0.046052631578947366,143,0.025915186661833997,4489,0.813519391083726,886,0.16056542225444,178,0.07410491257285595,1144,0.47626977518734387,1080,0.4496253122398002,0.9896424179082677,0.4767362397515861,0.8705575355558169,0.9679476573072705,0.9489353733334415
5,0.7034424150537846,0.8553405017921147,0.7794311878136831,0.47555555555555556,2983,0.8532608695652174,315,0.09010297482837529,198,0.05663615560640732,262,0.047480971366437114,4426,0.8021022109459949,830,0.15041681768756796,234,0.0974188176519567,1098,0.4571190674437968,1070,0.4454621149042465,0.9752718061506179,0.4757603685223405,0.8712317885599454,0.941579154079991,0.9061902648986099
6,0.6439756255744643,0.7523510971786834,0.7338995046001415,0.44567627494456763,2640,0.7551487414187643,583,0.16676201372997712,273,0.07808924485125858,540,0.09786154403769481,4148,0.7517216382747373,830,0.15041681768756796,342,0.14238134887593673,1055,0.4392173189009159,1005,0.4184013322231474,0.9266043956861955,0.44550106964491654,0.8635493777872515,0.8850876642280998,0.8164048959848318
7,0.6340312502634866,0.7351767388825542,0.7262767273369853,0.4406402845709204,2579,0.7377002288329519,639,0.18278032036613273,278,0.07951945080091533,581,0.10529177238129757,4110,0.7448350851757883,827,0.1498731424429141,360,0.1498751040799334,1051,0.4375520399666944,991,0.4125728559533722,0.9162343770737161,0.44026531175453537,0.862781322225932,0.8761428722118823,0.8021785814755683
8,0.7095165732101906,0.8698029060566825,0.7801518629701572,0.47859495060373214,3023,0.8647025171624714,281,0.08037757437070939,192,0.05491990846681922,229,0.04150054367524465,4418,0.8006524102935846,871,0.15784704603117072,203,0.08451290591174021,1109,0.4616985845129059,1090,0.4537885095753539,0.9796528535686354,0.4781493864427402,0.8700496850341221,0.9479489636892906,0.9165017825772563
9,0.7509467262458173,0.9360298336201951,0.8037799768208969,0.5130303682963601,3263,0.9333524027459954,108,0.030892448512585814,125,0.03575514874141877,85,0.015404131931859369,4508,0.8169626676332005,925,0.1676332004349402,128,0.05328892589508743,1083,0.45087427144046627,1191,0.4958368026644463,0.9969490275512454,0.5130253442070157,0.8756912330060993,0.9811100518756412,0.9699877961074004
10,0.7370018556560304,0.91421181204196,0.797335701598579,0.49945805332755255,3181,0.9098970251716247,160,0.04576659038901602,155,0.04433638443935927,125,0.022653135193910837,4489,0.813519391083726,904,0.16382747372236317,157,0.06536219816819318,1093,0.45503746877601997,1152,0.47960033305578686,0.9935195844991125,0.4989699874039017,0.873268091634755,0.9718381227816492,0.9551021862292564
