layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
8,25%,16,0.482747346162796,0.5513988336015498,0.551761870900031,0.0003630372984811947,0.46
8,25%,32,0.5802419185638428,0.5884133783504891,0.5907630029314157,0.0023496245809265792,1.64
8,25%,64,0.6733604669570923,0.6779921098609377,0.6842264733275485,0.0062343634666107706,7.7
8,25%,128,0.7582102417945862,0.7290590314623199,0.7421829408727422,0.013123909410422296,19.06
8,25%,256,0.837688684463501,0.7501964256895918,0.782015756681037,0.03181933099144518,37.64
8,25%,512,0.9058966636657715,0.762753138107659,0.8231155380540377,0.06036239994637871,74.42
17,50%,16,0.5082969069480896,0.7358109532686038,0.7377149484869053,0.0019039952183015352,0.41
17,50%,32,0.6019002199172974,0.7698023870350359,0.7734610832120273,0.0036586961769914383,1.39
17,50%,64,0.6913599967956543,0.7933969305777676,0.8000994331557144,0.006702502577946801,7.65
17,50%,128,0.7721781730651855,0.8011777553499689,0.8198006258953742,0.018622870545405235,19.43
17,50%,256,0.8460617661476135,0.8028046440615828,0.8351162202016241,0.03231157614004132,36.9
17,50%,512,0.9111645221710205,0.8050797974142458,0.8646696541955695,0.05958985678132367,73.02
26,75%,16,0.4988396167755127,0.7642322973969587,0.766864508987303,0.0026322115903442134,0.59
26,75%,32,0.5970461964607239,0.7799405127140601,0.7820346979356739,0.0020941852216138646,1.15
26,75%,64,0.6895760297775269,0.7997985736567493,0.8072641051864325,0.007465531529683211,4.43
26,75%,128,0.7736182808876038,0.8138076601888503,0.8281444322241915,0.014336772035341228,18.57
26,75%,256,0.8493898510932922,0.8171998425321431,0.8500540888534682,0.032854246321325165,36.95
26,75%,512,0.9144743084907532,0.8186470838242833,0.87519696550164,0.05654988167735664,73.72
