layer,Binary C=1.0,Binary C=0.1
0,0.8187452958895556,0.8175888991535988
1,0.8587451026074417,0.8584159360894876
2,0.9076771153534564,0.9072591194936152
3,0.9125479841140248,0.9123907031595336
4,0.9562278886500988,0.956171324153942
5,0.9198461784173692,0.9199299236102348
6,0.8757309802114523,0.8757652251529933
7,0.8737153965637334,0.8738070857851437
8,0.9405629720633476,0.9406297327464708
9,0.9871065967818382,0.9871097737546772
10,0.9767912820905847,0.976929979501385
11,0.9873464052200104,0.9872779430983832
12,0.9848866832562648,0.9849160178052884
13,0.9916757859354426,0.9917824576321358
14,0.996411436260578,0.9964323152876264
15,0.9961864920986164,0.9962847959571136
16,0.9962506203829165,0.9962845610974366
17,0.9964643861200728,0.996663839564108
18,0.9964678702331063,0.9967067180029628
19,0.9969962032435208,0.9971075281077428
20,0.997071408753705,0.9971963782198224
21,0.9972077776492476,0.997307205651036
22,0.997207790180054,0.997308372947536
23,0.997223196417188,0.9972832875493282
24,0.9971718973772624,0.9972659409934626
25,0.9971356556894112,0.9972242894972508
26,0.9970475480391252,0.997134429614258
27,0.9970373885593844,0.9971195346280112
28,0.996936247399123,0.9970064848499398
29,0.9968392253564464,0.9969469662612904
30,0.9967790456199254,0.9968683363178534
31,0.9966516160190516,0.9967861574120692
32,0.9965860345329766,0.9967063146094262
33,0.9966277651903188,0.996762322950574
34,0.996751068073332,0.9968487529262744
35,0.996726658596884,0.9968660133492214
