layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.552339165050551,0.6186088379359567,0.5272842591018353,0.6300594426271675
1,0.5635831277633168,0.6259530981932574,0.5469070384591421,0.6257756633460974
2,0.6243080615084671,0.6853294227240139,0.6037782983184827,0.6843828404637735
3,0.6297946733148564,0.6720458673481563,0.61572015752201,0.6686793772441018
4,0.6854593672905079,0.7202322939991004,0.6654294106044063,0.725452102119153
5,0.6456003684695494,0.6932906844326187,0.6284873128401657,0.7034424150537846
6,0.6070098329607917,0.6440213016118238,0.5812699637491381,0.6439756255744643
7,0.6020568956055096,0.6296453869406945,0.5791024875657934,0.6340312502634866
8,0.6762192692011877,0.710936300357946,0.6613905027854287,0.7095165732101906
9,0.7351419965497449,0.749028904770333,0.7256348029289295,0.7509467262458173
10,0.7272246240003214,0.7357101913576725,0.7116255080616379,0.7370018556560304
11,0.7445494824985022,0.7525076717595006,0.7406356507272202,0.7500752871312392
12,0.7381560192458463,0.7452151896322613,0.7327399187677933,0.748593066184411
13,0.757063856385662,0.7632193417804665,0.7578402831571784,0.7660046912296453
14,0.7778359584845665,0.7758345748933602,0.7757594166660238,0.7785529266880538
15,0.7759444633909586,0.7765589331506421,0.7737105429839873,0.7808133824926342
16,0.7909949441717607,0.7818397425142348,0.7903899137863544,0.7865588411636973
17,0.7932908573776839,0.7854720547635337,0.7935194501006698,0.7903828700643823
18,0.7947786713693151,0.7867377037130777,0.7947181520104336,0.7949970178063924
19,0.801766898988325,0.7920678668240146,0.8047743645369255,0.8002425632591454
20,0.8064781897837773,0.7969735698355752,0.8066314397595219,0.8001630400016987
21,0.8098995584206327,0.80016750823465,0.8106766980053098,0.8011046033881425
22,0.8100986121443928,0.801389606742152,0.8110266579157696,0.8023889866690919
23,0.814826252965911,0.8023608206073511,0.8127433117722879,0.8010412914717304
24,0.8095284114618005,0.7997537450152606,0.8062933901662871,0.8024982738697043
25,0.8006197030598449,0.802548325665135,0.799262365549084,0.8028521155358535
26,0.799764840843464,0.7930001258026081,0.7960183824077481,0.8024706599105244
27,0.7999392443110521,0.7977275931721266,0.7956982112525971,0.7993791218330554
28,0.7967608919716144,0.7961355516570623,0.7886571695337922,0.7949204587837432
29,0.7920147583690236,0.7883439822632474,0.785793747197106,0.789383619689103
30,0.7844174989408935,0.7957207474224667,0.7806192377969684,0.7939258271081234
31,0.7867281562909882,0.7905365720870542,0.7847502383475446,0.7885462206930375
32,0.7866866754662617,0.793902757150852,0.7832908734187586,0.7938161745734128
33,0.7831329582684775,0.7907778273629184,0.7880642852078478,0.7947394607744601
34,0.784341893060911,0.7901468750066828,0.7848602454738661,0.7929883925113002
35,0.7807598809746876,0.7901452872297829,0.7824566759153498,0.7901061459831936
