layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6119054843175386,0.7755276415905342,0.653882271944671,0.40630653941741046,3488,0.8051708217913204,637,0.14704524469067407,207,0.04778393351800554,697,0.17235410484668645,2928,0.7240356083086054,419,0.10361028684470822,479,0.17966991747936983,1347,0.505251312828207,840,0.3150787696924231
1,0.6491614701687773,0.8282395387774683,0.6726970644708878,0.4465478072579761,3706,0.855493998153278,446,0.10295475530932595,180,0.04155124653739612,559,0.13822947576656774,2956,0.7309594460929772,529,0.130811078140455,352,0.13203300825206302,1343,0.5037509377344336,971,0.3642160540135034
2,0.6981499836792429,0.8743411515556291,0.7136484397372531,0.5064603597448467,3842,0.8868882733148661,332,0.07663896583564174,158,0.03647276084949215,341,0.08432245301681504,3113,0.7697823936696341,590,0.14589515331355093,273,0.1024006001500375,1235,0.46324081020255065,1158,0.43435858964741186
3,0.6988980782411977,0.8709667609769897,0.716833948535881,0.5088935252107221,3835,0.8852723915050785,319,0.07363804247460758,178,0.041089566020313946,359,0.08877349159248268,3121,0.7717606330365975,564,0.1394658753709199,279,0.10465116279069768,1224,0.45911477869467365,1163,0.43623405851462865
4,0.733852393781223,0.9219974917716272,0.7493273283153538,0.5302323612566882,4024,0.9289012003693444,154,0.035549399815327794,154,0.035549399815327794,198,0.04896142433234421,3275,0.809841740850643,571,0.14119683481701287,175,0.06564141035258815,1268,0.47561890472618157,1223,0.4587396849212303
5,0.7242262252483762,0.8952267935164138,0.7369608970507858,0.5404909851779293,3930,0.907202216066482,243,0.05609418282548476,159,0.036703601108033244,289,0.07146389713155292,3191,0.7890702274975272,564,0.1394658753709199,229,0.08589647411852963,1182,0.4433608402100525,1255,0.47074268567141786
6,0.6982663441915061,0.8585591182493258,0.7035129281067847,0.5327269862184074,3784,0.8734995383194829,366,0.08448753462603878,182,0.0420129270544783,451,0.11152324431256182,3034,0.7502472799208705,559,0.13822947576656774,248,0.09302325581395349,1181,0.44298574643660915,1237,0.46399099774943736
7,0.6905365473058432,0.8584722992633802,0.6967738305413922,0.5163635121127573,3785,0.873730378578024,383,0.0884118190212373,164,0.03785780240073869,438,0.1083086053412463,3015,0.7455489614243324,591,0.14614243323442136,263,0.0986496624156039,1212,0.45461365341335336,1191,0.4467366841710428
8,0.725712280192116,0.9015986482504875,0.7332172691879087,0.542320923137952,3936,0.9085872576177285,252,0.05817174515235457,144,0.0332409972299169,257,0.0635509396636993,3173,0.7846191889218596,614,0.15182987141444115,206,0.07726931732933233,1186,0.44486121530382594,1274,0.4778694673668417
9,0.7685173524595329,0.9566681608043656,0.7733120783870859,0.5755718181871474,4163,0.9609879963065558,73,0.016851338873499537,96,0.0221606648199446,88,0.021760633036597428,3339,0.8256676557863502,617,0.15257171117705243,120,0.0450112528132033,1180,0.4426106526631658,1366,0.5123780945236309
10,0.7564480649755088,0.9431192811597233,0.760093458103256,0.5661314556635467,4112,0.9492151431209603,110,0.025392428439519853,110,0.025392428439519853,136,0.033630069238377844,3268,0.80811078140455,640,0.1582591493570722,140,0.05251312828207052,1177,0.4414853713428357,1349,0.5060015003750937
11,0.7683295035217159,0.9514056829533443,0.7730116170226836,0.5805712105891198,4131,0.953601108033241,94,0.02169898430286242,107,0.024699907663896584,92,0.02274975272007913,3331,0.8236894164193868,621,0.15356083086053413,129,0.04838709677419355,1149,0.4309827456864216,1388,0.5206301575393848
12,0.7655407801037416,0.9503386009898712,0.7673302279514718,0.578953511369882,4123,0.9517543859649122,106,0.024469067405355493,103,0.023776546629732224,108,0.026706231454005934,3311,0.8187438180019783,625,0.15454995054401582,114,0.04276069017254314,1169,0.4384846211552888,1383,0.518754688672168
13,0.7837358672301123,0.9649296214996644,0.7875416265991497,0.598736353591523,4183,0.9656048014773777,54,0.012465373961218837,95,0.021929824561403508,50,0.012363996043521267,3392,0.8387734915924827,602,0.14886251236399603,105,0.03938484621155289,1124,0.4216054013503376,1437,0.5390097524381096
14,0.7931634466158458,0.9747746047543876,0.798742774859653,0.6059729602334966,4233,0.9771468144044322,13,0.0030009233610341643,86,0.019852262234533704,8,0.0019782393669634025,3423,0.8464391691394659,613,0.15158259149357073,112,0.042010502625656414,1091,0.40922730682670666,1463,0.5487621905476369
15,0.7962655838551238,0.9761591978567242,0.7998524767792119,0.6127850769294354,4240,0.9787626962142197,13,0.0030009233610341643,79,0.018236380424746075,12,0.002967359050445104,3425,0.8469337289812068,607,0.15009891196834818,103,0.038634658664666165,1082,0.40585146286571644,1481,0.5555138784696174
16,0.797825734497336,0.9748736196789156,0.8001433689180233,0.618460214895069,4230,0.9764542936288089,16,0.003693444136657433,86,0.019852262234533704,10,0.002472799208704253,3405,0.8419881305637982,629,0.15553907022749752,106,0.03975993998499625,1046,0.39234808702175544,1514,0.5678919729932483
17,0.8040598444691027,0.9776367841483667,0.8036087094106044,0.6309340398483371,4242,0.9792243767313019,8,0.0018467220683287165,82,0.018928901200369344,8,0.0019782393669634025,3400,0.8407517309594461,636,0.1572700296735905,96,0.03600900225056264,1010,0.37884471117779445,1560,0.5851462865716429
