layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.6697879568101648,0.8484204844232501,0.6599091404075347,0.5010342455997094,3695,0.852954755309326,395,0.09118190212373038,242,0.055863342566943676,397,0.09817012858555885,2728,0.6745796241345203,919,0.22725024727992088,286,0.1072768192048012,1100,0.41260315078769694,1280,0.48012003000750186
1,0.6735769483644433,0.8541517780446946,0.662414996179142,0.504164070869493,3710,0.8564173591874423,373,0.0861034164358264,249,0.0574792243767313,384,0.09495548961424333,2739,0.6772997032640949,921,0.22774480712166173,260,0.09752438109527382,1113,0.4174793698424606,1293,0.48499624906226557
2,0.7187683054089803,0.9030939391902253,0.7103668374423601,0.542844139594356,3924,0.9058171745152355,224,0.05170821791320406,184,0.04247460757156048,240,0.05934718100890208,2954,0.7304648862512364,850,0.21018793273986153,194,0.072768192048012,1093,0.4099774943735934,1379,0.5172543135783946
3,0.7197248064135461,0.901873462640677,0.7047401633407638,0.5525607932591975,3903,0.9009695290858726,230,0.0530932594644506,199,0.04593721144967682,222,0.05489614243323442,2875,0.7109297725024728,947,0.23417408506429277,198,0.07426856714178545,1010,0.37884471117779445,1458,0.5468867216804201
4,0.7487514111107624,0.9475786306435514,0.7287238228948775,0.5699517797938585,4096,0.9455216989843028,96,0.0221606648199446,140,0.032317636195752536,101,0.024975272007912958,2972,0.734915924826904,971,0.240108803165183,116,0.04351087771942986,1045,0.3919729932483121,1505,0.5645161290322581
5,0.7304996738258133,0.92106073708435,0.7105938871092682,0.5598443972838216,3983,0.9194367497691598,180,0.04155124653739612,169,0.03901200369344414,178,0.044015825914935705,2897,0.7163699307616221,969,0.23961424332344214,156,0.058514628657164294,1031,0.386721680420105,1479,0.5547636909227307
6,0.6968488609833953,0.8732827345533165,0.6855201048764894,0.5317437435203799,3773,0.8709602954755309,333,0.07686980609418283,226,0.05216989843028624,295,0.07294757665677547,2827,0.6990603363006924,922,0.22799208704253215,241,0.09039759939984997,1043,0.39122280570142537,1382,0.5183795948987246
7,0.6972651805390827,0.8725691738664054,0.6786189101068433,0.5406074576439999,3784,0.8734995383194829,318,0.07340720221606649,230,0.0530932594644506,334,0.08259149357072205,2764,0.6834817012858556,946,0.23392680514342234,222,0.08327081770442611,1020,0.3825956489122281,1424,0.5341335333833458
8,0.728209770448462,0.9196832150822806,0.7129899367192256,0.55195615954388,3986,0.920129270544783,196,0.04524469067405355,150,0.03462603878116344,179,0.04426310583580613,2942,0.7274975272007913,923,0.22823936696340258,171,0.0641410352588147,1070,0.4013503375843961,1425,0.5345086271567892
9,0.7615997931930094,0.9619064446408812,0.7435317790510819,0.5793611558870648,4168,0.9621421975992613,65,0.015004616805170823,99,0.022853185595567867,61,0.015084075173095944,3056,0.7556874381800198,927,0.22922848664688428,105,0.03938484621155289,1055,0.39572393098274566,1506,0.5648912228057015
10,0.7491290710081406,0.9505457294483272,0.7267442789868636,0.5700972045892314,4113,0.9494459833795014,100,0.023084025854108958,119,0.02746999076638966,92,0.02274975272007913,2961,0.7321958456973294,991,0.24505440158259148,117,0.04388597149287322,1043,0.39122280570142537,1506,0.5648912228057015
11,0.7637135839964632,0.9572305621728731,0.7417700162929688,0.5921401735235478,4140,0.9556786703601108,74,0.017082179132040628,118,0.02723915050784857,72,0.017804154302670624,3007,0.743570722057369,965,0.23862512363996044,106,0.03975993998499625,983,0.3687171792948237,1577,0.59152288072018
12,0.7647517161409659,0.956984420358587,0.7361182883715516,0.6011524396927592,4137,0.9549861495844876,80,0.018467220683287166,115,0.0265466297322253,79,0.0195351137487636,2949,0.7292284866468842,1016,0.2512363996043521,98,0.03675918979744936,937,0.3514628657164291,1631,0.6117779444861215
13,0.7678596590884023,0.9650232353127605,0.7512861293867921,0.5872696125656541,4180,0.9649122807017544,42,0.009695290858725761,110,0.025392428439519853,50,0.012363996043521267,3078,0.7611275964391692,916,0.2265084075173096,101,0.03788447111777944,1030,0.38634658664666166,1535,0.5757689422355589
