layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.822251596047905,0.8688893155503854,0.7756138765454246,3837,0.8857340720221607,495,0.11426592797783934,663,0.24868717179294825,2003,0.7513128282070518,0.9072126976028235,6998
1,0.8706089956946423,0.9028916370433849,0.8383263543458999,3947,0.9111265004616805,385,0.08887349953831948,464,0.17404351087771944,2202,0.8259564891222806,0.9440547111571176,6998
2,0.9035230831811578,0.9270382134470487,0.8800079529152669,4034,0.9312096029547553,298,0.06879039704524469,337,0.1264066016504126,2329,0.8735933983495874,0.9644766524974502,6998
3,0.8991117687612993,0.9242836320206667,0.8739399055019319,4040,0.9325946445060018,292,0.06740535549399815,370,0.13878469617404351,2296,0.8612153038259565,0.9632352588098148,6998
4,0.9352169398208598,0.9505333256086171,0.9199005540331024,4112,0.9492151431209603,220,0.050784856879039705,208,0.07801950487621906,2458,0.921980495123781,0.9831522738338375,6998
5,0.9143072444338634,0.9349074850228346,0.8937070038448922,4058,0.9367497691597415,274,0.06325023084025855,291,0.109152288072018,2375,0.890847711927982,0.9723360145738227,6998
6,0.8961197511120875,0.9210583359297185,0.8711811662944564,3996,0.9224376731301939,336,0.07756232686980609,349,0.13090772693173294,2317,0.8690922730682671,0.9651758034698001,6998
7,0.8943625368820858,0.9198918761536113,0.8688331976105603,3996,0.9224376731301939,336,0.07756232686980609,360,0.1350337584396099,2306,0.8649662415603901,0.9625291733165706,6998
8,0.9219261022390238,0.9406145583726614,0.9032376461053863,4080,0.9418282548476454,252,0.05817174515235457,263,0.0986496624156039,2403,0.9013503375843961,0.9799314315235021,6998
9,0.958350351194628,0.9682493679386616,0.9484513344505944,4194,0.9681440443213296,138,0.03185595567867036,137,0.05138784696174044,2529,0.9486121530382595,0.993842815066432,6998
10,0.950486277640112,0.962230416505163,0.9387421387750609,4165,0.961449676823638,167,0.03855032317636196,160,0.06001500375093773,2506,0.9399849962490623,0.9910763291693929,6998
11,0.9550478041724608,0.96567338255904,0.9444222257858815,4177,0.9642197599261311,155,0.03578024007386888,142,0.05326331582895724,2524,0.9467366841710427,0.9923331158028883,6998
12,0.9538661139836584,0.9647125010865892,0.9430197268807274,4169,0.9623730378578024,163,0.0376269621421976,142,0.05326331582895724,2524,0.9467366841710427,0.9922830964372968,6998
13,0.9632266194915398,0.971905493415302,0.9545477455677777,4203,0.9702216066481995,129,0.029778393351800554,114,0.04276069017254314,2552,0.9572393098274569,0.9963311991577986,6998
14,0.9671443625518374,0.974931832636695,0.9593568924669797,4220,0.974145891043398,112,0.02585410895660203,105,0.03938484621155289,2561,0.9606151537884471,0.9979148187734692,6998
