layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5846394997869998,0.7714976907851331,0.6489966734628179,0.3334241351130482,3508,0.8097876269621422,729,0.1682825484764543,95,0.021929824561403508,722,0.1785361028684471,3024,0.7477744807121661,298,0.07368941641938674,532,0.19954988747186797,1522,0.5708927231807952,612,0.22955738934733683,0.8988496305112751,0.33286084012240513,0.8671159973284016,0.8111591782550656,0.8215020975683729
1,0.6266897237004708,0.8226056182260562,0.6682119205298013,0.389251632345555,3719,0.8584949215143121,524,0.12096029547553093,89,0.020544783010156973,565,0.13971315529179032,3027,0.7485163204747775,452,0.11177052423343224,426,0.15978994748687173,1465,0.5495123780945236,775,0.29069767441860467,0.940996336563267,0.38833082078416276,0.8656580567262321,0.8587512074655669,0.8688596919610692
2,0.6798031066513603,0.8706439607533552,0.7061452513966481,0.4626201078040778,3860,0.8910433979686058,377,0.08702677746999077,95,0.021929824561403508,365,0.09025717111770525,3160,0.781404549950544,519,0.12833827893175073,310,0.11627906976744186,1369,0.513503375843961,987,0.37021755438859716,0.9682943091992001,0.46256304446541935,0.8713001721495205,0.9025805887120161,0.9085665604373174
3,0.6815722157173694,0.8678354686446392,0.7073362543534434,0.46954492415402566,3861,0.8912742382271468,373,0.0861034164358264,98,0.022622345337026777,381,0.09421364985163205,3148,0.7784371909000989,515,0.12734915924826903,324,0.12153038259564891,1336,0.5011252813203301,1006,0.377344336084021,0.9647098112985597,0.4695176073997935,0.8722903348448648,0.9017654816544349,0.908175378935222
4,0.7187443730549914,0.918795097926927,0.738783312717868,0.49865470852017935,4011,0.9259002770083102,194,0.04478301015697138,127,0.029316712834718376,204,0.050445103857566766,3285,0.8123145400593472,555,0.13724035608308605,184,0.0690172543135784,1370,0.5138784696174044,1112,0.41710427606901723,0.9859876534991614,0.49867976828785476,0.8731000335102241,0.9475845995165428,0.9510520064269473
5,0.7051404349209615,0.8907486993892785,0.7278865631330182,0.4967860422405877,3938,0.9090489381348107,284,0.06555863342566944,110,0.025392428439519853,312,0.0771513353115727,3234,0.7997032640949555,498,0.12314540059347182,260,0.09752438109527382,1324,0.4966241560390098,1082,0.40585146286571644,0.9746520907978523,0.4968722969466265,0.8763383437229105,0.9200986033560999,0.925454648918738
6,0.6839466654377447,0.8562443845462714,0.6951385733757383,0.5004570383912249,3812,0.8799630655586335,407,0.09395198522622346,113,0.02608494921514312,482,0.11918892185954501,3060,0.7566765578635015,502,0.12413452027695351,278,0.10427606901725431,1293,0.48499624906226557,1095,0.41072768192048015,0.9574251153879392,0.5002225890569306,0.8765554160863742,0.8841862657435128,0.8931142202979825
7,0.6775094162824695,0.8544104410441045,0.6931856706972539,0.48493213710605015,3797,0.8765004616805171,436,0.10064635272391505,99,0.022853185595567867,449,0.11102868447082097,3067,0.7584075173095944,528,0.13056379821958458,310,0.11627906976744186,1302,0.4883720930232558,1054,0.3953488372093023,0.9541083888815294,0.4847101320515238,0.8737681837639475,0.8833788200332521,0.8909240805442588
8,0.715698323818201,0.8984552476147206,0.7285324852339845,0.5201072386058981,3955,0.9129732225300092,288,0.0664819944598338,89,0.020544783010156973,280,0.06923837784371908,3207,0.793026706231454,557,0.1377349159248269,237,0.08889722430607652,1265,0.47449362340585144,1164,0.436609152288072,0.979941707854951,0.5197137428069025,0.8780194533082708,0.9259770038738975,0.9306022139360396
9,0.7551753627164484,0.9550022841480128,0.7687207042414542,0.5418030997598777,4181,0.9651431209602955,82,0.018928901200369344,69,0.01592797783933518,77,0.01904055390702275,3362,0.83135509396637,605,0.14960435212660733,166,0.0622655663915979,1259,0.4722430607651913,1241,0.4654913728432108,0.997323072171028,0.5416696465897687,0.880075862462739,0.9793659626649106,0.9807126046521548
10,0.7487637753786588,0.9435815440840567,0.7568991182869576,0.5458106637649619,4131,0.953601108033241,122,0.02816251154201293,79,0.018236380424746075,143,0.03536102868447082,3305,0.8172601384767557,596,0.14737883283877348,150,0.056264066016504126,1262,0.47336834208552137,1254,0.4703675918979745,0.9939060078889579,0.5458675320449233,0.8806565458990541,0.9654456567623975,0.9678481880603457
11,0.7563041158170565,0.9497821600550332,0.7679286286171795,0.5512015587789565,4142,0.956140350877193,101,0.023314866112650046,89,0.020544783010156973,96,0.02373887240356083,3357,0.8301186943620178,591,0.14614243323442136,152,0.05701425356339085,1241,0.4654913728432108,1273,0.47749437359339836,0.9966805283912432,0.5512233195272136,0.8812975241281265,0.9743179763825862,0.9759621296612311
12,0.7598302601071899,0.9483016695451929,0.7709115739160123,0.5602775368603643,4118,0.9506001846722069,121,0.027931671283471838,93,0.02146814404432133,96,0.02373887240356083,3387,0.8375370919881305,561,0.1387240356083086,139,0.052138034508627154,1235,0.46324081020255065,1292,0.4846211552888222,0.9963839437562922,0.5602721442443842,0.8839271495916652,0.9715303918774033,0.9732560425776697
13,0.7715995295631372,0.964129684985054,0.7804597701149425,0.5702091335894153,4193,0.9679132040627886,61,0.014081255771006464,78,0.018005540166204988,43,0.01063303659742829,3395,0.8395153313550939,606,0.14985163204747776,130,0.04876219054763691,1200,0.450112528132033,1336,0.5011252813203301,0.9992234452311527,0.5701550431657966,0.884238756723194,0.986424470336799,0.9872817759657503
14,0.7895495410370397,0.9746006206183198,0.798518689966439,0.5955293125263602,4240,0.9787626962142197,17,0.0039242843951985225,75,0.01731301939058172,5,0.0012363996043521265,3450,0.8531157270029673,589,0.1456478733926805,124,0.046511627906976744,1130,0.42385596399099773,1412,0.5296324081020255,0.9999683165495853,0.5954408399702197,0.8894057154936619,0.9971591765486503,0.9973426939386524
15,0.7928411315856868,0.9747068291561278,0.7997673065735893,0.604049259027343,4239,0.9785318559556787,12,0.002770083102493075,81,0.018698060941828253,10,0.002472799208704253,3437,0.8499010880316519,597,0.1476261127596439,117,0.04388597149287322,1102,0.41335333833458365,1447,0.5427606901725431,0.9999412055484294,0.6040473976934416,0.8902995845579385,0.9969075001028911,0.9971154573686137
16,0.7993292132118633,0.9747010119595216,0.80319211360169,0.6200945140743784,4238,0.9783010156971376,14,0.003231763619575254,80,0.018467220683287166,10,0.002472799208704253,3422,0.8461918892185954,612,0.1513353115727003,116,0.04351087771942986,1041,0.39047261815453865,1509,0.5660165041260315,0.9999606247525656,0.6201603485305662,0.8925984725440103,0.996785228863005,0.9969990163395668
17,0.8043957790740199,0.9760809567617296,0.8072203869749882,0.629885993485342,4244,0.9796860572483841,6,0.0013850415512465374,82,0.018928901200369344,6,0.001483679525222552,3421,0.845944609297725,617,0.15257171117705243,114,0.04276069017254314,1005,0.37696924231057766,1547,0.5802700675168793,0.9999848712515444,0.6298553357593336,0.894131265402572,0.9982685437663706,0.9983844317973123
18,0.803858127524726,0.9754248966467616,0.8072289156626506,0.6289205702647658,4247,0.9803785780240074,8,0.0018467220683287165,77,0.017774699907663897,4,0.0009891196834817012,3417,0.8449554896142433,623,0.15405539070227497,125,0.04688672168042011,997,0.37396849212303074,1544,0.5791447861965492,0.9999860141747767,0.6288990066968428,0.8939111421470141,0.998517448114236,0.9986137828029229
