layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6749021121602793,0.8528424221373162,0.6594097726173198,0.512454141726202,3683,0.8501846722068329,419,0.09672206832871653,230,0.0530932594644506,362,0.08951533135509397,2726,0.6740850642927795,956,0.23639960435212662,260,0.09752438109527382,1079,0.40472618154538637,1327,0.49774943735933985,0.9525566379640364,0.511975011596232,0.8506316410356076,0.8884831206027279,0.8943106715724062
1,0.6767964193584076,0.8553357865685373,0.666182346531057,0.5088711249756288,3719,0.8584949215143121,372,0.08587257617728532,241,0.05563250230840259,376,0.09297725024727992,2751,0.68026706231454,917,0.22675568743818003,269,0.10090022505626407,1092,0.40960240060015,1305,0.4894973743435859,0.9621929148981359,0.5087981566497073,0.851425225199586,0.8927968907869932,0.8996891042634259
2,0.7210821304114678,0.9069366156677787,0.7118479970954859,0.5444617784711389,3942,0.909972299168975,213,0.04916897506925208,177,0.04085872576177285,214,0.05291790306627102,2941,0.7272502472799208,889,0.21983184965380811,205,0.07689422355588897,1065,0.3994748687171793,1396,0.5236309077269318,0.9840083101982273,0.5442379655402749,0.8622315180572867,0.9385842652096997,0.9426004105011934
3,0.7255252959134894,0.908566151004387,0.7135200974421437,0.554489639293937,3935,0.9083564173591875,210,0.04847645429362881,187,0.043167128347183746,201,0.04970326409495549,2929,0.7242828882294757,914,0.22601384767556876,194,0.072768192048012,1027,0.3852213053263316,1445,0.5420105026256564,0.983828676678445,0.5544955506736786,0.8623665567398447,0.9405567177040126,0.9442287934176472
4,0.7465897733355437,0.947769817425468,0.7355182005079212,0.5564813020732416,4101,0.9466759002770083,91,0.02100646352723915,140,0.032317636195752536,84,0.020771513353115726,3041,0.7519782393669634,919,0.22725024727992088,137,0.05138784696174044,1093,0.4099774943735934,1436,0.5386346586646662,0.9955986491576245,0.5565728133046367,0.8647283199332492,0.9744532870237419,0.9760654830722792
5,0.7353110619710651,0.9253971908818789,0.7213712618526623,0.5591647331786543,4019,0.9277469990766389,155,0.03578024007386888,158,0.03647276084949215,175,0.04327398615232443,2967,0.733679525222552,902,0.22304648862512363,160,0.06001500375093773,1060,0.3975993998499625,1446,0.5423855963990998,0.9896743452726788,0.5585360337089406,0.8651787882829511,0.9516846946865257,0.9550662371435907
6,0.7018000060040644,0.8794833352554492,0.6920381780838468,0.5338785046728972,3813,0.8801939058171745,302,0.06971375807940905,217,0.050092336103416436,298,0.07368941641938674,2864,0.7082096933728981,882,0.21810089020771514,228,0.08552138034508627,1067,0.400225056264066,1371,0.5142535633908477,0.9734157645303098,0.5337296465454897,0.8587416722753767,0.9136157886133024,0.9190341803575182
7,0.7042496389850209,0.8763372828712758,0.6861349693251534,0.5502766647586338,3809,0.8792705447830101,322,0.07433056325023084,201,0.046398891966759004,316,0.0781404549950544,2796,0.6913946587537092,932,0.2304648862512364,236,0.08852213053263316,988,0.3705926481620405,1442,0.5408852213053263,0.9709088366089862,0.5502733462079792,0.8600333591793587,0.909178863947772,0.9146314726111611
8,0.7355028545956023,0.9222797927461139,0.7202540923527975,0.5639746786878956,4005,0.9245152354570637,170,0.039242843951985226,157,0.03624192059095106,176,0.043521266073194856,2948,0.7289812067260139,920,0.2274975272007913,172,0.06451612903225806,1024,0.3840960240060015,1470,0.5513878469617405,0.9897058011510158,0.5639696416188882,0.8652559819724814,0.9520161800326434,0.9552211235505101
9,0.7611492084931283,0.9608228360106321,0.747140423460696,0.5754843660080567,4157,0.9596029547553093,51,0.011772853185595568,124,0.028624192059095107,51,0.012611275964391691,3070,0.7591493570722058,923,0.22823936696340258,113,0.04238559639909977,1053,0.39497374343585895,1500,0.5626406601650412,0.9989215757724837,0.5753627843418455,0.8688330258873711,0.9855348143445651,0.9864948126532334
10,0.7511583245596842,0.9510166358595195,0.7329524735626596,0.5695058642568737,4116,0.9501385041551247,96,0.0221606648199446,120,0.027700831024930747,95,0.023491592482690407,3015,0.7455489614243324,934,0.23095944609297725,113,0.04238559639909977,1072,0.4021005251312828,1481,0.5555138784696174,0.9970896401380873,0.5695547190969964,0.8673778056541561,0.9740331665503529,0.9757618128939771
11,0.7671357366285894,0.9585593905113702,0.7524632039897823,0.5903846153846154,4152,0.9584487534626038,66,0.015235457063711912,114,0.02631578947368421,66,0.016320474777448073,3093,0.7648367952522255,885,0.21884272997032642,113,0.04238559639909977,1018,0.3818454613653413,1535,0.5757689422355589,0.998175112812205,0.5904059755054043,0.8738412617159362,0.9823175607348189,0.9834969130572319
12,0.7603201964592659,0.9568545581071677,0.7441860465116279,0.5799199847590017,4125,0.9522160664819944,78,0.018005540166204988,129,0.029778393351800554,56,0.013847675568743818,3056,0.7556874381800198,932,0.2304648862512364,109,0.04088522130532633,1035,0.38822205551387845,1522,0.5708927231807952,0.998127109110596,0.5797998327193455,0.8690155402766703,0.9811313346946401,0.9822983599782859
13,0.7730793582970558,0.967144840351689,0.7576424553680606,0.5944507791714178,4180,0.9649122807017544,35,0.008079409048938134,117,0.027008310249307478,31,0.007665677546983185,3098,0.7660731948565777,915,0.22626112759643918,101,0.03788447111777944,1001,0.3754688672168042,1564,0.5866466616654163,0.9995601767808143,0.5942855912988401,0.8731412594923336,0.9907401266177963,0.9913317502227719
14,0.7764507380802604,0.9753000923361034,0.7637115408001945,0.5903405811044834,4225,0.9753000923361034,11,0.0025392428439519853,96,0.0221606648199446,3,0.000741839762611276,3140,0.7764589515331355,901,0.2227992087042532,104,0.03900975243810953,1028,0.38559639909977494,1534,0.5753938484621155,0.9999743075602041,0.5903321787970393,0.8739142251504013,0.9979014593791786,0.9980346118204106
15,0.7857691897128424,0.976162925248785,0.7706983001100648,0.6104463437796771,4218,0.9736842105263158,11,0.0025392428439519853,103,0.023776546629732224,4,0.0009891196834817012,3151,0.7791790306627102,889,0.21983184965380811,88,0.033008252063015754,971,0.3642160540135034,1607,0.6027756939234808,0.9999566309435342,0.6103769132482492,0.8780563616437149,0.9974079262124667,0.9975721736651346
16,0.7929983825979608,0.9745958429561201,0.7827569410618607,0.6216423637759018,4220,0.974145891043398,9,0.002077562326869806,103,0.023776546629732224,7,0.0017309594460929772,3214,0.794757665677547,823,0.20351137487636003,101,0.03788447111777944,945,0.354463615903976,1620,0.6076519129782446,0.9999551931634153,0.6214478974647982,0.8831271448760252,0.9976525610838923,0.9978052657353619
17,0.7913458098648828,0.9742642815926139,0.7829363150218765,0.616836832980158,4221,0.974376731301939,6,0.0013850415512465374,105,0.024238227146814405,4,0.0009891196834817012,3221,0.7964886251236399,819,0.20252225519287834,108,0.04051012753188297,957,0.3589647411852963,1601,0.6005251312828207,0.9999723107400417,0.6164953521202646,0.8822787161021383,0.9983936077902275,0.9984985079442833
18,0.7937517971100125,0.9768892997457823,0.7829993928354584,0.6213666987487969,4227,0.9757617728531855,8,0.0018467220683287165,97,0.02239150507848569,2,0.0004945598417408506,3224,0.7972304648862513,818,0.2022749752720079,93,0.03488372093023256,959,0.359714928732183,1614,0.6054013503375844,0.999981445045055,0.6211831861813487,0.8835293508910972,0.9985179040467095,0.9986135138042386
19,0.7925218819042125,0.9745068635367401,0.7809547183703522,0.6221040638055451,4224,0.9750692520775623,4,0.0009233610341643582,104,0.024007386888273315,4,0.0009891196834817012,3182,0.7868447082096933,858,0.21216617210682492,109,0.04088522130532633,919,0.3447111777944486,1638,0.614403600900225,0.999964317570128,0.6218206437999213,0.8816956380808376,0.9986397580565942,0.9987305221035484
20,0.7983813716900565,0.975406996882577,0.7843282659745396,0.6354088522130532,4224,0.9750692520775623,5,0.0011542012927054479,103,0.023776546629732224,2,0.0004945598417408506,3173,0.7846191889218596,869,0.2148862512363996,103,0.038634658664666165,869,0.3259564891222806,1694,0.6354088522130532,0.9999714557355126,0.6353635813494872,0.8839456015896561,0.9990114292036187,0.9990762111626201
21,0.8007392593932132,0.9733656174334141,0.7924019607843137,0.636450199961912,4221,0.974376731301939,6,0.0013850415512465374,105,0.024238227146814405,2,0.0004945598417408506,3233,0.799455984174085,809,0.2000494559841741,118,0.04426106526631658,877,0.32895723930982745,1671,0.626781695423856,0.9999828766164249,0.636467862548909,0.8865790818371023,0.9987646681340022,0.998844863716825
