layer,explained_var
0,0.9388301968574524
1,0.8819229602813721
2,0.8623970150947571
3,0.8459160923957825
4,0.8433869481086731
5,0.8389548063278198
6,0.7743586301803589
7,0.7502487301826477
8,0.7173545956611633
9,0.7132184505462646
10,0.7217734456062317
11,0.7223233580589294
12,0.7120872735977173
13,0.7276650071144104
14,0.7388020157814026
15,0.7325806617736816
16,0.7309359312057495
17,0.7367211580276489
18,0.7412334084510803
19,0.744486927986145
20,0.7384437322616577
21,0.7314345240592957
22,0.7419533729553223
23,0.7402154207229614
24,0.7338788509368896
25,0.7400370836257935
26,0.7342289090156555
27,0.7326012253761292
28,0.7229255437850952
29,0.7111217379570007
30,0.7018570899963379
31,0.6921742558479309
32,0.6881096959114075
33,0.673796534538269
34,0.6768126487731934
35,0.7424341440200806
