layer,Binary C=1.0,Binary C=0.1
0,0.9072126976028236,0.9065882516149808
1,0.9440547111571176,0.9440625500363864
2,0.9644766524974502,0.9645142082866464
3,0.9632352588098148,0.9632469582231352
4,0.9831522738338376,0.9832578914608452
5,0.9723360145738228,0.9722168261804736
6,0.9651758034698,0.9653360877135247
7,0.9625291733165706,0.9626895830841252
8,0.979931431523502,0.9799776689178116
9,0.993842815066432,0.993968781934684
10,0.9910763291693928,0.9911945296650052
11,0.9923331158028884,0.992416268068726
12,0.9922830964372968,0.9922783133778528
13,0.9963311991577986,0.9962394809431268
14,0.9979148187734692,0.9979096754115708
15,0.9980461184341906,0.9980353417807024
16,0.9979859513103432,0.998062666277896
17,0.9982271392608636,0.9982774074672868
18,0.9981452953656348,0.9981379857107786
19,0.9981280034392984,0.9981072721670546
20,0.9981050738694864,0.9980713453982228
21,0.997969132807416,0.9979912184904126
22,0.9980518380643876,0.9980873362623108
23,0.9980509626418422,0.998108971258396
24,0.9979955161068196,0.9980790718317808
25,0.9979868324661472,0.998049198522096
26,0.9979660873240224,0.998033219015026
27,0.9979535128924604,0.9980150087565498
28,0.9978730047454136,0.997989008448368
29,0.9978274961544044,0.9979738239494162
30,0.9977690580628727,0.9979296785599696
31,0.9977902855146772,0.9979716781243604
32,0.9976924069080044,0.997891545505753
33,0.9978958577248428,0.998010594854946
34,0.9979205049980292,0.9979962926938264
35,0.9978231301095064,0.9979062856518928
