comparison,layer,f1_macro,f1_class_a,f1_class_b
truth_vs_deception,10,0.9346,0.9317,0.9376
truth_vs_deception,11,0.9358,0.9329,0.9388
truth_vs_deception,12,0.9381,0.9352,0.9410
truth_vs_deception,13,0.9400,0.9373,0.9428
truth_vs_deception,14,0.9400,0.9372,0.9428
truth_vs_deception,15,0.9429,0.9403,0.9455
truth_vs_deception,16,0.9419,0.9393,0.9446
truth_vs_deception,17,0.9417,0.9390,0.9443
truth_vs_deception,18,0.9445,0.9421,0.9469
truth_vs_deception,19,0.9464,0.9443,0.9486
truth_vs_deception,20,0.9442,0.9418,0.9467
truth_vs_deception,21,0.9423,0.9398,0.9449
truth_vs_deception,22,0.9417,0.9391,0.9442
truth_vs_deception,23,0.9417,0.9391,0.9442
truth_vs_deception,24,0.9410,0.9384,0.9436
truth_vs_deception,25,0.9398,0.9371,0.9424
truth_vs_deception,26,0.9419,0.9394,0.9445
truth_vs_honest_mistake,10,0.7215,0.6943,0.7487
truth_vs_honest_mistake,11,0.7287,0.7021,0.7552
truth_vs_honest_mistake,12,0.7395,0.7142,0.7648
truth_vs_honest_mistake,13,0.7402,0.7158,0.7647
truth_vs_honest_mistake,14,0.7492,0.7267,0.7717
truth_vs_honest_mistake,15,0.7599,0.7385,0.7812
truth_vs_honest_mistake,16,0.7596,0.7377,0.7816
truth_vs_honest_mistake,17,0.7728,0.7515,0.7942
truth_vs_honest_mistake,18,0.7705,0.7501,0.7908
truth_vs_honest_mistake,19,0.7701,0.7496,0.7906
truth_vs_honest_mistake,20,0.7669,0.7455,0.7884
truth_vs_honest_mistake,21,0.7611,0.7391,0.7832
truth_vs_honest_mistake,22,0.7645,0.7435,0.7855
truth_vs_honest_mistake,23,0.7644,0.7441,0.7846
truth_vs_honest_mistake,24,0.7653,0.7441,0.7865
truth_vs_honest_mistake,25,0.7594,0.7384,0.7804
truth_vs_honest_mistake,26,0.7636,0.7433,0.7838
honest_mistake_vs_deception,10,0.9687,0.9702,0.9673
honest_mistake_vs_deception,11,0.9671,0.9686,0.9656
honest_mistake_vs_deception,12,0.9772,0.9784,0.9761
honest_mistake_vs_deception,13,0.9776,0.9787,0.9765
honest_mistake_vs_deception,14,0.9798,0.9808,0.9788
honest_mistake_vs_deception,15,0.9894,0.9900,0.9889
honest_mistake_vs_deception,16,0.9847,0.9855,0.9840
honest_mistake_vs_deception,17,0.9846,0.9854,0.9838
honest_mistake_vs_deception,18,0.9916,0.9921,0.9912
honest_mistake_vs_deception,19,0.9967,0.9969,0.9965
honest_mistake_vs_deception,20,0.9931,0.9935,0.9927
honest_mistake_vs_deception,21,0.9900,0.9906,0.9895
honest_mistake_vs_deception,22,0.9872,0.9879,0.9865
honest_mistake_vs_deception,23,0.9869,0.9876,0.9862
honest_mistake_vs_deception,24,0.9855,0.9862,0.9847
honest_mistake_vs_deception,25,0.9856,0.9864,0.9848
honest_mistake_vs_deception,26,0.9858,0.9866,0.9851
