vector_type,layer,alpha,pct_changed,mean_word_diff,n
v_dec_vs_mistake,14,0.5,0.72,1.02,50
v_dec_vs_mistake,14,1.0,0.9,9.34,50
v_dec_vs_mistake,14,2.0,0.94,-3.56,50
v_dec_vs_mistake,14,3.0,1.0,-2.92,50
v_dec_vs_mistake,14,5.0,1.0,66.86,50
v_dec_vs_mistake,16,0.5,0.7,-2.28,50
v_dec_vs_mistake,16,1.0,0.86,-4.54,50
v_dec_vs_mistake,16,2.0,0.96,2.22,50
v_dec_vs_mistake,16,3.0,1.0,7.44,50
v_dec_vs_mistake,16,5.0,1.0,0.24,50
v_dec_vs_mistake,17,0.5,0.74,-0.32,50
v_dec_vs_mistake,17,1.0,0.88,1.74,50
v_dec_vs_mistake,17,2.0,0.96,-3.38,50
v_dec_vs_mistake,17,3.0,0.98,-4.2,50
v_dec_vs_mistake,17,5.0,0.98,49.72,50
v_dec_vs_mistake,18,0.5,0.68,-2.16,50
v_dec_vs_mistake,18,1.0,0.8,0.46,50
v_dec_vs_mistake,18,2.0,0.94,14.5,50
v_dec_vs_mistake,18,3.0,0.98,52.9,50
v_dec_vs_mistake,18,5.0,1.0,66.02,50
v_dec_vs_mistake,19,0.5,0.82,2.94,50
v_dec_vs_mistake,19,1.0,0.88,8.36,50
v_dec_vs_mistake,19,2.0,1.0,64.02,50
v_dec_vs_mistake,19,3.0,1.0,10.78,50
v_dec_vs_mistake,19,5.0,1.0,-8.24,50
v_dec_vs_mistake,20,0.5,0.8,2.18,50
v_dec_vs_mistake,20,1.0,0.92,6.16,50
v_dec_vs_mistake,20,2.0,1.0,67.96,50
v_dec_vs_mistake,20,3.0,1.0,22.66,50
v_dec_vs_mistake,20,5.0,1.0,48.14,50
v_dec_vs_mistake,21,0.5,0.72,0.76,50
v_dec_vs_mistake,21,1.0,0.84,3.44,50
v_dec_vs_mistake,21,2.0,1.0,55.88,50
v_dec_vs_mistake,21,3.0,1.0,81.54,50
v_dec_vs_mistake,21,5.0,1.0,101.86,50
v_dec_vs_mistake,22,0.5,0.7,-0.22,50
v_dec_vs_mistake,22,1.0,0.84,4.44,50
v_dec_vs_mistake,22,2.0,1.0,66.62,50
v_dec_vs_mistake,22,3.0,1.0,81.52,50
v_dec_vs_mistake,22,5.0,1.0,101.02,50
v_deception,14,0.5,0.7,0.2,50
v_deception,14,1.0,0.96,5.72,50
v_deception,14,2.0,0.96,-2.42,50
v_deception,14,3.0,1.0,20.88,50
v_deception,14,5.0,1.0,94.44,50
v_deception,16,0.5,0.7,-0.28,50
v_deception,16,1.0,0.84,-3.14,50
v_deception,16,2.0,0.96,2.56,50
v_deception,16,3.0,1.0,16.52,50
v_deception,16,5.0,0.98,18.1,50
v_deception,17,0.5,0.72,1.12,50
v_deception,17,1.0,0.84,3.16,50
v_deception,17,2.0,0.96,-4.48,50
v_deception,17,3.0,0.98,-11.5,50
v_deception,17,5.0,1.0,89.18,50
v_deception,18,0.5,0.72,2.38,50
v_deception,18,1.0,0.88,7.1,50
v_deception,18,2.0,0.96,38.88,50
v_deception,18,3.0,1.0,80.64,50
v_deception,18,5.0,1.0,59.16,50
v_deception,19,0.5,0.82,7.04,50
v_deception,19,1.0,0.94,11.7,50
v_deception,19,2.0,1.0,72.36,50
v_deception,19,3.0,1.0,-6.5,50
v_deception,19,5.0,1.0,37.8,50
v_deception,20,0.5,0.78,4.44,50
v_deception,20,1.0,0.94,10.52,50
v_deception,20,2.0,1.0,71.22,50
v_deception,20,3.0,1.0,29.86,50
v_deception,20,5.0,1.0,56.3,50
v_deception,21,0.5,0.76,1.92,50
v_deception,21,1.0,0.88,6.3,50
v_deception,21,2.0,1.0,63.1,50
v_deception,21,3.0,1.0,65.48,50
v_deception,21,5.0,1.0,100.14,50
v_deception,22,0.5,0.74,1.84,50
v_deception,22,1.0,0.92,6.34,50
v_deception,22,2.0,1.0,65.48,50
v_deception,22,3.0,1.0,65.4,50
v_deception,22,5.0,1.0,107.52,50
v_mistake,14,0.5,0.44,1.2,50
v_mistake,14,1.0,0.74,2.32,50
v_mistake,14,2.0,0.86,3.16,50
v_mistake,14,3.0,0.9,6.66,50
v_mistake,14,5.0,0.98,6.02,50
v_mistake,16,0.5,0.56,1.14,50
v_mistake,16,1.0,0.76,2.12,50
v_mistake,16,2.0,0.84,2.04,50
v_mistake,16,3.0,0.88,1.34,50
v_mistake,16,5.0,0.98,3.2,50
v_mistake,17,0.5,0.5,2.58,50
v_mistake,17,1.0,0.7,5.34,50
v_mistake,17,2.0,0.88,7.96,50
v_mistake,17,3.0,0.96,22.12,50
v_mistake,17,5.0,1.0,40.42,50
v_mistake,18,0.5,0.56,1.96,50
v_mistake,18,1.0,0.84,4.64,50
v_mistake,18,2.0,0.92,9.04,50
v_mistake,18,3.0,0.96,14.56,50
v_mistake,18,5.0,0.98,37.5,50
v_mistake,19,0.5,0.56,1.04,50
v_mistake,19,1.0,0.8,3.28,50
v_mistake,19,2.0,0.88,6.2,50
v_mistake,19,3.0,0.94,15.36,50
v_mistake,19,5.0,0.98,42.42,50
v_mistake,20,0.5,0.58,1.1,50
v_mistake,20,1.0,0.72,3.84,50
v_mistake,20,2.0,0.86,6.6,50
v_mistake,20,3.0,0.94,11.72,50
v_mistake,20,5.0,1.0,38.42,50
v_mistake,21,0.5,0.52,-0.12,50
v_mistake,21,1.0,0.7,2.22,50
v_mistake,21,2.0,0.9,7.06,50
v_mistake,21,3.0,0.92,7.54,50
v_mistake,21,5.0,0.96,21.62,50
v_mistake,22,0.5,0.5,-0.24,50
v_mistake,22,1.0,0.72,1.86,50
v_mistake,22,2.0,0.86,6.66,50
v_mistake,22,3.0,0.92,11.18,50
v_mistake,22,5.0,0.94,24.0,50
