layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6377600108587446,0.7912859007832899,0.6644715878916623,0.45752254390128144,4849,0.8171553758004718,497,0.0837546343107516,588,0.09908998988877654,647,0.13549738219895288,3128,0.6550785340314136,1000,0.2094240837696335,826,0.251292972315181,1015,0.3087922117432309,1446,0.4399148159415881,0.9282445685363545,0.4573656442639932,0.8417634053847799,0.841966784689609,0.8765221273562209
1,0.6506898919661537,0.8050938559497229,0.6813209928481279,0.46565482710061024,4868,0.8203572632288507,446,0.07516009437141895,620,0.10448264239973036,540,0.1130890052356021,3239,0.6783246073298429,996,0.208586387434555,751,0.22847581381198662,1048,0.31883176148463643,1488,0.45269242470337695,0.9406963054526356,0.46570222580794124,0.8418747847087964,0.8589408044018383,0.8878499149215143
2,0.6726276833841477,0.8246860541969597,0.7012742845205766,0.49192271143490657,4991,0.8410852713178295,403,0.06791371755982474,540,0.0910010111223458,484,0.10136125654450262,3357,0.7030366492146597,934,0.1956020942408377,695,0.21143900212960146,1039,0.3160937024642531,1553,0.4724672954061454,0.9499670906328823,0.49183020920888704,0.8519830682460559,0.8767835382161016,0.9014089526629278
3,0.6948402883524784,0.8496623030100893,0.7184689395523949,0.516389622494951,5095,0.8586113919784294,318,0.05358948432760364,521,0.08779912369396697,373,0.0781151832460733,3435,0.7193717277486911,967,0.2025130890052356,591,0.17979920900517188,1034,0.31457255856404015,1662,0.5056282324307879,0.9641580167609989,0.516404175398837,0.8555609873359094,0.8983089997305607,0.9183391938906244
4,0.7028794560164385,0.8585976627712855,0.7288135593220338,0.5212271459559963,5143,0.8667003707448602,272,0.045837546343107514,519,0.08746208291203236,326,0.06827225130890052,3483,0.7294240837696335,966,0.20230366492146598,577,0.1755400060845756,1028,0.3127471858837846,1682,0.5117128080316398,0.9738697964904593,0.5209150236110184,0.8565408396659044,0.9140426150880607,0.931416954057678
5,0.7490879014719409,0.9250251593425025,0.7545407368967306,0.5676978081765894,5515,0.9293899561846983,103,0.017357600269632626,316,0.05325244354566903,136,0.028481675392670158,3635,0.7612565445026178,1004,0.21026178010471205,339,0.1031335564344387,1122,0.34134469120778826,1826,0.555521752357773,0.9946227150040432,0.5672938540740715,0.8710058210344853,0.9632776379263998,0.9705543427293902
6,0.7513087684979718,0.9261034047919294,0.7517141076251818,0.5761087930768042,5508,0.9282103134479271,123,0.020728008088978768,303,0.051061678463094035,140,0.02931937172774869,3618,0.7576963350785341,1017,0.21298429319371728,313,0.09522360815333131,1110,0.33769394584727713,1864,0.5670824459993915,0.994329439809967,0.5760751811941048,0.872531683394978,0.962179937554923,0.9695921033240198
7,0.7564985217427161,0.9290398520262317,0.7535628835951316,0.5868928296067849,5525,0.9310751600943714,122,0.02055948769801146,287,0.04836535220761712,145,0.030366492146596858,3622,0.7585340314136125,1008,0.21109947643979057,290,0.08822634621235169,1094,0.3328262853665957,1903,0.5789473684210527,0.9946520082710629,0.5866754520409169,0.8754457797130002,0.9621282081532673,0.9694745793380288
8,0.7420462620237617,0.9104014751487721,0.7424574590249504,0.5732798518975625,5431,0.9152342433434446,176,0.02965958881024604,327,0.0551061678463094,209,0.0437696335078534,3556,0.7447120418848168,1010,0.21151832460732983,357,0.10860967447520535,1072,0.32613325220565864,1858,0.565257073319136,0.9845163936577788,0.573102152731697,0.8713886491838355,0.9411183766959882,0.9525116665172517
9,0.7398457679824348,0.8981945837512537,0.7438757427290733,0.5774669774669775,5373,0.9054600606673407,207,0.03488372093023256,354,0.05965621840242669,271,0.05675392670157068,3568,0.7472251308900524,936,0.19602094240837697,386,0.11743230909644052,1043,0.31731061758442347,1858,0.565257073319136,0.9792049578178308,0.5774933519876415,0.8738567004716173,0.929409039631125,0.9435160318830199
